
[00:00:00.000 --> 00:00:09.000]  今日的經訓是約翰福音第一章二十九至三十七節
[00:00:09.000 --> 00:00:14.000]  在聖經新約第一百二十六頁
[00:00:14.000 --> 00:00:25.000]  請聽施浸約翰為上帝的兒子耶穌基督神的羔羊作的見證
[00:00:25.000 --> 00:00:32.000]  此日約翰看見耶穌來到他那裡
[00:00:32.000 --> 00:00:40.000]  就說:看那神的羔羊除去世人罪孽的
[00:00:40.000 --> 00:00:46.000]  這就是我曾說:有一位在我耳後來
[00:00:46.000 --> 00:00:55.000]  反成了在我耳前的,因他本來在我耳前
[00:00:55.000 --> 00:01:02.000]  我先前不認識他,如今我來用水施浸
[00:01:02.000 --> 00:01:08.000]  為要叫他顯明給以色列人
[00:01:08.000 --> 00:01:18.000]  約翰又作見證說:我曾看見聖靈彷彿甲子從天降下
[00:01:18.000 --> 00:01:25.000]  住在他的身上,我先前不認識他
[00:01:25.000 --> 00:01:30.000]  只是那差我來用水施浸的
[00:01:30.000 --> 00:01:35.000]  對我說:你看見聖靈降下來
[00:01:35.000 --> 00:01:42.000]  住在誰的身上,誰就是用聖靈施浸的
[00:01:42.000 --> 00:01:49.000]  我看見了,就證明這是神的兒子
[00:01:49.000 --> 00:01:55.000]  再次日,約翰和兩個門徒站在那裡
[00:01:55.000 --> 00:02:03.000]  他見耶穌行走,就說:看那,這是神的羔羊
[00:02:03.000 --> 00:02:10.000]  兩個門徒聽見他的話,就跟從了耶穌
[00:02:10.000 --> 00:02:24.000]  我們繼續看斯德林約翰對耶穌基督的見證
[00:02:24.000 --> 00:02:32.000]  斯德林約翰接受了從耶路撒冷公會來的人對他的身份和使命的查問之後
[00:02:32.000 --> 00:02:37.000]  第二天,他在約旦河邊和耶穌相遇
[00:02:37.000 --> 00:02:40.000]  為什麼耶穌在那裡呢?
[00:02:40.000 --> 00:02:45.000]  因為沒多久前,耶穌主動去找約翰接受他的浸禮
[00:02:45.000 --> 00:02:50.000]  這是《馬太福音》3:13-17的記載
[00:02:50.000 --> 00:02:57.000]  然後,在接受浸禮之後,他留在約翰所屬的修道群體
[00:02:57.000 --> 00:03:03.000]  這個群體類似昆蘭社團的修道群體
[00:03:03.000 --> 00:03:08.000]  耶穌在約旦河邊的曠野住了一段日子
[00:03:08.000 --> 00:03:12.000]  直到斯德林約翰坐牢之後,他才離開
[00:03:12.000 --> 00:03:17.000]  回到加利利,然後開始自己的傳道生涯
[00:03:17.000 --> 00:03:22.000]  耶穌住在這個修道群體中間
[00:03:22.000 --> 00:03:26.000]  所以接下來的兩天,斯德林約翰也碰到耶穌
[00:03:26.000 --> 00:03:29.000]  這不奇怪,因為群體很小
[00:03:29.000 --> 00:03:37.000]  很有趣的是,《約翰福音》沒有直接提及耶穌受浸的重要事件
[00:03:37.000 --> 00:03:40.000]  只是記述了斯德林約翰的兩段說話
[00:03:40.000 --> 00:03:43.000]  就是他為耶穌所做的見證
[00:03:43.000 --> 00:03:47.000]  作為耶穌受浸的情景的一個說明
[00:03:47.000 --> 00:03:52.000]  這樣的鋪排,用一個轉述的方法
[00:03:52.000 --> 00:03:54.000]  而不是直接記述那個事件
[00:03:54.000 --> 00:03:58.000]  跟《三卷福利福音》是完全不同的
[00:03:58.000 --> 00:04:01.000]  《三卷福音》基本上都是記述整件事件
[00:04:01.000 --> 00:04:04.000]  但是《約翰福音》沒有提及這件事
[00:04:04.000 --> 00:04:09.000]  《約翰福音》寧願引述斯德林約翰的說話
[00:04:09.000 --> 00:04:13.000]  沒有直接去敘述耶穌受浸的故事
[00:04:13.000 --> 00:04:20.000]  這大概是貫徹他在福音書的序言所說
[00:04:20.000 --> 00:04:24.000]  斯德林約翰一生其實只有一個使命
[00:04:24.000 --> 00:04:30.000]  不是在約旦河邊為人施浸教訓人真理
[00:04:30.000 --> 00:04:35.000]  不是招收門徒,講傳認罪和赦罪的福音
[00:04:35.000 --> 00:04:39.000]  而是為耶穌做見證
[00:04:39.000 --> 00:04:42.000]  是的,斯德林約翰一生只有一個使命
[00:04:42.000 --> 00:04:45.000]  就是為耶穌做見證
[00:04:45.000 --> 00:04:50.000]  我們重溫《約翰福音》一章六到八節的經文
[00:04:50.000 --> 00:04:54.000]  有一個人是從上帝那裡猜來的,名叫約翰
[00:04:54.000 --> 00:04:58.000]  只因來為耀作見證,就是為光做見證
[00:04:58.000 --> 00:05:04.000]  叫眾人因他可以信,他不是那光,那是要為光作見證
[00:05:04.000 --> 00:05:09.000]  這是在序言,《約翰福音》一開始就說的
[00:05:09.000 --> 00:05:14.000]  所以斯德林約翰的說話
[00:05:14.000 --> 00:05:17.000]  就是他一生要做的工作
[00:05:17.000 --> 00:05:20.000]  他在見證著
[00:05:20.000 --> 00:05:26.000]  見證的目的就是叫眾人能夠相信耶穌
[00:05:26.000 --> 00:05:29.000]  用今天講的方法
[00:05:29.000 --> 00:05:33.000]  當施浸約翰為耶穌做見證的時候
[00:05:33.000 --> 00:05:35.000]  他在做事
[00:05:35.000 --> 00:05:39.000]  他為人施浸,甚至為耶穌施浸
[00:05:39.000 --> 00:05:42.000]  都不算在做事
[00:05:42.000 --> 00:05:45.000]  唯有他開口為耶穌做見證
[00:05:45.000 --> 00:05:47.000]  他才是在做事
[00:05:47.000 --> 00:05:51.000]  即是實踐他的核心使命
[00:05:51.000 --> 00:05:54.000]  我努力預備講章
[00:05:54.000 --> 00:05:56.000]  我認真地講道
[00:05:56.000 --> 00:05:59.000]  我是不是在做傳道的本業呢?
[00:05:59.000 --> 00:06:01.000]  也是,也不是
[00:06:01.000 --> 00:06:04.000]  傳道人當然要承擔講道的職責
[00:06:04.000 --> 00:06:08.000]  但傳道人的真正本業是傳揚耶穌基督
[00:06:08.000 --> 00:06:10.000]  見證耶穌基督
[00:06:10.000 --> 00:06:13.000]  如果我所預備的,我所傳講的
[00:06:13.000 --> 00:06:17.000]  不是扣定在為耶穌做見證
[00:06:17.000 --> 00:06:20.000]  這個核心使命,終極使命之上
[00:06:20.000 --> 00:06:25.000]  我就是失焦迷路,忘記本業
[00:06:25.000 --> 00:06:29.000]  嘉義文說,基督徒的人生只有一個目標
[00:06:29.000 --> 00:06:31.000]  就是榮耀上帝,見證基督
[00:06:31.000 --> 00:06:35.000]  基督徒一生的使命是榮耀上帝,見證基督
[00:06:35.000 --> 00:06:37.000]  我由衷盼望
[00:06:37.000 --> 00:06:40.000]  我們每個人,每天都在做事
