
[00:00:00.000 --> 00:00:02.000]  我們聆聽聖導
[00:00:02.000 --> 00:00:04.400]  繼續進入去敬拜
[00:00:04.400 --> 00:00:08.920]  經訓今天是選至
[00:00:08.920 --> 00:00:13.640]  舊約的《但義理書》第四章
[00:00:13.640 --> 00:00:16.000]  四至十八節
[00:00:16.000 --> 00:00:19.960]  大家教會手上的聖經是
[00:00:19.960 --> 00:00:21.960]  1198頁
[00:00:21.960 --> 00:00:25.280]  舊約聖經1198頁
[00:00:28.640 --> 00:00:30.640]  找到之後請聽我讀出
[00:00:30.640 --> 00:00:35.040]  《但義理書》第四章四至十八節
[00:00:35.040 --> 00:00:39.760]  我尼布格尼撒安居在宮中
[00:00:39.760 --> 00:00:41.760]  平順在殿內
[00:00:41.760 --> 00:00:45.200]  我作了一夢使我懼怕
[00:00:45.200 --> 00:00:47.760]  我在床上的思念
[00:00:47.760 --> 00:00:51.280]  並腦中的異象使我驚惶
[00:00:51.280 --> 00:00:53.120]  所以我降旨
[00:00:53.120 --> 00:00:56.240]  召巴比倫的一切哲士到我面前
[00:00:56.640 --> 00:00:59.760]  叫他們把夢的講解告訴我
[00:00:59.760 --> 00:01:02.160]  於是那些術士
[00:01:02.160 --> 00:01:03.600]  用法術的
[00:01:03.600 --> 00:01:04.960]  迦勒底人
[00:01:04.960 --> 00:01:06.960]  官少的都進來
[00:01:06.960 --> 00:01:10.040]  我將那夢告訴了他們
[00:01:10.040 --> 00:01:13.840]  他們卻不能把夢的講解告訴我
[00:01:13.840 --> 00:01:16.840]  沒後那照我神的名
[00:01:16.840 --> 00:01:19.440]  稱為白提沙剎的但義理
[00:01:19.440 --> 00:01:20.720]  來到我面前
[00:01:20.720 --> 00:01:23.200]  他裡頭有聖神的靈
[00:01:23.200 --> 00:01:25.640]  我將夢告訴他說
[00:01:26.560 --> 00:01:29.240]  術士的領袖白提沙剎
[00:01:29.240 --> 00:01:33.040]  我知道你裡頭有聖神的靈
[00:01:33.040 --> 00:01:34.640]  甚麼奧秘的事
[00:01:34.640 --> 00:01:36.640]  都不能使你為難
[00:01:36.640 --> 00:01:40.440]  現在要把我夢中所見的異象
[00:01:40.440 --> 00:01:43.240]  和夢的講解告訴我
[00:01:43.240 --> 00:01:47.840]  我在床上腦中的異象是這樣
[00:01:47.840 --> 00:01:50.840]  我看見當中有一棵樹
[00:01:50.840 --> 00:01:52.640]  極其高大
[00:01:52.640 --> 00:01:55.240]  那樹漸長而且堅固
[00:01:55.640 --> 00:01:57.040]  高得頂天
[00:01:57.040 --> 00:01:59.640]  從地極都能看見
[00:01:59.640 --> 00:02:01.440]  葉子華美
[00:02:01.440 --> 00:02:02.840]  果子甚多
[00:02:02.840 --> 00:02:04.840]  可作眾生的食物
