
[00:00:00.000 --> 00:00:04.000]  (教育)今天要讀的經文是記載在
[00:00:04.000 --> 00:00:06.600]  約翰福音一章四十三至五十一節
[00:00:06.600 --> 00:00:08.760]  我們可以翻開程序表的內頁
[00:00:08.760 --> 00:00:14.880]  又或者是教會的聖經新約一百二十六至一百二十七頁
[00:00:14.880 --> 00:00:19.400]  約翰福音一章四十三至五十一節
[00:00:19.400 --> 00:00:23.880]  「有次日,耶穌想要往加里尼去,
[00:00:23.880 --> 00:00:28.960]  於見腓力就對他說:來,跟從我吧!
[00:00:28.960 --> 00:00:34.400]  這腓力是伯塞大人,和安德烈彼得同成。
[00:00:34.400 --> 00:00:38.080]  腓力找著拿達葉,對他說:
[00:00:38.080 --> 00:00:42.600]  莫西在律法上所寫的,和眾仙之所記的那一位,
[00:00:42.600 --> 00:00:47.960]  我們遇見了,就是約瑟的兒子拿瑟勒人耶穌。
[00:00:47.960 --> 00:00:54.440]  但拿達葉對他說:拿瑟勒還能出什麼好的魔?
[00:00:54.440 --> 00:00:57.240]  腓力說:你來看!
[00:00:57.240 --> 00:01:01.920]  耶穌看見拿達葉來,就指著他說:
[00:01:01.920 --> 00:01:09.480]  看啊!這是個真以色列人,他心裡是沒有鬼的。
[00:01:09.480 --> 00:01:15.600]  拿達葉對耶穌說:你從哪裡知道我?
[00:01:15.600 --> 00:01:20.520]  耶穌回答說:腓力還沒有招呼你,
[00:01:20.520 --> 00:01:25.360]  你在無花果樹底下,我就看見你了。
[00:01:25.360 --> 00:01:32.480]  拿達葉說:拉比,你是神的兒子,你是以色列的王。
[00:01:32.480 --> 00:01:40.600]  耶穌對他說:因為我說,我在無花果樹底下看見你,你就信嗎?
[00:01:40.600 --> 00:01:44.600]  你將要看見比這更大的事。
[00:01:44.600 --> 00:01:51.800]  又說:我實實在在地告訴你們,你們將要看見天開了,
[00:01:51.800 --> 00:01:56.640]  神的使者上去,下來,在人子身上。
[00:01:56.640 --> 00:02:00.040]  聖經讀筆,我們繼續以聆聽聖道敬拜神。
[00:02:00.040 --> 00:02:14.040]  (主持人:各位姐妹,新年快樂!)
[00:02:14.040 --> 00:02:16.040]  (各位姐妹:新年快樂!)
[00:02:18.040 --> 00:02:22.480]  我們過了一個比較艱難的2022年,
[00:02:22.480 --> 00:02:26.640]  我們過了一個更艱難的2021年,
[00:02:26.640 --> 00:02:29.600]  我們現在迎向2023年,
[00:02:29.600 --> 00:02:35.240]  我們立志要在2023年,在香港這個地方,
[00:02:35.240 --> 00:02:38.240]  我們一起去見到上帝奇妙的作為,
[00:02:38.240 --> 00:02:41.240]  我們會在這裡經歷祂,服侍祂。
[00:02:41.240 --> 00:02:51.240]  我去年都出了好幾次場門,每次去不同的地方,
[00:02:51.240 --> 00:02:57.240]  有人聽到我說,我是香港來的,都用一個比較憐憫的眼神看著我,
[00:02:57.240 --> 00:03:04.240]  問怎樣怎樣,我要很努力地用微笑去回應他們,
[00:03:04.240 --> 00:03:09.240]  告訴他們,我們不是被遺棄在這個地方,
[00:03:09.240 --> 00:03:13.240]  我們真的很愛很愛這個地方,
[00:03:13.240 --> 00:03:17.240]  香港從來不是一個完美,不是一個好地方。
[00:03:17.240 --> 00:03:26.240]  我記得有一個台灣的領隊,曾經嘲笑香港人的居住環境的惡劣,
[00:03:26.240 --> 00:03:31.240]  他說他每一次帶團來香港,都會將團友,
