
[00:00:00.000 --> 00:00:18.000]  《新約聖經》第8頁
[00:00:18.000 --> 00:00:22.000]  馬大福音第6章25至34節
[00:00:22.000 --> 00:00:28.000]  請聽我讀出
[00:00:28.000 --> 00:00:31.000]  所以我告訴你們
[00:00:31.000 --> 00:00:36.000]  不要為生命憂慮吃什麼 喝什麼
[00:00:36.000 --> 00:00:39.000]  為身體憂慮穿什麼
[00:00:39.000 --> 00:00:42.000]  生命不勝於飲食什麼
[00:00:42.000 --> 00:00:45.000]  身體不勝於衣裳什麼
[00:00:46.000 --> 00:00:48.000]  你們看那天上的飛鳥
[00:00:48.000 --> 00:00:50.000]  也不種也不收
[00:00:50.000 --> 00:00:53.000]  也不積蓄在倉裡
[00:00:53.000 --> 00:00:56.000]  你們的天父尚且揚活他
[00:00:56.000 --> 00:01:00.000]  你們不比飛鳥貴重得多麼
[00:01:00.000 --> 00:01:06.000]  你們哪一個能用思慮使壽數多加一克呢
[00:01:06.000 --> 00:01:10.000]  何必為衣裳憂慮呢
[00:01:10.000 --> 00:01:15.000]  你想野地的百合花怎樣長起來
[00:01:15.000 --> 00:01:19.000]  它也不勞苦也不枉善
[00:01:19.000 --> 00:01:22.000]  然而我告訴你們
[00:01:22.000 --> 00:01:25.000]  就是所羅門極榮華的時候
[00:01:25.000 --> 00:01:30.000]  它所穿戴的還不如這花一朵呢
[00:01:30.000 --> 00:01:33.000]  你們這小信的人啊
[00:01:33.000 --> 00:01:36.000]  野地裡的草今天還在
[00:01:36.000 --> 00:01:40.000]  明天就凋得在爐裡
[00:01:40.000 --> 00:01:43.000]  神還給它這樣的裝飾
[00:01:44.000 --> 00:01:46.000]  何況你們呢
[00:01:46.000 --> 00:01:50.000]  所以不要憂慮說吃什麼
[00:01:50.000 --> 00:01:53.000]  喝什麼穿什麼
[00:01:53.000 --> 00:01:56.000]  這都是愛邦人所求的
[00:01:56.000 --> 00:02:00.000]  你們需要的這一切東西
[00:02:00.000 --> 00:02:03.000]  你們的天父是知道的
[00:02:03.000 --> 00:02:07.000]  你們要先求他的國和他的義
[00:02:07.000 --> 00:02:11.000]  這些東西都要加給你們了
[00:02:12.000 --> 00:02:15.000]  所以不要為明天憂慮
[00:02:15.000 --> 00:02:18.000]  因為明天自有明天的憂慮
[00:02:18.000 --> 00:02:23.000]  一天的難處一天當就夠了
[00:02:23.000 --> 00:02:25.000]  (字幕:陳志全)
[00:02:25.000 --> 00:02:27.000]  (字幕:陳志全)
[00:02:27.000 --> 00:02:29.000]  (字幕:陳志全)
[00:02:30.000 --> 00:02:32.000]  (字幕:陳志全)
[00:02:32.000 --> 00:02:34.000]  (字幕:陳志全)
[00:02:34.000 --> 00:02:36.000]  感謝弟兄姊妹的祈禱
[00:02:36.000 --> 00:02:40.000]  原本我的港獨是四月尾的那段時間
[00:02:40.000 --> 00:02:42.000]  不過兩個星期前
[00:02:42.000 --> 00:02:45.000]  我們家裡一家人就感染了COVID-19
[00:02:45.000 --> 00:02:48.000]  感恩大人不是很嚴重
[00:02:48.000 --> 00:02:51.000]  不過家裡的小朋友
[00:02:51.000 --> 00:02:53.000]  特別是大女兒
[00:02:53.000 --> 00:02:56.000]  其實連續發了三日瘋
[00:02:56.000 --> 00:02:59.000]  我猜大家都關心我小女兒
[00:02:59.000 --> 00:03:02.000]  因為小女兒長期病患
