
[00:00:00.000 --> 00:00:02.480]  以下我們聽神的話
[00:00:02.480 --> 00:00:04.800]  請打開我們的新約聖經
[00:00:04.800 --> 00:00:08.200]  約翰福音第二章
[00:00:08.200 --> 00:00:10.800]  新約的一百二十七頁
[00:00:10.800 --> 00:00:17.400]  我們會中讀約翰福音第二章的十三至二十二節
[00:00:17.400 --> 00:00:21.000]  約翰福音第二章第十三節
[00:00:21.000 --> 00:00:25.000]  猶太人的雨接近了
[00:00:25.000 --> 00:00:28.000]  耶穌就上耶路撒冷去
[00:00:28.000 --> 00:00:32.000]  看見店裡有賣牛羊甲子的
[00:00:32.000 --> 00:00:37.000]  並且並有兌換銀錢的人坐在那裡
[00:00:37.000 --> 00:00:41.000]  耶穌就拿繩子作成鞭子
[00:00:41.000 --> 00:00:43.000]  把牛羊刀趕出店去
[00:00:43.000 --> 00:00:48.000]  倒出兌換銀錢的人的銀錢
[00:00:48.000 --> 00:00:50.000]  推翻他們的桌子
[00:00:50.000 --> 00:00:53.000]  有對賣甲子的說
[00:00:53.000 --> 00:00:56.000]  把這些東西拿去
[00:00:56.000 --> 00:01:00.000]  不要把我付的電當作買賣的地方
[00:01:00.000 --> 00:01:04.000]  他的門徒就想起經上記著說
[00:01:04.000 --> 00:01:09.000]  我為你的電心裡焦急如同火燒
[00:01:09.000 --> 00:01:11.000]  因此猶太人問他說
[00:01:11.000 --> 00:01:14.000]  你寄作這樣的奢侈
[00:01:14.000 --> 00:01:17.000]  還顯甚麼神蹟給我們看呢?
[00:01:17.000 --> 00:01:19.000]  耶穌回答說
[00:01:19.000 --> 00:01:21.000]  你們拆毀這電
[00:01:21.000 --> 00:01:25.000]  我三日內要再建立起來
[00:01:25.000 --> 00:01:27.000]  猶太人便說
[00:01:27.000 --> 00:01:29.000]  這電是四十六年才叫做成的
[00:01:29.000 --> 00:01:32.000]  你三日內就再建立起來嗎?
[00:01:32.000 --> 00:01:36.000]  但耶穌這話是以他的身體為電
[00:01:36.000 --> 00:01:39.000]  所以到他從死裡復活以後
[00:01:39.000 --> 00:01:42.000]  門徒就想起他說過這話
[00:01:42.000 --> 00:01:45.000]  便信了聖經和耶穌所說的
[00:01:45.000 --> 00:01:47.000]  請你讀筆
[00:01:54.000 --> 00:01:56.000]  弟兄姊妹平安
[00:01:56.000 --> 00:01:59.000]  感謝主我們今天來到教會當中
[00:01:59.000 --> 00:02:01.000]  我們一起來繼續
[00:02:01.000 --> 00:02:06.000]  在十一月份聚焦在基督耶穌的身上
[00:02:06.000 --> 00:02:09.000]  這幾次的主題我們都說了
[00:02:09.000 --> 00:02:14.000]  我們會用約翰福音作為一個很重要的藍本
[00:02:14.000 --> 00:02:18.000]  從約翰福音裡面的寫作方式
[00:02:18.000 --> 00:02:21.000]  來了解一下耶穌基督是誰
[00:02:21.000 --> 00:02:24.000]  當然在座裡面
[00:02:24.000 --> 00:02:27.000]  你信了主的你都知道耶穌就是救主
[00:02:27.000 --> 00:02:30.000]  這是絕對是對的答案
[00:02:30.000 --> 00:02:32.000]  不過再深入一點
[00:02:32.000 --> 00:02:34.000]  或者再有些字眼
[00:02:34.000 --> 00:02:38.000]  或者在聖經裡面怎樣將耶穌介紹出來
[00:02:38.000 --> 00:02:41.000]  其實我們值得再了解深入一點
[00:02:41.000 --> 00:02:43.000]  當我們了解深入一點的時候
[00:02:43.000 --> 00:02:45.000]  其實會為我們的信仰
[00:02:45.000 --> 00:02:49.000]  會建立一些更加深厚的根基
[00:02:49.000 --> 00:02:51.000]  這些根基會影響我們如何敬拜神
[00:02:51.000 --> 00:02:54.000]  這些根基會決定我們如何傳福音
[00:02:54.000 --> 00:02:57.000]  今天我們要看的是關於
[00:02:57.000 --> 00:03:03.000]  耶穌說自己指著身體為殿的這段經文
[00:03:03.000 --> 00:03:06.000]  一般來說很多人處理這段經文
[00:03:06.000 --> 00:03:08.000]  通常入首點就是說耶穌很生氣
[00:03:08.000 --> 00:03:11.000]  耶穌趕走一些人在聖殿裡面
[00:03:11.000 --> 00:03:17.000]  耶穌好像跟平時傳福音的那種很謙柔
[00:03:17.000 --> 00:03:20.000]  或者那種謙謙君子的形態很不同
[00:03:20.000 --> 00:03:23.000]  很多時候會用這個角度來入位
[00:03:23.000 --> 00:03:26.000]  不過今天我們處理這段經文
[00:03:26.000 --> 00:03:30.000]  我們不是從耶穌的情緒來入切點
[00:03:30.000 --> 00:03:35.000]  我們從耶穌所說的話和門徒去明白
[00:03:35.000 --> 00:03:38.000]  耶穌指著身體為殿為聖殿
[00:03:38.000 --> 00:03:41.000]  這個角度去重新理解
[00:03:41.000 --> 00:03:45.000]  究竟按福音介紹的耶穌是一個怎樣的耶穌
[00:03:45.000 --> 00:03:49.000]  雖然今天好像比較神學一點
[00:03:49.000 --> 00:03:52.000]  希望大家不會覺得很奸詐
[00:03:52.000 --> 00:03:55.000]  不要讓大家覺得睡眠不足的時間到了
[00:03:55.000 --> 00:03:59.000]  希望大家真的可以追著來聽
[00:03:59.000 --> 00:04:01.000]  讓我們更加深入了解
[00:04:01.000 --> 00:04:05.000]  究竟福音裡面所說的耶穌是那個殿
[00:04:05.000 --> 00:04:07.000]  究竟是一回什麼的事
[00:04:07.000 --> 00:04:10.000]  在這段時間我們很需要聖靈幫助我們一起祈禱
[00:04:10.000 --> 00:04:13.000]  求聖靈幫助我們開啟我們的心靈和心祈禱
[00:04:13.000 --> 00:04:17.000]  天父上帝求祢在我們當中幫助我們
[00:04:17.000 --> 00:04:19.000]  讓我們能夠明白祢的話語
[00:04:19.000 --> 00:04:27.000]  讓我們能夠真切準確地理解祢是一個怎樣的神
[00:04:27.000 --> 00:04:29.000]  求祢幫助我們眾弟兄姊妹
[00:04:29.000 --> 00:04:31.000]  讓我們去聆聽祢的時候
[00:04:31.000 --> 00:04:34.000]  祢親自對我們每一個人說話
[00:04:34.000 --> 00:04:36.000]  又幫助宣講的說得清楚
[00:04:36.000 --> 00:04:40.000]  讓祢的經文和祢的話語成為我們生命的幫助
[00:04:40.000 --> 00:04:42.000]  恭敬將來的時間交託
[00:04:42.000 --> 00:04:44.000]  願主繼續來對我們賜福
[00:04:44.000 --> 00:04:47.000]  獻上祈禱奉靠基督耶穌得聖的聖名
[00:04:47.000 --> 00:04:48.000]  Amen
[00:04:48.000 --> 00:04:53.000]  我們一起看看之前跟大家讀過的
