
[00:00:00.000 --> 00:00:01.720]  而是經訓的時間
[00:00:01.720 --> 00:00:04.520]  今日我們選讀的經文是舊約的詩篇
[00:00:04.520 --> 00:00:07.640]  舊約詩篇第119篇
[00:00:07.640 --> 00:00:12.120]  以下我們會選讀105至112節
[00:00:12.120 --> 00:00:15.520]  在你們舊約聖經第805頁
[00:00:15.520 --> 00:00:19.520]  經文也印製在秩序表裏面
[00:00:19.520 --> 00:00:25.200]  請聽我讀出詩篇119篇105節
[00:00:25.200 --> 00:00:31.840]  你的話是我腳前的燈 是我路上的光
[00:00:31.840 --> 00:00:36.560]  你公義的典章 我曾起誓遵守
[00:00:36.560 --> 00:00:41.760]  我必按誓而行 我甚是受苦
[00:00:41.760 --> 00:00:47.280]  耶和華求你照你的話將我救援
[00:00:47.280 --> 00:00:54.080]  耶和華求你閱納我口中的讚美為貢物
[00:00:54.080 --> 00:00:57.760]  又將你的典章教訓我
[00:00:57.760 --> 00:01:01.280]  我的性命尚在危險之中
[00:01:01.280 --> 00:01:05.280]  我卻不忘記你的律法
[00:01:05.280 --> 00:01:08.800]  惡人為我設下網羅
[00:01:08.800 --> 00:01:13.760]  我卻沒有偏離你的訓詞
[00:01:13.760 --> 00:01:18.000]  我以你的法道為永遠的產業
[00:01:18.000 --> 00:01:22.000]  因這是我心中所喜愛的
[00:01:22.000 --> 00:01:27.520]  我的心專向你的律例永遠遵行
[00:01:27.520 --> 00:01:31.520]  一直到底 聖經獨筆
[00:01:31.520 --> 00:01:48.960]  第一節目平安
[00:01:48.960 --> 00:01:51.360]  先介紹一下自己
[00:01:51.360 --> 00:01:53.360]  我是張培良 全道
[00:01:53.360 --> 00:01:55.680]  來自澳門百甲巢浸信會
[00:01:55.680 --> 00:02:00.160]  今天很開心代表百甲巢浸信會
[00:02:00.160 --> 00:02:03.680]  來感謝及平安帶給大家
[00:02:03.680 --> 00:02:04.800]  今天不只是我來的
[00:02:04.800 --> 00:02:06.800]  剛剛大家敬拜隊當中
[00:02:06.800 --> 00:02:09.600]  也有一班我們年輕的弟兄姊妹
[00:02:09.600 --> 00:02:15.920]  所以希望今天帶一些活力過來給大家
[00:02:15.920 --> 00:02:20.240]  這次是我第二次來到武會這裡講道
[00:02:20.240 --> 00:02:22.240]  來到這裡講道
[00:02:22.240 --> 00:02:27.520]  常常帶著一種緊張但又興奮的心情
[00:02:27.520 --> 00:02:33.840]  因為可以看看上帝在武會當中的工作
[00:02:33.840 --> 00:02:36.320]  到底是怎樣來開啟開展
[00:02:36.320 --> 00:02:38.320]  今天來到當中
[00:02:38.320 --> 00:02:42.240]  我希望抱著學習的心態
[00:02:42.240 --> 00:02:46.240]  但同時帶著聖經的說話來彼此勉勵
[00:02:46.240 --> 00:02:50.000]  正如當我們進入教會
[00:02:50.000 --> 00:02:52.000]  我不知道大家有沒有這樣的感覺
[00:02:52.000 --> 00:02:54.000]  就算你是什麼心情也好
[00:02:54.000 --> 00:02:57.440]  你進來教會總是有一種被光照的感覺
[00:02:57.440 --> 00:03:01.040]  可能今天星期天有點單調
[00:03:01.040 --> 00:03:05.040]  今天早上外出跟兒子、老公、老婆吵架
[00:03:05.040 --> 00:03:08.240]  進來後聖師播放戲你不敢再跟他們吵架
[00:03:08.240 --> 00:03:11.440]  通常會先唱詩歌
[00:03:11.440 --> 00:03:13.440]  唱完詩歌通常不能再吵架
[00:03:13.440 --> 00:03:18.480]  因為心情已經被上帝充滿調整
[00:03:18.480 --> 00:03:20.480]  正如我們聽完敬拜
[00:03:20.480 --> 00:03:25.120]  多謝獻奏的戲樂小組
[00:03:25.120 --> 00:03:27.120]  很優美的旋律
[00:03:27.120 --> 00:03:30.640]  聽完之後整個心情都很平和、很平安
[00:03:30.640 --> 00:03:32.640]  很多時候我們很多人
[00:03:32.640 --> 00:03:34.640]  不知道在有當中有沒有第一次來教會
[00:03:34.640 --> 00:03:36.640]  或者第一次進入教會
[00:03:36.640 --> 00:03:38.640]  或者你不是第一次
[00:03:38.640 --> 00:03:40.640]  但你記得你第一次進入教會
[00:03:40.640 --> 00:03:42.640]  都經歷過這種感覺
[00:03:42.640 --> 00:03:45.840]  我們很希望這種上帝的平安
[00:03:45.840 --> 00:03:50.960]  上帝的光照能夠常常在我們生命當中發生
[00:03:50.960 --> 00:03:54.160]  所以今天我揀選了這個主題
[00:03:54.160 --> 00:03:58.320]  就是「活在上帝的光中」這個主題
[00:03:58.320 --> 00:04:01.920]  很希望藉著今天我們所讀的詩篇經文
[00:04:01.920 --> 00:04:03.920]  去彼此勉勵
[00:04:03.920 --> 00:04:07.600]  如何能夠活在上帝的光當中
[00:04:07.600 --> 00:04:10.400]  並且這份光不是只有一刻
[00:04:10.400 --> 00:04:14.880]  不是只是星期天回來聽那十幾二十分鐘
[00:04:14.880 --> 00:04:16.880]  而是一生都可以帶著我們
[00:04:16.880 --> 00:04:18.880]  我不知道大家想起光
[00:04:18.880 --> 00:04:20.880]  你想起一個什麼畫面
[00:04:20.880 --> 00:04:22.880]  我想光是有很多狀態的
[00:04:22.880 --> 00:04:24.880]  例如我今天一出來
[00:04:24.880 --> 00:04:26.880]  走過來這個旺鎮
[00:04:26.880 --> 00:04:28.880]  我覺得今天的太陽太強了
[00:04:28.880 --> 00:04:30.880]  最近太陽太強了
[00:04:30.880 --> 00:04:32.880]  有些警報指外線光很高
[00:04:32.880 --> 00:04:34.880]  這是其中一種光的狀態
[00:04:34.880 --> 00:04:36.880]  但光不是只有一種狀態
[00:04:36.880 --> 00:04:40.880]  晚上你以前燙著一支火柴
[00:04:40.880 --> 00:04:42.880]  點著的光
[00:04:42.880 --> 00:04:46.880]  或者回到比較遠舊的年代
[00:04:46.880 --> 00:04:48.880]  我們用一些蠟燭
[00:04:48.880 --> 00:04:50.880]  油燈點著
[00:04:50.880 --> 00:04:52.880]  在晚上當中燙著燙著的那種
[00:04:52.880 --> 00:04:54.880]  都是光
[00:04:54.880 --> 00:04:56.880]  所以當我們活在上帝的光中的時候
[00:04:56.880 --> 00:04:58.880]  我不知道你立刻想到的是什麼畫面
[00:04:58.880 --> 00:05:02.880]  可能你想到很熱很溫暖的畫面
[00:05:02.880 --> 00:05:04.880]  但我想今天我們所讀的經文
[00:05:04.880 --> 00:05:06.880]  可能未必是這種畫面
[00:05:06.880 --> 00:05:08.880]  今天我們所讀的經文
[00:05:08.880 --> 00:05:10.880]  有一節大家很熟悉的
[00:05:10.880 --> 00:05:12.880]  上帝你的畫是我們腳前的燈
[00:05:12.880 --> 00:05:14.880]  路上的光
[00:05:14.880 --> 00:05:16.880]  這個畫面到底是否說
[00:05:16.880 --> 00:05:18.880]  我們回到日間
[00:05:18.880 --> 00:05:20.880]  太陽很曬
[00:05:20.880 --> 00:05:22.880]  我想不是
[00:05:22.880 --> 00:05:24.880]  這個畫面比較像在晚上
[00:05:24.880 --> 00:05:26.880]  黑漆漆
[00:05:26.880 --> 00:05:28.880]  然後古時的人想回家
[00:05:28.880 --> 00:05:30.880]  看不到路怎麼辦
[00:05:30.880 --> 00:05:32.880]  只好拿起一盞油燈
[00:05:32.880 --> 00:05:34.880]  或者火把之類的東西
[00:05:34.880 --> 00:05:36.880]  然後我們現代人很難感受
[00:05:36.880 --> 00:05:38.880]  因為晚上不會拿油燈
[00:05:38.880 --> 00:05:40.880]  最多拿手機
[00:05:40.880 --> 00:05:42.880]  但我知道舞會
[00:05:42.880 --> 00:05:44.880]  也有上行者
[00:05:44.880 --> 00:05:46.880]  團計會行山
[00:05:46.880 --> 00:05:48.880]  我不知道這裡有沒有上行者
[00:05:48.880 --> 00:05:50.880]  有沒有行過夜山
[00:05:50.880 --> 00:05:52.880]  或者晚上去行山
[00:05:52.880 --> 00:05:54.880]  你看不到路
[00:05:54.880 --> 00:05:56.880]  然後你會打開你的電筒
[00:05:56.880 --> 00:05:58.880]  或者拿手機燈亮了也好
[00:05:58.880 --> 00:06:00.880]  然後會怎樣
[00:06:00.880 --> 00:06:02.880]  你就會發覺前面那一格的路
[00:06:02.880 --> 00:06:04.880]  就很光猛
[00:06:04.880 --> 00:06:06.880]  但遠一點會怎樣
[00:06:06.880 --> 00:06:08.880]  有些人會覺得
[00:06:08.880 --> 00:06:10.880]  越光還會更光
[00:06:10.880 --> 00:06:12.880]  但你可以想像到畫面就是這樣
[00:06:12.880 --> 00:06:14.880]  當我們這些精文化
[00:06:14.880 --> 00:06:16.880]  在你腳前的燈路上的光的時候
[00:06:16.880 --> 00:06:18.880]  其實不是在說光猛猛
[00:06:18.880 --> 00:06:20.880]  是在說在黑暗當中
[00:06:20.880 --> 00:06:22.880]  你拿著一盞油燈
[00:06:22.880 --> 00:06:24.880]  眨下眨下
[00:06:24.880 --> 00:06:26.880]  你看不到最遠的地方
[00:06:26.880 --> 00:06:28.880]  但起碼
[00:06:28.880 --> 00:06:30.880]  你看到你眼前的那一步
[00:06:30.880 --> 00:06:32.880]  可以怎樣走好
[00:06:32.880 --> 00:06:34.880]  不要在眼前的石頭
[00:06:34.880 --> 00:06:36.880]  卡到你
[00:06:36.880 --> 00:06:38.880]  我想這段經文一開始
[00:06:38.880 --> 00:06:40.880]  給了我們這樣的背景
[00:06:40.880 --> 00:06:42.880]  看到原來在上帝光中
[00:06:42.880 --> 00:06:44.880]  有一種狀態就是在黑暗當中
[00:06:44.880 --> 00:06:46.880]  上帝一步一步
