
[00:00:00.000 --> 00:00:02.240]  本主日的經訓是
[00:00:02.240 --> 00:00:05.240]  《雅各書》二章一至七節
[00:00:05.240 --> 00:00:09.240]  由陳玉峰弟兄為我們宣讀
[00:00:09.240 --> 00:00:10.800]  之後有
[00:00:10.800 --> 00:00:13.640]  金庸業 灰暗團契總幹事
[00:00:13.640 --> 00:00:16.440]  陳啟興牧師在我們當中靜悟
[00:00:16.440 --> 00:00:17.400]  他的題目是
[00:00:17.400 --> 00:00:20.920]  生命見真章系列的不二貌取人
[00:00:20.920 --> 00:00:34.920]  《雅各書》第二章一至七節
[00:00:34.920 --> 00:00:38.920]  今日的經訓是記載在新約的《雅各書》
[00:00:38.920 --> 00:00:40.920]  第322頁
[00:00:40.920 --> 00:00:43.920]  教會的聖經322頁
[00:00:43.920 --> 00:00:45.920]  請大家翻開
[00:00:45.920 --> 00:00:47.920]  或者看程序表
[00:00:47.920 --> 00:00:49.920]  我聽外讀出
[00:00:49.920 --> 00:00:56.920]  第二章一節
[00:00:56.920 --> 00:00:58.920]  我的弟兄們
[00:00:58.920 --> 00:01:02.920]  你們信奉我們榮耀的主耶穌基督
[00:01:02.920 --> 00:01:05.920]  便不可按著外貌待人
[00:01:05.920 --> 00:01:08.920]  若有一個人戴著金戒指
[00:01:08.920 --> 00:01:11.920]  穿著華美衣服
[00:01:11.920 --> 00:01:13.920]  進你們的會堂去
[00:01:13.920 --> 00:01:15.920]  又有一個窮人
[00:01:15.920 --> 00:01:19.920]  穿著骯髒衣服也進去
[00:01:19.920 --> 00:01:23.920]  你們就重看那穿華美衣服的人
[00:01:23.920 --> 00:01:27.920]  說:請坐在這好位上
[00:01:27.920 --> 00:01:30.920]  又對那窮人說:
[00:01:30.920 --> 00:01:32.920]  你站在那裡?
[00:01:32.920 --> 00:01:35.920]  或坐在我腳椅下?
[00:01:35.920 --> 00:01:39.920]  這豈不是你們偏心待人
[00:01:39.920 --> 00:01:43.920]  用惡意斷定人嗎?
[00:01:43.920 --> 00:01:45.920]  我親愛的弟兄們
[00:01:45.920 --> 00:01:46.920]  請聽
[00:01:46.920 --> 00:01:51.920]  神豈不是揀選了世上的貧窮人
[00:01:51.920 --> 00:01:55.920]  叫他們在這信上付足
[00:01:55.920 --> 00:01:58.920]  並承受他所應許
[00:01:58.920 --> 00:02:02.920]  及那些愛他之人的國嗎?
[00:02:02.920 --> 00:02:05.920]  你們反倒羞辱貧窮人
[00:02:05.920 --> 00:02:09.920]  那付足人豈不是欺壓你們
[00:02:09.920 --> 00:02:13.920]  拉你們到公堂上去嗎?
[00:02:13.920 --> 00:02:19.920]  他們不是褻瀆你們所敬奉的尊名嗎?
[00:02:19.920 --> 00:02:21.920]  敬文獨筆
[00:02:21.920 --> 00:02:25.920]  願神賜福常讀他們的話語並且遵行的人
[00:02:25.920 --> 00:02:35.920]  弟兄姊妹早安
[00:02:35.920 --> 00:02:36.920]  早安
[00:02:36.920 --> 00:02:42.920]  很感恩陳牧師容許我不用穿西裝
[00:02:42.920 --> 00:02:45.920]  這個很感恩
[00:02:45.920 --> 00:02:48.920]  我相信大家不會以貌取港
[00:02:48.920 --> 00:02:50.920]  不穿西裝沒問題
[00:02:50.920 --> 00:02:53.920]  順便西裝也不穿
[00:02:53.920 --> 00:02:55.920]  衣袖也摺起來
[00:02:55.920 --> 00:02:56.920]  為甚麼呢?
[00:02:56.920 --> 00:03:00.920]  因為這段經文一點也不難明白
[00:03:00.920 --> 00:03:02.920]  你聽一次也明白
[00:03:02.920 --> 00:03:04.920]  很難做
[00:03:04.920 --> 00:03:05.920]  很難應用
[00:03:05.920 --> 00:03:08.920]  鼓勵大家對於雅各書
[00:03:08.920 --> 00:03:10.920]  很多經文都是
[00:03:10.920 --> 00:03:12.920]  「挾起衣袖去實踐」
[00:03:12.920 --> 00:03:14.920]  這才是關鍵
[00:03:14.920 --> 00:03:16.920]  但我們要靠聖靈
[00:03:16.920 --> 00:03:18.920]  心心禱告
[00:03:19.920 --> 00:03:21.920]  請主我們求祢的靈
[00:03:21.920 --> 00:03:24.920]  引導我們進入真理
[00:03:24.920 --> 00:03:27.920]  讓真理挑戰我們
[00:03:27.920 --> 00:03:29.920]  轉化我們
[00:03:29.920 --> 00:03:34.920]  求主給我們一顆謙卑柔軟的心靈
[00:03:34.920 --> 00:03:36.920]  我們願意去聽
[00:03:36.920 --> 00:03:38.920]  我們願意去改
[00:03:38.920 --> 00:03:41.920]  我們願意我們的生命更加土地起源
[00:03:41.920 --> 00:03:44.920]  不再以貌取人
[00:03:44.920 --> 00:03:47.920]  更加不願意以外表的東西
[00:03:47.920 --> 00:03:49.920]  去衡量自己
[00:03:49.920 --> 00:03:51.920]  求主幫助
[00:03:51.920 --> 00:03:53.920]  奉耶穌基督的聖名
[00:03:53.920 --> 00:03:54.920]  阿們
[00:03:54.920 --> 00:03:56.920]  在很多年前
[00:03:56.920 --> 00:03:57.920]  我有一個經歷
[00:03:57.920 --> 00:03:59.920]  我想是二、三十年前
[00:03:59.920 --> 00:04:02.920]  有一晚我下街跑步
[00:04:02.920 --> 00:04:04.920]  因為我有跑步的習慣
[00:04:04.920 --> 00:04:07.920]  那時候還住在公屋
[00:04:07.920 --> 00:04:08.920]  我穿得很難搭的
[00:04:08.920 --> 00:04:10.920]  我記得是一件背心
[00:04:10.920 --> 00:04:11.920]  一條短褲
[00:04:11.920 --> 00:04:14.920]  還穿著一雙白飯衣去跑步
[00:04:14.920 --> 00:04:18.920]  晚上滿面鬚根
[00:04:18.920 --> 00:04:21.920]  樣子不是很好看
[00:04:21.920 --> 00:04:24.920]  跑完步大概十一點多
[00:04:24.920 --> 00:04:25.920]  回到家
[00:04:25.920 --> 00:04:27.920]  在樓下等電梯
[00:04:27.920 --> 00:04:31.920]  我身邊有一個中年婦人和她一起等電梯
[00:04:31.920 --> 00:04:33.920]  只有我們兩個
[00:04:33.920 --> 00:04:35.920]  電梯門開了
[00:04:35.920 --> 00:04:37.920]  我進電梯了
[00:04:37.920 --> 00:04:38.920]  要回樓
[00:04:38.920 --> 00:04:40.920]  怎知道她不進
[00:04:40.920 --> 00:04:43.920]  從她看著我的眼神
[00:04:43.920 --> 00:04:46.920]  過了二、三十年我還記得
[00:04:46.920 --> 00:04:50.920]  我猜她看見我的樣子
[00:04:50.920 --> 00:04:53.920]  我猜她猜我是壞人
[00:04:53.920 --> 00:04:55.920]  所以就被指責
[00:04:55.920 --> 00:04:56.920]  隔壁不好
[00:04:56.920 --> 00:04:57.920]  進電梯不好
[00:04:57.920 --> 00:04:59.920]  跟著這個人
[00:04:59.920 --> 00:05:02.920]  被人以貌取人不是很好受
[00:05:02.920 --> 00:05:04.920]  我到今天還記得
[00:05:04.920 --> 00:05:10.920]  當年一個很短很小的生命片段
[00:05:10.920 --> 00:05:12.920]  小姐妹
