
[00:00:00.000 --> 00:00:02.840]  今天是經訓的時間
[00:00:02.840 --> 00:00:05.000]  我會選讀一段經文
[00:00:05.000 --> 00:00:08.480]  是舊約聖經的《尼希米記》
[00:00:08.480 --> 00:00:11.680]  在大家手上的聖經第591頁
[00:00:11.680 --> 00:00:13.720]  我們今天會讀出
[00:00:13.720 --> 00:00:16.720]  《尼米記》第一章一至十一節
[00:00:16.720 --> 00:00:22.440]  哈加利亞的兒子
[00:00:22.440 --> 00:00:25.120]  尼希米的言語如下
[00:00:25.120 --> 00:00:27.000]  阿達是西王
[00:00:27.000 --> 00:00:29.000]  二十年基斯留約
[00:00:29.400 --> 00:00:31.400]  我在書山城的宮中
[00:00:31.400 --> 00:00:35.680]  那時有我一個弟兄哈拿尼
[00:00:35.680 --> 00:00:38.680]  同著幾個人從猶大來
[00:00:38.680 --> 00:00:41.720]  我問他們那些被擄歸回
[00:00:41.720 --> 00:00:44.200]  盛夏逃脫的猶大人
[00:00:44.200 --> 00:00:46.800]  和耶路撒冷的光景
[00:00:46.800 --> 00:00:48.600]  他們對我說
[00:00:48.600 --> 00:00:51.680]  那些被擄歸回盛夏的人
[00:00:51.680 --> 00:00:55.560]  在猶大省遭大難受凌辱
[00:00:55.560 --> 00:00:59.080]  並且耶路撒冷的城牆拆毀
[00:00:59.320 --> 00:01:02.200]  城門被火焚燒
[00:01:02.200 --> 00:01:04.120]  我聽見這話
[00:01:04.120 --> 00:01:07.120]  就坐下哭泣悲哀幾日
[00:01:07.120 --> 00:01:11.400]  在天上的神面前禁食、祈禱、說
[00:01:11.400 --> 00:01:14.280]  耶路說天上的神
[00:01:14.280 --> 00:01:16.280]  大而可畏的神啊
[00:01:16.280 --> 00:01:19.800]  祢向愛祢守祢誡命的人
[00:01:19.800 --> 00:01:21.880]  守約、施慈愛
[00:01:21.880 --> 00:01:25.320]  願祢睜眼看、側耳聽
[00:01:25.560 --> 00:01:28.040]  祢僕人晝夜在祢面前
[00:01:28.040 --> 00:01:31.560]  為祢眾僕人以色列民的祈禱
[00:01:31.560 --> 00:01:33.720]  承認我們以色列人
[00:01:33.720 --> 00:01:35.720]  向祢所犯的罪
[00:01:35.720 --> 00:01:39.240]  我與我父家都有罪了
[00:01:39.240 --> 00:01:43.800]  我們向祢所行的甚是邪惡
[00:01:43.800 --> 00:01:47.040]  沒有遵守祢藉著僕人摩西
[00:01:47.040 --> 00:01:50.520]  所吩咐的誡命、律例、典章
[00:01:50.520 --> 00:01:52.920]  求祢紀念所吩咐
[00:01:52.920 --> 00:01:55.320]  祢僕人摩西的話、說
[00:01:55.840 --> 00:01:57.240]  你們若犯罪
[00:01:57.240 --> 00:02:00.640]  我就把你們分散在萬民中
[00:02:00.640 --> 00:02:03.640]  但你們若歸向我
[00:02:03.640 --> 00:02:06.520]  謹守遵行我的誡命
[00:02:06.520 --> 00:02:08.840]  你們被趕散的人
[00:02:08.840 --> 00:02:10.320]  須在天涯
[00:02:10.320 --> 00:02:15.640]  我也必從那裡將他們招聚回來
[00:02:15.640 --> 00:02:19.840]  帶到我所選擇立為我命的居所
[00:02:19.840 --> 00:02:23.000]  這都是祢的僕人、祢的百姓
[00:02:23.320 --> 00:02:27.600]  就是祢用大力和大能的手所救贖的
[00:02:27.600 --> 00:02:28.880]  主啊
[00:02:28.880 --> 00:02:32.040]  求祢質以聽祢僕人的祈禱
[00:02:32.040 --> 00:02:34.280]  和喜愛敬畏祢名
[00:02:34.280 --> 00:02:36.240]  眾僕人的祈禱
[00:02:36.240 --> 00:02:39.000]  使祢僕人現今坎通
[00:02:39.000 --> 00:02:41.400]  在王面前蒙恩
[00:02:41.400 --> 00:02:44.200]  我是作王走證的
[00:02:44.200 --> 00:02:46.200]  (字幕:梁靜茹)
[00:02:46.200 --> 00:02:48.200]  (字幕:梁靜茹)
[00:02:48.200 --> 00:02:50.200]  (字幕:梁靜茹)
[00:02:50.200 --> 00:02:52.200]  (字幕:梁靜茹)
[00:02:53.200 --> 00:02:55.200]  (字幕:梁靜茹)
[00:02:56.200 --> 00:02:57.200]  有一段時間
[00:02:57.200 --> 00:03:02.200]  我們都沒有在講壇裡宣講尼希米基的信息
[00:03:02.200 --> 00:03:04.200]  如果你有留意
[00:03:04.200 --> 00:03:08.200]  尼希米基和他在聖經裡的上一卷書
[00:03:08.200 --> 00:03:09.200]  以斯拉記
[00:03:09.200 --> 00:03:12.200]  可以說是一冊
[00:03:12.200 --> 00:03:14.200]  一卷書分兩冊
[00:03:14.200 --> 00:03:15.200]  上下冊
[00:03:15.200 --> 00:03:20.200]  都是記載著當上帝的子民
[00:03:20.200 --> 00:03:24.200]  從老遠的波斯帝國回歸耶路撒冷之後
[00:03:24.200 --> 00:03:26.200]  到底發生了什麼事
[00:03:26.200 --> 00:03:28.200]  上一集的以斯拉記
[00:03:28.200 --> 00:03:30.200]  主要的信息就是
[00:03:30.200 --> 00:03:34.200]  怎樣幫助這群百姓重建聖殿
[00:03:34.200 --> 00:03:37.200]  更重要的就是
[00:03:37.200 --> 00:03:42.200]  重新定位律法書在百姓心目中的地位
[00:03:42.200 --> 00:03:45.200]  他們之所以亡國被擄
[00:03:45.200 --> 00:03:49.200]  正正是因為他們不遵守上帝的律法
