
[00:00:00.000 --> 00:00:05.120]  弟兄姊妹,讓我們以聆聽聖道繼續敬拜
[00:00:05.120 --> 00:00:06.600]  今日我們選讀的經文是
[00:00:06.600 --> 00:00:10.560]  《新約聖經》路加福音第十八章九至十四節
[00:00:10.560 --> 00:00:14.000]  在教會聖經裡的第110頁
[00:00:14.000 --> 00:00:17.360]  或者在程序表裡也印製了出來
[00:00:17.360 --> 00:00:22.320]  請聽我讀出路加福音十八章第九節
[00:00:22.320 --> 00:00:28.840]  「耶穌向那些仗著自己是義人,藐視別人的」
[00:00:28.840 --> 00:00:31.240]  設一個比喻,說:
[00:00:31.240 --> 00:00:39.280]  「有兩個人上殿裡去禱告,一個是法利塞人,一個是瑞利。」
[00:00:39.280 --> 00:00:44.280]  「法利塞人站著自言自語地禱告說:
[00:00:44.280 --> 00:00:50.840]  「神啊,我感謝祢,我不仗別人勒索,不義姦淫,
[00:00:50.840 --> 00:00:56.280]  也不仗這個瑞利,我是一個禮拜禁食兩次,
[00:00:56.280 --> 00:01:01.920]  凡我所得的都捐上十分之一。」
[00:01:01.920 --> 00:01:09.280]  「那瑞利遠遠地站著,連舉目望天也不敢,
[00:01:09.280 --> 00:01:17.160]  只垂著胸說:神啊,開恩可憐我這個罪人。」
[00:01:17.160 --> 00:01:22.680]  「我告訴你們,這人回家去,被那人倒算為異了,
[00:01:22.680 --> 00:01:29.800]  因為凡自高的必降為卑,自卑的必升為高。」
[00:01:29.800 --> 00:01:44.720]  各位弟兄姊妹早安
[00:01:44.720 --> 00:01:45.720]  早安
[00:01:45.720 --> 00:01:51.800]  我和老公拍拖時,他帶我去看一套電影
[00:01:51.800 --> 00:01:59.480]  是一套完全視覺沉浸式的朱古力電影
[00:01:59.480 --> 00:02:05.000]  不知道大家有沒有看過,叫做《朱古力掌門人》
[00:02:05.000 --> 00:02:09.720]  對我來說,大家認識我,應該知道我不喜歡朱古力
[00:02:09.720 --> 00:02:12.640]  所以對我來說是一套非常難忘的電影
[00:02:12.640 --> 00:02:18.840]  故事講述一個名叫Charlie的出身非常貧窮的男子
[00:02:18.840 --> 00:02:25.080]  他住在一個出產Wonka牌朱古力的工廠旁邊
