
[00:00:00.000 --> 00:00:03.920]  在希伯來書十二章一至三節
[00:00:03.920 --> 00:00:05.920]  裏面是這樣記載
[00:00:05.920 --> 00:00:10.880]  我們既有這許多的見證人
[00:00:10.880 --> 00:00:13.600]  如同運彩圍著我們
[00:00:13.600 --> 00:00:16.720]  就當放下各樣的重擔
[00:00:16.720 --> 00:00:20.000]  脫去容易纏累我們的罪
[00:00:20.000 --> 00:00:21.680]  全心忍耐
[00:00:21.680 --> 00:00:24.480]  奔那擺在我們前頭的路程
[00:00:24.480 --> 00:00:29.040]  仰望為我們信心創始成眾的耶穌
[00:00:29.760 --> 00:00:32.640]  他因擺在那前面的喜樂
[00:00:32.640 --> 00:00:34.640]  就輕看羞辱
[00:00:34.640 --> 00:00:37.440]  忍受了十字架的苦難
[00:00:37.440 --> 00:00:40.960]  便坐在神寶座的右邊
[00:00:40.960 --> 00:00:45.680]  那些受罪人這樣頂撞的
[00:00:45.680 --> 00:00:47.680]  你們要思想
[00:00:47.680 --> 00:00:51.840]  免得疲倦灰心
[00:00:51.840 --> 00:00:56.160]  接著下來有陳明荃牧師
[00:00:56.160 --> 00:00:59.200]  透過這段經文來勉勵我們
[00:00:59.200 --> 00:01:01.200]  請陳明荃牧師
[00:01:01.200 --> 00:01:03.200]  在這段經文裏面
[00:01:03.200 --> 00:01:05.200]  提及到受苦者的苦難
[00:01:05.200 --> 00:01:07.200]  和受苦者的痛苦
[00:01:07.200 --> 00:01:09.200]  請陳明荃牧師
[00:01:09.200 --> 00:01:11.200]  在這段經文裏面
[00:01:11.200 --> 00:01:13.200]  提及到受苦者的苦難
[00:01:13.200 --> 00:01:15.200]  和受苦者的痛苦
[00:01:15.200 --> 00:01:17.200]  請陳明荃牧師
[00:01:17.200 --> 00:01:19.200]  在這段經文裏面
[00:01:19.200 --> 00:01:21.200]  提及到受苦者的苦難
[00:01:21.200 --> 00:01:23.200]  和受苦者的痛苦
[00:01:23.200 --> 00:01:25.200]  請陳明荃牧師
[00:01:25.200 --> 00:01:27.200]  在這段經文裏面
[00:01:27.200 --> 00:01:29.200]  提及到受苦者的苦難
[00:01:29.200 --> 00:01:31.200]  和受苦者的痛苦
[00:01:31.200 --> 00:01:33.200]  請陳明荃牧師
[00:01:33.200 --> 00:01:35.200]  在這段經文裏面
