
[00:00:00.000 --> 00:00:02.320]  也是經訓的時間
[00:00:02.320 --> 00:00:04.920]  今天所讀的經文是記載在
[00:00:04.920 --> 00:00:10.000]  新約《馬太福音》第七章十三至二十三節
[00:00:10.000 --> 00:00:12.000]  是在本堂的聖經
[00:00:12.000 --> 00:00:17.000]  唐庸聖經是在新約的九頁和十頁
[00:00:17.000 --> 00:00:21.000]  請聽我讀出
[00:00:21.000 --> 00:00:29.000]  「你們要進閘門,因為引渡滅亡,那門是寬的,路是大的,
[00:00:29.000 --> 00:00:37.000]  進去的人也多,引渡永生那門是窄的,路是少的,
[00:00:37.000 --> 00:00:43.000]  找著的人也少。你們要防備,假先知,
[00:00:43.000 --> 00:00:51.000]  他們到你們這裡來,外面披著羊皮,裡面卻是殘暴的狼。
[00:00:51.000 --> 00:00:56.000]  憑著他們的果子,就可以認出他們來。
[00:00:56.000 --> 00:01:00.000]  荊棘上豈能摘葡萄?
[00:01:00.000 --> 00:01:04.000]  窒泥裡豈能摘無花果?
[00:01:04.000 --> 00:01:09.000]  這樣,凡好樹都結好果子,
[00:01:09.000 --> 00:01:13.000]  唯獨壞樹結壞果子。
[00:01:13.000 --> 00:01:21.000]  好樹不能結壞果子,壞樹不能結好果子,
[00:01:21.000 --> 00:01:27.000]  凡不結好果子的樹,就撼下來,凋在火裡。
[00:01:27.000 --> 00:01:34.000]  所以,憑著他們的果子,就可以認出他們來。
[00:01:34.000 --> 00:01:40.000]  凡稱呼我主呀,主呀的人,不能都進天國,
[00:01:40.000 --> 00:01:45.000]  唯獨遵行我天父旨意的人,才能進去。
[00:01:45.000 --> 00:01:53.000]  當那日必有許多人對我說,主呀,我們不是奉你的名傳道,
[00:01:53.000 --> 00:01:59.000]  奉你的名趕鬼,奉你的名行許多義能,
[00:01:59.000 --> 00:02:03.000]  我就明明白白地告訴他們說,
[00:02:03.000 --> 00:02:11.000]  我從來不認識你們,你們這些作惡的人,離開我去吧。
[00:02:11.000 --> 00:02:17.000]  經文獨筆,願神賜福上讀他話語並且進行的人。
[00:02:40.000 --> 00:02:45.000]  各位弟兄姊妹,今天我們要講的經文,
[00:02:45.000 --> 00:02:50.000]  記載在《馬太福音》七章十三至二十三節。
[00:02:50.000 --> 00:02:56.000]  今天已經來到我們由一月開始的講道主題,
[00:02:56.000 --> 00:03:01.000]  耶穌對門徒的十五個忠告的第幾講?
[00:03:01.000 --> 00:03:07.000]  十三還是十四?十四,很清楚,是第十四講。
[00:03:07.000 --> 00:03:13.000]  今天我們的主題是「走澤路」。
[00:03:13.000 --> 00:03:17.000]  前幾天我看報紙,看到有一個名人,
[00:03:17.000 --> 00:03:20.000]  他正在準備出一本書,
[00:03:20.000 --> 00:03:27.000]  是講關於對他五十句對他影響心軟的話。
[00:03:27.000 --> 00:03:29.000]  其中一句是這樣說的,
[00:03:29.000 --> 00:03:33.000]  他說他的爸爸教他,
[00:03:33.000 --> 00:03:39.000]  如果你迷茫的時候,就要選擇一條最難的路,
[00:03:39.000 --> 00:03:44.000]  因為就算不成功,你從中也會學到很多,
[00:03:44.000 --> 00:03:47.000]  以及可以成長。
[00:03:47.000 --> 00:03:51.000]  這一句話對於那位名人來說,
[00:03:51.000 --> 00:03:54.000]  心裡產生了極大的迴響,
[00:03:54.000 --> 00:03:57.000]  他自己不單單常常思考,
[00:03:57.000 --> 00:04:00.000]  在他的生活中他也常常應用,
[00:04:00.000 --> 00:04:04.000]  甚至他的兒子也是這樣教導。
[00:04:04.000 --> 00:04:07.000]  這句話是不是很有道理?
[00:04:07.000 --> 00:04:10.000]  這句話是不是很有智慧?
[00:04:10.000 --> 00:04:13.000]  但是我今天要和你們講的訊息,
[00:04:13.000 --> 00:04:18.000]  耶穌告訴我們要走澤路,
[00:04:18.000 --> 00:04:25.000]  這一句話同樣會幫助我們成長,
[00:04:25.000 --> 00:04:28.000]  也會幫助我們有很多學習,
[00:04:28.000 --> 00:04:32.000]  但是不同的是,
[00:04:32.000 --> 00:04:38.000]  選擇難走的路不是在迷茫的時候才選擇,
[00:04:38.000 --> 00:04:42.000]  而且這條路是一定成功的。
[00:04:42.000 --> 00:04:44.000]  我們一起來看看,
[00:04:44.000 --> 00:04:47.000]  究竟耶穌所說的選擇難走的路,
[00:04:47.000 --> 00:04:51.000]  走澤路,走小路,究竟是怎樣?
[00:04:51.000 --> 00:04:55.000]  讓我們一起祈禱。
[00:04:55.000 --> 00:04:59.000]  親愛的主,幫助我們,
[00:04:59.000 --> 00:05:03.000]  在人生的路上我們認定祢,
[00:05:03.000 --> 00:05:07.000]  我們選擇一條走向永生的路,
[00:05:07.000 --> 00:05:10.000]  求祢幫助我們,
[00:05:10.000 --> 00:05:15.000]  打開我們的心去認定祢的話,
[00:05:15.000 --> 00:05:20.000]  以致我們人生的路上沒有選錯,沒有走錯,
[00:05:20.000 --> 00:05:24.000]  我們這樣禱告交托,奉主明求,阿門。
[00:05:25.000 --> 00:05:29.000]  上次第十三個忠告,
[00:05:29.000 --> 00:05:31.000]  是Ray牧師和我們分享,
[00:05:31.000 --> 00:05:33.000]  七章第十二節說,
[00:05:33.000 --> 00:05:38.000]  所以無論何時,你們想要人怎樣待你們,
[00:05:38.000 --> 00:05:40.000]  你們都要怎樣待人,
[00:05:40.000 --> 00:05:44.000]  因為這就是律法和先知的道理,
[00:05:44.000 --> 00:05:50.000]  這可以說是登山補訓主體的一個總結,
[00:05:50.000 --> 00:05:54.000]  耶穌一開始告訴我們,
[00:05:54.000 --> 00:05:56.000]  祂不是要廢除律法,
[00:05:56.000 --> 00:05:59.000]  祂是要承傳律法和先知,
[00:05:59.000 --> 00:06:02.000]  而待人如己,
[00:06:02.000 --> 00:06:04.000]  以恩慈去待人,
[00:06:04.000 --> 00:06:06.000]  就是這個律法的總結,
[00:06:06.000 --> 00:06:09.000]  是我們踐行律法的目標,
[00:06:09.000 --> 00:06:14.000]  耶穌希望祂的門徒能夠竭力地去執行,
[00:06:14.000 --> 00:06:18.000]  到了第十三至二十七節,
[00:06:18.000 --> 00:06:23.000]  祂會鄭重地向他們警告,
[00:06:23.000 --> 00:06:27.000]  我用警告這個字,不是用忠告,
[00:06:27.000 --> 00:06:33.000]  是因為在這十三至二十七節的教導,
[00:06:33.000 --> 00:06:36.000]  帶來的後果是嚴重的,
[00:06:36.000 --> 00:06:40.000]  所以其實這個段落就是告訴我們,
[00:06:40.000 --> 00:06:43.000]  我們聽了這麼多登山補訓裏,
[00:06:43.000 --> 00:06:46.000]  這麼寶貴的教訓,
[00:06:46.000 --> 00:06:49.000]  律法和先知的教訓之後,
[00:06:49.000 --> 00:06:54.000]  我們應該如何去回應?
[00:06:54.000 --> 00:06:56.000]  首先我們要看看,
[00:06:56.000 --> 00:06:59.000]  其實這裏是呼籲我們,
[00:06:59.000 --> 00:07:05.000]  呼籲我們怎樣可以走進天國?
[00:07:05.000 --> 00:07:10.000]  在十三至二十七節這一連串的教導裏,
[00:07:10.000 --> 00:07:14.000]  總共有五個圖像,或者我們稱為五個比喻,
[00:07:14.000 --> 00:07:18.000]  裏面都有一個對比,
[00:07:18.000 --> 00:07:23.000]  都會讓群眾看到,其實是有兩個選擇,
[00:07:23.000 --> 00:07:27.000]  你會看到這些選擇裏面是很分明,
[00:07:27.000 --> 00:07:28.000]  很對立,
