
[00:00:00.000 --> 00:00:02.000]  以下是經訓的時間
[00:00:02.000 --> 00:00:07.000]  今天我們選讀的經文是舊約聖經的詩篇第22篇
[00:00:07.000 --> 00:00:09.000]  一首大衛的詩
[00:00:09.000 --> 00:00:13.000]  詩篇第22篇 請聽我讀出
[00:00:13.000 --> 00:00:18.000]  我的神 我的神 為什麼離棄我
[00:00:18.000 --> 00:00:24.000]  為什麼遠離不救我 不聽我哀憨的言語
[00:00:24.000 --> 00:00:29.000]  我的神 我白日呼求 理不應運
[00:00:29.000 --> 00:00:32.000]  夜間呼求 並不駐聲
[00:00:32.000 --> 00:00:40.000]  但你是聖潔的 是用以色列的讚美為寶座的
[00:00:40.000 --> 00:00:43.000]  我們的祖宗倚靠你
[00:00:43.000 --> 00:00:46.000]  他們倚靠你 你便解救他們
[00:00:46.000 --> 00:00:50.000]  他們哀求你 便蒙解救
[00:00:50.000 --> 00:00:54.000]  他們倚靠你 就不羞愧
[00:00:55.000 --> 00:01:03.000]  但我是蟲 不是人 被眾人羞辱 被百姓藐視
[00:01:03.000 --> 00:01:09.000]  凡看見我的 都竊笑我 他們撇嘴搖頭說
[00:01:09.000 --> 00:01:14.000]  他把自己交託耶和華 耶和華可以救他吧
[00:01:14.000 --> 00:01:19.000]  耶和華既喜悅他 可以答救他吧
[00:01:19.000 --> 00:01:23.000]  但你是叫我出無福的
[00:01:24.000 --> 00:01:29.000]  我在無福的裡 你就使我有倚靠的心
[00:01:29.000 --> 00:01:33.000]  我自出母胎 就被交在你手裡
[00:01:33.000 --> 00:01:38.000]  從我母親生我 你就是我的神
[00:01:38.000 --> 00:01:43.000]  求你不要遠離我 因為急難臨近了
[00:01:43.000 --> 00:01:48.000]  沒有人幫助我 有許多公牛圍繞我
[00:01:48.000 --> 00:01:52.000]  巴山大力的牛工 四面困住我
[00:01:53.000 --> 00:01:58.000]  他們向我張口 好像找屍敲叫的獅子
[00:01:58.000 --> 00:02:03.000]  我如水被倒出來 我的骨頭都脫了節
[00:02:03.000 --> 00:02:07.000]  我心在我裡面如蠟融化
[00:02:07.000 --> 00:02:14.000]  我的精力枯乾如同瓦片 我的舌頭貼在我牙床上
[00:02:14.000 --> 00:02:18.000]  你將我安置在死地的塵土中
