
[00:00:00.000 --> 00:00:05.680]  兄弟姐妹今天我們會一起去重讀兩段經文
[00:00:05.680 --> 00:00:10.720]  兩處的經文是來自馬太福音第十一章二十八節到三十節
[00:00:10.720 --> 00:00:14.520]  以及哥林多前書第十三章四至五節
[00:00:14.520 --> 00:00:16.520]  我先讀馬太福音
[00:00:16.520 --> 00:00:21.320]  凡奴婦擔重擔的人可以到我這裡來
[00:00:21.320 --> 00:00:23.320]  我就使你們得安息
[00:00:23.320 --> 00:00:26.320]  我心裡柔和謙卑
[00:00:26.320 --> 00:00:30.320]  你們當負我的厄 學我的洋式
[00:00:30.320 --> 00:00:34.320]  這樣你們心裡就必得享安息
[00:00:34.320 --> 00:00:40.320]  因為我的厄是容易的 我的擔子是輕散的
[00:00:40.320 --> 00:00:45.320]  另外一處經文哥林多前書十三章四至五節
[00:00:45.320 --> 00:00:49.320]  愛是恆久忍耐又有因此
[00:00:49.320 --> 00:00:55.320]  愛是不疾度 愛是不自誇 不張狂 不作害羞的是
[00:00:55.320 --> 00:01:02.320]  不求自己的益處 不輕易發怒 不計算人的惡
[00:01:02.320 --> 00:01:07.320]  今天為我們正道的是我們親愛的羅志強執事阿叔
[00:01:07.320 --> 00:01:11.320]  今天宣講的主題是福音如愛的實踐
[00:01:11.320 --> 00:01:38.320]  (音樂停止)
[00:01:38.320 --> 00:01:41.320]  弟兄姊妹你們好
[00:01:41.320 --> 00:01:43.320]  聖誕節過了
[00:01:43.320 --> 00:01:46.320]  所以我預祝大家新年快樂
[00:01:46.320 --> 00:01:50.320]  在這裡我很感恩
[00:01:50.320 --> 00:01:52.320]  自從去年大約八月的時候
[00:01:52.320 --> 00:01:55.320]  我確診肺炎的時候
[00:01:55.320 --> 00:02:00.320]  到現在差不多有一個年半的時間
[00:02:00.320 --> 00:02:02.320]  已經有差不多兩個年的時間
[00:02:02.320 --> 00:02:06.320]  沒有機會和大家分享神的話語
[00:02:06.320 --> 00:02:11.320]  所以很感恩神今天在零年給我有機會和大家分享
[00:02:11.320 --> 00:02:14.320]  在這裡我不單止為自己感恩
[00:02:14.320 --> 00:02:17.320]  我也要為教會感恩
[00:02:17.320 --> 00:02:19.320]  作為執事會主席
[00:02:19.320 --> 00:02:22.320]  我在這裡我願意代表教會
[00:02:22.320 --> 00:02:25.320]  去多謝我們每一位傳道同工
[00:02:25.320 --> 00:02:29.320]  和其他幹事的配合
[00:02:29.320 --> 00:02:31.320]  因為疫情的緣故
[00:02:31.320 --> 00:02:35.320]  我們同工沒有因為這樣的緣故而放下他們的工作
[00:02:35.320 --> 00:02:39.320]  反之他們運用各方面的聰明和智慧
[00:02:39.320 --> 00:02:41.320]  媒體組的幫助
[00:02:41.320 --> 00:02:46.320]  使我們在媒體上做得相當出色
[00:02:46.320 --> 00:02:48.320]  不論是網上的崇拜
[00:02:48.320 --> 00:02:51.320]  不論是網上的祈禱會
[00:02:51.320 --> 00:02:54.320]  不論是四十天的目者家書
[00:02:54.320 --> 00:02:56.320]  不論是刺客心聲
[00:02:56.320 --> 00:02:58.320]  新世代書俗
[00:02:58.320 --> 00:03:01.320]  甚至最近的奇怪的禮物
[00:03:01.320 --> 00:03:05.320]  我們看到同工的努力不懈
[00:03:05.320 --> 00:03:07.320]  不單止這樣
[00:03:07.320 --> 00:03:09.320]  因為疫情的緣故
[00:03:09.320 --> 00:03:12.320]  我們更加多了和不同的福音機構合作
[00:03:12.320 --> 00:03:14.320]  不論是無家者協會
[00:03:14.320 --> 00:03:15.320]  新年心
