
[00:00:00.000 --> 00:00:02.000]  (主持)接著是讀經
[00:00:02.000 --> 00:00:09.000]  今天的經文是《馬太福音》第四章二十四節到第五章第三節
[00:00:09.000 --> 00:00:12.000]  經文都印在你們的程序表內頁
[00:00:12.000 --> 00:00:13.000]  請聽我讀
[00:00:13.000 --> 00:00:17.000]  《馬太福音》四章二十四節
[00:00:17.000 --> 00:00:20.000]  「他的名聲就傳遍了敘利亞」
[00:00:20.000 --> 00:00:23.000]  「那類的人把一切害病的」
[00:00:23.000 --> 00:00:28.000]  「就是害各樣疾病、各樣疼痛的和被鬼附的」
[00:00:28.000 --> 00:00:32.000]  「癲癇的、癱瘓的都帶了來」
[00:00:32.000 --> 00:00:34.000]  「耶穌就治好了他們」
[00:00:34.000 --> 00:00:37.000]  「當下有許多人從加利利」
[00:00:37.000 --> 00:00:40.000]  「底加波利、耶路撒冷、猶太」
[00:00:40.000 --> 00:00:43.000]  「約旦河外來跟著他」
[00:00:43.000 --> 00:00:44.000]  第五章
[00:00:44.000 --> 00:00:48.000]  「看見這許多的人就上了山」
[00:00:48.000 --> 00:00:52.000]  「基於座下門徒到他跟前來」
[00:00:52.000 --> 00:00:55.000]  「他就開口教訓他們說」
[00:00:55.000 --> 00:00:57.000]  「虛心的人有福了」
[00:00:57.000 --> 00:01:00.000]  「因為天國是他們的」
[00:01:00.000 --> 00:01:01.000]  《聖經》讀筆
[00:01:01.000 --> 00:01:13.000]  跟著是宣講的時間
[00:01:13.000 --> 00:01:17.000]  今天的講員是張詠順牧師
[00:01:17.000 --> 00:01:19.000]  容我介紹一下
[00:01:19.000 --> 00:01:21.000]  張牧師本身是
[00:01:21.000 --> 00:01:26.000]  以前在建道神學院和恩福神學院的老師
[00:01:26.000 --> 00:01:28.000]  現在已經退休了
[00:01:28.000 --> 00:01:30.000]  不過他退而不休
[00:01:30.000 --> 00:01:35.000]  還是很有心的去栽培新一代的牧者
[00:01:35.000 --> 00:01:38.000]  是很願意為神所用的牧者
[00:01:38.000 --> 00:01:40.000]  我們請張詠順牧師
[00:01:40.000 --> 00:01:53.000]  很感動
[00:01:53.000 --> 00:01:58.000]  崇拜的領唱
[00:01:58.000 --> 00:02:01.000]  人歌合一是最高境界
[00:02:01.000 --> 00:02:03.000]  今天我看見你們是敬拜隊
[00:02:03.000 --> 00:02:05.000]  是人歌合一
[00:02:05.000 --> 00:02:06.000]  好
[00:02:06.000 --> 00:02:08.000]  跟著你的守靈隊
[00:02:08.000 --> 00:02:11.000]  換來換去你有沒有搞錯
[00:02:11.000 --> 00:02:13.000]  我真的很擔心你拿錯東西
[00:02:13.000 --> 00:02:14.000]  真的很厲害
[00:02:14.000 --> 00:02:16.000]  再給點掌聲
[00:02:16.000 --> 00:02:17.000]  好啊
[00:02:17.000 --> 00:02:19.000]  很感動啊
[00:02:19.000 --> 00:02:20.000]  謝謝
[00:02:20.000 --> 00:02:22.000]  你們訓練有素
[00:02:22.000 --> 00:02:26.000]  這幾排講到
[00:02:26.000 --> 00:02:31.000]  我心裏面常常有一種千言萬語
[00:02:31.000 --> 00:02:33.000]  不知如何說
[00:02:33.000 --> 00:02:35.000]  因為我想講整個偉大
[00:02:35.000 --> 00:02:37.000]  我想講我們的卑微
[00:02:37.000 --> 00:02:38.000]  不知如何說
[00:02:38.000 --> 00:02:40.000]  我今天嘗試又講一下
[00:02:40.000 --> 00:02:47.000]  其實來黃浸我是舊地重遊
[00:02:47.000 --> 00:02:48.000]  為什麼呢
[00:02:48.000 --> 00:02:50.000]  因為去年年尾
[00:02:50.000 --> 00:02:54.000]  我帶一班恩福學生來黃浸取經
[00:02:54.000 --> 00:02:57.000]  先去見到神學院長洲取經
[00:02:57.000 --> 00:02:58.000]  取完之後
[00:02:58.000 --> 00:02:59.000]  我就跟人傾
[00:02:59.000 --> 00:03:01.000]  來哪間教會取經好呢
[00:03:01.000 --> 00:03:04.000]  有些人堅持來黃浸
[00:03:04.000 --> 00:03:06.000]  證明你們教會有實力
[00:03:06.000 --> 00:03:09.000]  跟著陳牧師就brief我們
