
[00:00:00.000 --> 00:00:06.520]  今日頌讀的經文是詩篇65篇1至13節
[00:00:06.520 --> 00:00:10.320]  詩名是「讚頌主恩」
[00:00:10.320 --> 00:00:13.440]  今日是2023年最後幾日
[00:00:13.440 --> 00:00:16.040]  讓我們都藉著這首詩歌
[00:00:16.040 --> 00:00:21.520]  向我們的神獻上感恩 獻上頌讚
[00:00:21.520 --> 00:00:28.320]  詩篇65篇1至13節
[00:00:28.320 --> 00:00:33.520]  神啊 錫安的人 都等候讚美你
[00:00:33.520 --> 00:00:38.000]  所許的緣 也要向你償還
[00:00:38.000 --> 00:00:45.280]  聽禱告的主啊 凡有血氣的 都要來就你
[00:00:45.280 --> 00:00:47.920]  罪孽勝了我
[00:00:47.920 --> 00:00:53.040]  至於我們的個法 你都要赦免
[00:00:53.040 --> 00:00:59.320]  你所揀選使他親近你 住在你院中的
[00:00:59.320 --> 00:01:02.000]  這人 面為有福
[00:01:02.000 --> 00:01:09.520]  我們必因你居所 你聖殿的美福至足了
[00:01:09.520 --> 00:01:11.840]  請救我們的神啊
[00:01:11.840 --> 00:01:17.120]  你必以威嚴秉公義 應允我們
[00:01:17.120 --> 00:01:24.280]  你本是一切地極和海上 遠處的人所倚靠的
[00:01:24.280 --> 00:01:30.840]  他既已大能蓄腰 就用力量安定諸山
[00:01:30.840 --> 00:01:36.680]  使諸海的響聲 和其中波浪的響聲
[00:01:36.680 --> 00:01:41.360]  定萬民的喧嘩 都平靜了
[00:01:41.360 --> 00:01:46.360]  住在地極的人 因你的神跡懼怕
[00:01:46.360 --> 00:01:51.480]  你使日出日落之地 都歡呼
[00:01:51.480 --> 00:01:58.080]  你眷戀地 降下透雨 使地大得肥美
[00:01:58.080 --> 00:02:03.280]  神的河滿了水 你這樣囂觀了地
[00:02:03.280 --> 00:02:07.120]  好為人 預備誤局
[00:02:07.120 --> 00:02:12.400]  你囂透地的泥溝 潤平泥脊
[00:02:12.400 --> 00:02:20.120]  降金林 使地軟和 其中發長的蒙尼似福
[00:02:20.120 --> 00:02:23.800]  你以恩典為連瑞的冠冕
[00:02:23.800 --> 00:02:27.200]  你的路徑都滴下滋油
[00:02:27.200 --> 00:02:33.640]  滴在曠野的草場上 小山以歡樂蓄腰
[00:02:33.640 --> 00:02:40.160]  草場以羊群為衣 谷中也長滿了誤局
[00:02:40.160 --> 00:02:45.680]  這一切都歡呼歌唱 聖經獨白
[00:02:45.680 --> 00:02:53.920]  弟兄姊妹平安
[00:02:53.920 --> 00:02:55.360]  平安
[00:02:55.360 --> 00:02:58.120]  2023年即將要過去
[00:02:58.120 --> 00:03:00.520]  今天我們用這篇詩篇
[00:03:00.520 --> 00:03:04.280]  來數算上帝的恩典
[00:03:04.280 --> 00:03:05.560]  在這篇詩篇裏面
[00:03:05.560 --> 00:03:09.160]  傳統很多的悉經學家都相信
[00:03:09.160 --> 00:03:13.600]  這篇詩篇是用在農作物收成之後
[00:03:13.600 --> 00:03:15.320]  到聖殿獻祭
[00:03:15.320 --> 00:03:20.400]  又或者在一年年中或開頭的時候
[00:03:20.400 --> 00:03:26.000]  用這首詩歌來歌頌上主的看顧和保守
[00:03:26.000 --> 00:03:27.400]  不過這篇詩篇裏面
[00:03:27.400 --> 00:03:28.480]  你讀上去
[00:03:28.480 --> 00:03:33.760]  你會覺得好像有一點點跳來跳去
[00:03:33.760 --> 00:03:38.720]  因為裏面其實是說三個不同地方的意象
[00:03:38.720 --> 00:03:41.680]  今天我們用這三個地方的意象
[00:03:41.680 --> 00:03:44.120]  以及裏面描述的聲音
[00:03:44.120 --> 00:03:48.320]  來講述一下究竟詩人想幫助我們
[00:03:48.320 --> 00:03:52.840]  用什麼樣的態度來回顧上帝的恩典
[00:03:52.840 --> 00:03:55.720]  用什麼樣的態度來敬拜上帝
[00:03:55.720 --> 00:03:58.240]  所以今天我們
[00:03:58.240 --> 00:04:00.280]  你好像看荷里活片一樣
[00:04:00.280 --> 00:04:01.560]  去完A地方之後
[00:04:01.560 --> 00:04:03.600]  我們去看B地方
[00:04:03.600 --> 00:04:05.440]  而這三個不同的意象
[00:04:05.440 --> 00:04:09.720]  就成為了我們今天詩篇裏面三個的段落
[00:04:09.720 --> 00:04:11.240]  到最後我們會總結一下
[00:04:11.240 --> 00:04:14.520]  究竟我們帶著什麼樣的心態去到上帝面前
[00:04:14.520 --> 00:04:15.400]  我們先祈禱
[00:04:15.400 --> 00:04:16.320]  求上帝幫助我們
[00:04:16.320 --> 00:04:20.120]  同心祈禱
[00:04:20.120 --> 00:04:22.120]  親愛的天父我們感謝你
[00:04:22.120 --> 00:04:23.680]  在過去的一年
[00:04:23.680 --> 00:04:26.040]  無論我們人生順與逆
[00:04:26.040 --> 00:04:28.680]  我們都認定你是我們生命的主
[00:04:28.680 --> 00:04:29.680]  在我們人生當中
[00:04:29.680 --> 00:04:31.320]  如果沒有了你的時候
[00:04:31.320 --> 00:04:33.360]  我們人生都不知道怎麼辦
[00:04:33.360 --> 00:04:34.640]  但是我們感謝你
[00:04:34.640 --> 00:04:36.160]  因為你的看顧
[00:04:36.160 --> 00:04:37.440]  你的保守
[00:04:37.440 --> 00:04:38.560]  你的話語
[00:04:38.560 --> 00:04:42.240]  成為我們生命裏面最重要的明燈
