
[00:00:00.000 --> 00:00:02.240]  我們今天要聽神的說話
[00:00:02.240 --> 00:00:06.000]  是記載在哥倫多後書第十章
[00:00:06.000 --> 00:00:08.480]  十二至十八節
[00:00:08.480 --> 00:00:12.720]  哥倫多後書十章十二至十八節
[00:00:12.720 --> 00:00:15.680]  新約聖經的第二百五十三頁
[00:00:15.680 --> 00:00:19.160]  找到的請聽弟兄讀出
[00:00:19.160 --> 00:00:25.200]  哥倫多後書第十章十二節
[00:00:25.200 --> 00:00:28.920]  因為我們不敢將自己和那自薦的
[00:00:29.720 --> 00:00:31.320]  人同列相比
[00:00:31.320 --> 00:00:34.600]  他們用自己度量自己
[00:00:34.600 --> 00:00:36.920]  用自己比較自己
[00:00:36.920 --> 00:00:39.000]  乃是不通達的
[00:00:39.000 --> 00:00:41.960]  我們不願意分外誇厚
[00:00:41.960 --> 00:00:45.320]  只要照神所量給我們的界限
[00:00:45.320 --> 00:00:47.360]  救到你們那裡
[00:00:47.360 --> 00:00:50.440]  我們並非過了自己的界限
[00:00:50.440 --> 00:00:52.520]  好像救不到你的那裡
[00:00:52.520 --> 00:00:55.200]  因為我們早到你們那裡
[00:00:55.200 --> 00:00:56.840]  傳了基督的福音
[00:00:57.800 --> 00:01:01.800]  我們不將著別人所勞碌的分外誇厚
[00:01:01.800 --> 00:01:05.320]  但指望你們信心增長的時候
[00:01:05.320 --> 00:01:07.320]  所量給我們的界限
[00:01:07.320 --> 00:01:09.920]  就可以因著你們更加開展
[00:01:09.920 --> 00:01:13.640]  得以將福音傳到你們以外的地方
[00:01:13.640 --> 00:01:17.000]  並不是在別人界限之內
[00:01:17.000 --> 00:01:19.800]  藉著他現成的是誇厚
[00:01:19.800 --> 00:01:21.800]  但誇厚的
[00:01:21.800 --> 00:01:24.320]  當自著主誇厚
[00:01:24.800 --> 00:01:28.880]  因為蒙越立的不是自己清去的
[00:01:28.880 --> 00:01:31.800]  乃是主所清去的
[00:01:31.800 --> 00:01:33.240]  聖經獨筆
[00:01:33.240 --> 00:01:43.040]  各位親愛的兄弟姐妹
[00:01:43.040 --> 00:01:46.680]  我們來到第十六次講哥倫多後書
[00:01:46.680 --> 00:01:48.480]  越界的問題
[00:01:48.480 --> 00:01:53.280]  保羅在這裡直接回應
[00:01:53.760 --> 00:01:59.160]  那些將他和那些超級仕途做比較
[00:01:59.160 --> 00:02:04.840]  並且說他不如那些超級仕途的評論
[00:02:04.840 --> 00:02:07.080]  他首先回應的對象
[00:02:07.080 --> 00:02:10.200]  當然是那些提出這樣的說法的弟兄姐妹
[00:02:10.200 --> 00:02:11.320]  哥倫多的弟兄姐妹
[00:02:11.320 --> 00:02:12.920]  不過不可避免的
[00:02:12.920 --> 00:02:14.800]  因為他要答辯
[00:02:14.800 --> 00:02:16.560]  他不是不如人
[00:02:16.560 --> 00:02:17.640]  所以很自然的
[00:02:17.640 --> 00:02:22.720]  他也會提出一些對超級仕途的負面評價
[00:02:23.720 --> 00:02:26.520]  保羅首先用一個諷刺性的口吻說
[00:02:26.520 --> 00:02:27.720]  十二節
[00:02:27.720 --> 00:02:32.720]  因為我們不敢將自己和那自薦的人同列相比
[00:02:32.720 --> 00:02:35.640]  他們用自己度量自己
[00:02:35.640 --> 00:02:38.520]  用自己比較自己乃是不通達的
[00:02:38.520 --> 00:02:42.400]  不敢這裡指的不是沒有膽量
[00:02:42.400 --> 00:02:46.920]  而是我不會狼到放肆到
[00:02:46.920 --> 00:02:49.800]  口硬無恥到這樣的程度的意思
[00:02:49.800 --> 00:02:52.200]  就是說我做不到這樣的地步
[00:02:52.560 --> 00:02:54.800]  英文是fondary(誇張)
[00:02:54.800 --> 00:02:56.760]  或者是audacity(膽怯)
[00:02:56.760 --> 00:02:58.760]  總之是我受不了
[00:02:58.760 --> 00:03:00.480]  那是過了我的界線
[00:03:00.480 --> 00:03:04.800]  保羅敢去哥倫多懲處那些不服從的信徒
[00:03:04.800 --> 00:03:08.200]  但他不敢和那些哥倫多的信徒
[00:03:08.200 --> 00:03:12.040]  所推崇的超級仕途去做比較
[00:03:12.040 --> 00:03:13.280]  為什麼呢?
[00:03:13.280 --> 00:03:18.680]  因為這個超出了他作為基督仕途的道德底線
[00:03:18.680 --> 00:03:20.120]  和做人的原則
[00:03:20.680 --> 00:03:23.280]  那些人的所作所為
[00:03:23.280 --> 00:03:26.200]  是作為基督仕途的他不能夠做的
[00:03:26.200 --> 00:03:28.680]  他們一個很重要的特徵是什麼呢?
[00:03:28.680 --> 00:03:29.960]  是自我推薦
[00:03:29.960 --> 00:03:31.760]  self-commendation(自我推薦)
[00:03:31.760 --> 00:03:33.440]  自我宣傳
[00:03:33.440 --> 00:03:34.800]  自我誇耀
[00:03:34.800 --> 00:03:40.240]  這種自己訂定一個標準去量度自己
[00:03:40.240 --> 00:03:42.040]  自己為自己打分
[00:03:42.040 --> 00:03:44.160]  自己宣告自己滿分
[00:03:44.160 --> 00:03:45.200]  這樣的做法
[00:03:45.200 --> 00:03:47.400]  保羅說我怎樣都做不出來
[00:03:47.400 --> 00:03:49.480]  正如他在前面說
[00:03:49.800 --> 00:03:53.120]  凡是誇口的只能夠指著主誇口
