
[00:00:00.000 --> 00:00:05.680]  接下來我們繼續用聖道去敬拜
[00:00:05.680 --> 00:00:10.640]  今天我們選讀的經文是在新約聖經約翰福音
[00:00:10.640 --> 00:00:14.520]  約翰福音第二章十三到二十五節
[00:00:14.520 --> 00:00:17.680]  請聽我讀出
[00:00:17.680 --> 00:00:20.720]  猶太人的愉悅節近了
[00:00:20.720 --> 00:00:24.080]  耶穌就上耶路撒冷去
[00:00:24.080 --> 00:00:28.800]  看見店裡有賣牛羊甲子的
[00:00:28.800 --> 00:00:32.400]  並有兌換銀錢的人坐在那裡
[00:00:32.400 --> 00:00:36.240]  耶穌就拿繩子作成鞭子
[00:00:36.240 --> 00:00:39.360]  把牛羊都趕出店去
[00:00:39.360 --> 00:00:43.120]  倒出兌換銀錢之人的銀錢
[00:00:43.120 --> 00:00:45.840]  推翻他們的桌子
[00:00:45.840 --> 00:00:48.080]  有對賣甲子的說
[00:00:48.080 --> 00:00:50.080]  把這些東西拿去
[00:00:50.080 --> 00:00:54.400]  不要將我付的電當作買賣的地方
[00:00:54.400 --> 00:00:58.720]  他的門徒就想起經上記著說
[00:00:58.720 --> 00:01:03.520]  我為你的電心裡焦急如同火燒
[00:01:03.520 --> 00:01:06.720]  因此猶太人問他說
[00:01:06.720 --> 00:01:08.720]  你記著這些事
[00:01:08.720 --> 00:01:12.400]  還顯什麼神蹟給我們看呢
[00:01:12.400 --> 00:01:14.080]  耶穌回答說
[00:01:14.080 --> 00:01:16.640]  你們拆毀這電
[00:01:16.640 --> 00:01:20.240]  我三日內要再建立起來
[00:01:20.240 --> 00:01:22.080]  猶太人便說
[00:01:22.080 --> 00:01:25.600]  這電是四十六年才造成的
[00:01:25.600 --> 00:01:29.200]  你三日內就再建立起來嗎
[00:01:29.200 --> 00:01:33.520]  但耶穌這話是以他的身體為電
[00:01:33.520 --> 00:01:37.760]  所以到他從死裡復活以後
[00:01:37.760 --> 00:01:40.640]  門徒就想起他說過的話
