
[00:00:00.000 --> 00:00:05.840]  今日經訓是在《新命記》五章一至二十一節
[00:00:05.840 --> 00:00:09.240]  舊約二百二十至二百二十一頁
[00:00:09.240 --> 00:00:15.840]  以及在《新命記》六章一至九節
[00:00:15.840 --> 00:00:19.440]  舊約聖經二百二十二頁
[00:00:19.440 --> 00:00:21.240]  請聽我讀出
[00:00:21.240 --> 00:00:24.640]  《新命記》五章一至二十一節
[00:00:24.640 --> 00:00:27.680]  摩西將以色列眾人召了來
[00:00:27.680 --> 00:00:30.880]  對他們說:以色列人啊
[00:00:30.880 --> 00:00:33.800]  我今日曉遇你們的六禮典章
[00:00:33.800 --> 00:00:35.160]  你們要聽
[00:00:35.160 --> 00:00:36.200]  可以學習
[00:00:36.200 --> 00:00:37.720]  謹守遵行
[00:00:37.720 --> 00:00:42.080]  耶和華我們的神在河的山與我們納約
[00:00:42.080 --> 00:00:45.080]  這約不是與我們列祖納的
[00:00:45.080 --> 00:00:49.920]  乃是與我們今日在這裡存活之人納的
[00:00:49.920 --> 00:00:51.640]  耶和華在山上
[00:00:51.640 --> 00:00:55.320]  從火中面對面與你們說話
[00:00:55.320 --> 00:00:58.800]  那時我站在耶和華你們中間
[00:00:58.800 --> 00:01:02.040]  要將耶和華的話傳給你們
[00:01:02.040 --> 00:01:04.640]  因為你們懼怕那火
[00:01:04.640 --> 00:01:06.160]  沒有上山
[00:01:06.160 --> 00:01:09.160]  說:我是耶和華你的神
[00:01:09.160 --> 00:01:13.240]  曾將你從埃及地遺牢之家領出來
[00:01:13.240 --> 00:01:14.520]  除了我以外
[00:01:14.520 --> 00:01:16.480]  你不可有別的神
[00:01:16.480 --> 00:01:19.240]  不可為自己雕刻偶像
[00:01:19.240 --> 00:01:21.480]  也不可作甚麼形象
[00:01:21.480 --> 00:01:24.880]  彷彿上天、下地和地底下
[00:01:24.880 --> 00:01:26.400]  水中的白物
[00:01:26.400 --> 00:01:28.400]  不可跪拜那石像
[00:01:28.400 --> 00:01:30.200]  也不可侍奉它
[00:01:30.200 --> 00:01:32.520]  因為我耶和華你的神
[00:01:32.520 --> 00:01:34.240]  是既邪的神
[00:01:34.240 --> 00:01:35.120]  恨我的
[00:01:35.120 --> 00:01:36.960]  我必追討他的罪
[00:01:36.960 --> 00:01:40.120]  至父及子直到三、四代
[00:01:40.120 --> 00:01:40.800]  愛我
[00:01:40.800 --> 00:01:42.320]  守我誡命的
[00:01:42.320 --> 00:01:44.760]  我必向他們發慈愛
[00:01:44.760 --> 00:01:47.160]  直到千代
[00:01:47.160 --> 00:01:50.240]  不可罔稱耶和華你神的名
[00:01:50.240 --> 00:01:52.800]  因為罔稱耶和華名的
[00:01:52.800 --> 00:01:56.120]  耶和華必不以他為無罪
[00:01:56.120 --> 00:01:59.160]  當照耶和華你神所吩咐的
[00:01:59.160 --> 00:02:01.600]  守安息日為聖日
[00:02:01.600 --> 00:02:04.640]  六日要勞碌作你一切的工
[00:02:04.640 --> 00:02:07.280]  但第七日是向耶和華
[00:02:07.280 --> 00:02:09.800]  你神當守的安息日
[00:02:09.800 --> 00:02:12.360]  這一日你和你的兒女
[00:02:12.360 --> 00:02:15.160]  瀑皮、牛奴、新畜
[00:02:15.160 --> 00:02:18.600]  並在你城裡寄居的客女
[00:02:18.600 --> 00:02:21.200]  無論何工都不可作
[00:02:21.200 --> 00:02:25.280]  使你的瀑皮可以和你一樣安息
[00:02:25.280 --> 00:02:28.160]  你也要紀念你在埃及地
[00:02:28.160 --> 00:02:29.680]  作過勞瀑
[00:02:29.680 --> 00:02:32.640]  耶和華你神用大能的手
[00:02:32.640 --> 00:02:34.800]  和新出來的傍臂
[00:02:34.800 --> 00:02:37.360]  將你從那裡領出來
[00:02:37.360 --> 00:02:39.680]  因此耶和華你的神
