
[00:00:00.000 --> 00:00:03.520]  讓我們繼續以聆聽聖道的敬拜
[00:00:03.520 --> 00:00:06.360]  接下來是經訓時間
[00:00:06.360 --> 00:00:09.840]  今天選讀的經文是在新約聖經《馬太福音》
[00:00:09.840 --> 00:00:14.320]  新約聖經《馬太福音》第十三章一至九節
[00:00:14.320 --> 00:00:16.800]  請聽我讀出
[00:00:16.800 --> 00:00:21.080]  當那一天耶穌從房子裡出來
[00:00:21.080 --> 00:00:23.280]  坐在海邊
[00:00:23.280 --> 00:00:26.760]  有許多人到他那裡聚集
[00:00:26.760 --> 00:00:29.320]  他只得上船坐下
[00:00:29.320 --> 00:00:32.520]  眾人都站到岸上
[00:00:32.520 --> 00:00:37.160]  他用比喻對他們講許多道理
[00:00:37.160 --> 00:00:38.800]  說:
[00:00:38.800 --> 00:00:41.560]  有一個殺種的出去殺種
[00:00:41.560 --> 00:00:45.400]  殺的時候有落在路旁的
[00:00:45.400 --> 00:00:48.120]  飛了來吃盡了
[00:00:48.120 --> 00:00:51.760]  有落在土淺石頭地上的
[00:00:51.760 --> 00:00:55.880]  土既不深發苗最快
[00:00:55.880 --> 00:00:57.800]  日頭出來一篩
[00:00:57.800 --> 00:01:01.400]  因為沒有根就枯乾了
[00:01:01.400 --> 00:01:04.320]  有落在荊棘裡的
[00:01:04.320 --> 00:01:08.520]  荊棘長起來把它擠住了
[00:01:08.520 --> 00:01:11.320]  又有落在土土裡的
[00:01:11.320 --> 00:01:13.080]  就結實
[00:01:13.080 --> 00:01:14.800]  有一百倍的
[00:01:14.800 --> 00:01:16.520]  有六十倍的
[00:01:16.520 --> 00:01:18.880]  有三十倍的
[00:01:18.880 --> 00:01:20.680]  有耳可聽的
[00:01:20.680 --> 00:01:22.680]  就應當聽
[00:01:22.680 --> 00:01:24.680]  (字幕:張培良)
[00:01:24.680 --> 00:01:26.680]  (字幕:張培良)
[00:01:26.680 --> 00:01:28.680]  (字幕:張培良)
[00:01:28.680 --> 00:01:30.680]  (字幕:張培良)
[00:01:30.680 --> 00:01:32.680]  (字幕:張培良)
[00:01:32.680 --> 00:01:34.680]  (字幕:張培良)
[00:01:34.680 --> 00:01:37.480]  感謝弟兄為我們讀出經文
[00:01:37.480 --> 00:01:40.680]  也感謝主席和敬拜隊
[00:01:40.680 --> 00:01:44.280]  各位我是張培良傳道
[00:01:44.280 --> 00:01:47.880]  來自澳門百甲巢浸信會
[00:01:47.880 --> 00:01:54.680]  今天我是第一次在舞會上講道
[00:01:54.680 --> 00:01:56.880]  所以對我來說是有點緊張
[00:01:56.880 --> 00:01:58.480]  但又有點興奮
