
[00:00:00.000 --> 00:00:19.000]  約翰福音九章一至七節
[00:00:19.000 --> 00:00:27.000]  經文沒有引到秩序表,大家手上的聖經是140頁,或者看螢光幕
[00:00:27.000 --> 00:00:30.000]  約翰福音九章一至七節
[00:00:30.000 --> 00:00:45.000]  耶穌過去的時候看見一個人生來是黑眼的,門徒問耶穌說:拉比,這人生來是黑眼的,是誰犯了罪?是這人呢?是他父母呢?
[00:00:45.000 --> 00:00:55.000]  耶穌回答說:也不是這人犯了罪,也不是他父母犯了罪,是要在他身上顯出神的作為來
[00:00:55.000 --> 00:01:07.000]  趁著白日,我們必須作那差我來者的功,黑夜將到,就沒有人能作功了,我在世上的時候是世上的光
[00:01:07.000 --> 00:01:23.000]  耶穌說了者說:就套他抹在地上,用他抹和泥,抹在子的眼睛上,對他說:你往西羅亞遲子去洗,西羅亞翻出來就是鳳差險
[00:01:23.000 --> 00:01:30.000]  他去一洗,回頭就看見了,聖經讀不完,神賜福,上讀去懷疑
[00:01:35.000 --> 00:01:45.000]  今天出了意外,所以很感謝Raymo,也很感謝房仔後面的弟兄幫了很多忙
[00:01:45.000 --> 00:01:56.000]  我們今天說故事,故事好說,比做那些神學論辯好很多
[00:01:56.000 --> 00:02:09.000]  這是一個很長篇的故事,劇情佔了整整九章的篇幅,牽涉的人物也很多,情節也很離奇曲折,我們要用兩次才能說完
[00:02:09.000 --> 00:02:24.000]  聖經沒有說到這個故事發生的時間,或者是接著前面的八章五十九節,耶穌和人吵架,被人說要打他,他就匆匆逃跑
[00:02:24.000 --> 00:02:42.000]  逃避猶太人對他的攻擊,不過如果他和門徒匆匆離開聖殿,他怎會這麼從容在聖殿外慢慢走,還有心情討論神學問題呢?
[00:02:42.000 --> 00:02:58.000]  這真是令人有點奇怪,所以時間我們其實是不知道的,地點我們也不知道,聖經一開始九章一節是說耶穌過去,過去是什麼意思呢?
[00:02:58.000 --> 00:03:20.000]  過去,過去是什麼意思呢?過去是從哪裡經過呢?我們也是估計在聖殿,不過只是估計,我們順著這個估計猜想去說,某一次,因為不知道時間,耶穌和門徒在聖殿外碰到一個黑暗的盒子
