
[00:00:00.000 --> 00:00:03.640]  今日選讀的經文是《若拿書》第四章
[00:00:03.640 --> 00:00:07.280]  在《舊約聖經》一千二百五十九頁
[00:00:07.280 --> 00:00:10.680]  《若拿書》第四章
[00:00:10.680 --> 00:00:14.000]  「這是若拿大大不完
[00:00:14.000 --> 00:00:15.600]  且甚乏勞
[00:00:15.600 --> 00:00:18.160]  就禱告耶和華說
[00:00:18.160 --> 00:00:20.000]  耶和華啊
[00:00:20.000 --> 00:00:22.120]  我在本國的時候
[00:00:22.120 --> 00:00:24.440]  豈不是這樣說嗎
[00:00:24.440 --> 00:00:27.240]  我知道你是有恩典
[00:00:27.240 --> 00:00:28.920]  有憐憫的神
[00:00:29.240 --> 00:00:31.080]  不輕易發怒
[00:00:31.080 --> 00:00:33.280]  有豐盛的慈愛
[00:00:33.280 --> 00:00:36.720]  並且後悔不降所恕的災
[00:00:36.720 --> 00:00:39.960]  所以我急速逃往他思去
[00:00:39.960 --> 00:00:41.800]  耶和華啊
[00:00:41.800 --> 00:00:44.360]  現在求你取我的命吧
[00:00:44.360 --> 00:00:46.200]  因為我死了
[00:00:46.200 --> 00:00:48.200]  比活著還好」
[00:00:48.200 --> 00:00:50.240]  耶和華說
[00:00:50.240 --> 00:00:52.920]  「你這樣發怒合乎理嗎
[00:00:52.920 --> 00:00:55.600]  於是若拿出城
[00:00:55.600 --> 00:00:58.000]  坐在城的東邊
[00:00:58.360 --> 00:01:01.320]  在那裡為自己搭了一座棚
[00:01:01.320 --> 00:01:03.680]  坐在棚的任下
[00:01:03.680 --> 00:01:07.280]  要看看那城究竟如何」
[00:01:07.280 --> 00:01:10.920]  耶和華神安排一夥悲罵
[00:01:10.920 --> 00:01:13.720]  使其發生高過若拿
[00:01:13.720 --> 00:01:16.360]  影而遮蓋他的頭
[00:01:16.360 --> 00:01:18.840]  救他脫離苦楚
[00:01:18.840 --> 00:01:22.680]  若拿因這夥悲罵大大喜樂
[00:01:22.680 --> 00:01:24.760]  此日黎明
[00:01:25.400 --> 00:01:28.600]  神卻安排一條蟲子咬這悲罵
[00:01:28.600 --> 00:01:30.480]  以致呼告
[00:01:30.480 --> 00:01:32.880]  日頭出來的時候
[00:01:32.880 --> 00:01:35.520]  神安排炎熱的東風
[00:01:35.520 --> 00:01:37.960]  日頭捕殺若拿的頭
[00:01:37.960 --> 00:01:39.760]  使他發昏
[00:01:39.760 --> 00:01:42.280]  他就為自己求死
[00:01:42.280 --> 00:01:43.160]  說
[00:01:43.160 --> 00:01:46.520]  「我死了比活著還好」
[00:01:46.520 --> 00:01:49.280]  神對若拿說
[00:01:49.280 --> 00:01:53.080]  「你因這夥悲罵發怒合乎理嗎」
[00:01:53.080 --> 00:01:54.560]  他說
[00:01:54.960 --> 00:01:56.800]  「我發怒以致於死
[00:01:56.800 --> 00:01:58.400]  都合乎理」
[00:01:58.400 --> 00:02:00.360]  耶和華說
[00:02:00.360 --> 00:02:03.120]  「這悲罵不是你栽種的
[00:02:03.120 --> 00:02:05.400]  也不是你培養的
[00:02:05.400 --> 00:02:07.320]  一夜發生
[00:02:07.320 --> 00:02:09.120]  一夜乾死
[00:02:09.120 --> 00:02:11.000]  你尚且外色
[00:02:11.000 --> 00:02:13.720]  何況這歷歷未大成
[00:02:13.720 --> 00:02:17.120]  其中不能分辨左手右手的
[00:02:17.120 --> 00:02:19.320]  有十二萬多人
[00:02:19.320 --> 00:02:21.600]  並有許多生畜
[00:02:21.600 --> 00:02:24.240]  我豈能不外色呢」
[00:02:24.240 --> 00:02:26.240]  (字幕:梁美芬)
[00:02:26.240 --> 00:02:28.240]  各位弟兄姊妹
[00:02:28.240 --> 00:02:29.440]  今日我們很高興
[00:02:29.440 --> 00:02:31.440]  有我們以天水為勳堂
[00:02:31.440 --> 00:02:32.960]  天恩勳勳堂的
[00:02:32.960 --> 00:02:34.240]  邱潔成傳道
[00:02:34.240 --> 00:02:36.240]  在我們當中正講上帝的說話
[00:02:36.240 --> 00:02:39.240]  今天的講題是「服唔服」
[00:02:39.240 --> 00:02:41.240]  我們有請邱傳道
[00:02:41.240 --> 00:02:49.240]  各位母堂的弟兄姊妹平安
[00:02:49.240 --> 00:02:50.240]  (弟兄姊妹:平安)
[00:02:50.240 --> 00:02:54.240]  很感謝母堂一直對勳堂的那份
[00:02:54.240 --> 00:03:00.240]  支持無論在祈禱、人力、物力方面
[00:03:00.240 --> 00:03:03.240]  都一直支持勳堂
[00:03:03.240 --> 00:03:06.240]  不知道大家還記不記得
[00:03:06.240 --> 00:03:08.240]  我們舉辦過一個「稀房」
[00:03:08.240 --> 00:03:10.240]  早前經過呼籲後
[00:03:10.240 --> 00:03:12.240]  有許多物資
[00:03:12.240 --> 00:03:14.240]  床、櫃等等
[00:03:14.240 --> 00:03:15.240]  都有很多
[00:03:15.240 --> 00:03:17.240]  最後弟兄姊妹
[00:03:17.240 --> 00:03:20.240]  都親力來到我們當中
[00:03:20.240 --> 00:03:23.240]  佈置和油油
[00:03:23.240 --> 00:03:25.240]  做了許多工作
[00:03:25.240 --> 00:03:28.240]  下星期
[00:03:28.240 --> 00:03:30.240]  應該說這個星期
[00:03:30.240 --> 00:03:33.240]  就會開始有第一個住戶
[00:03:33.240 --> 00:03:35.240]  我們會和他們簽約
[00:03:35.240 --> 00:03:37.240]  接著亦會有第二個
[00:03:37.240 --> 00:03:41.240]  希望這些我們同心合力
[00:03:41.240 --> 00:03:46.240]  一起可以將有需要的人幫助到
[00:03:46.240 --> 00:03:51.240]  亦有機會將福音和他們分享
[00:03:51.240 --> 00:03:55.240]  另外我們亦舉辦了一個「功課扶桃班」
[00:03:55.240 --> 00:03:58.240]  很感謝當中的弟兄姊妹
[00:03:58.240 --> 00:04:01.240]  隨時山長水遠
[00:04:01.240 --> 00:04:03.240]  一星期兩次
[00:04:03.240 --> 00:04:04.240]  來到我們當中
[00:04:04.240 --> 00:04:07.240]  服侍一班有需要的中學生
[00:04:07.240 --> 00:04:08.240]  中一至中三
[00:04:08.240 --> 00:04:11.240]  他們那份無條件的付出
[00:04:11.240 --> 00:04:14.240]  付出都不計較
[00:04:14.240 --> 00:04:16.240]  不僅不收錢
[00:04:16.240 --> 00:04:19.240]  還要買糖果和食物
[00:04:19.240 --> 00:04:21.240]  去鼓勵他們
[00:04:21.240 --> 00:04:24.240]  希望透過這些服侍
[00:04:24.240 --> 00:04:27.240]  讓他們體會到神的愛
[00:04:27.240 --> 00:04:31.240]  亦讓我們有機會和他們傳福音
[00:04:31.240 --> 00:04:34.240]  這些等等的事
[00:04:34.240 --> 00:04:38.240]  我們都很感謝母堂對我們的支持
[00:04:38.240 --> 00:04:41.240]  我們亦會繼續在天水圍
[00:04:41.240 --> 00:04:45.240]  努力做福音的工作
[00:04:45.240 --> 00:04:51.240]  今日我和大家分享約拿書
[00:04:51.240 --> 00:04:55.240]  相信約拿書在大家當中
[00:04:55.240 --> 00:04:59.240]  都不會是一本很陌生的書卷
[00:04:59.240 --> 00:05:02.240]  當中有很多神蹟
[00:05:02.240 --> 00:05:05.240]  亦有很多段落
[00:05:05.240 --> 00:05:08.240]  大家都會認識的
[00:05:08.240 --> 00:05:10.240]  在短短的四章裏
[00:05:10.240 --> 00:05:13.240]  我們看到一些神蹟
[00:05:13.240 --> 00:05:14.240]  是很特別的
[00:05:14.240 --> 00:05:18.240]  譬如約拿在漁福裏面三天
[00:05:18.240 --> 00:05:20.240]  不死的
[00:05:20.240 --> 00:05:21.240]  經過很多歷史考察
[00:05:21.240 --> 00:05:22.240]  究竟是怎樣的呢
[00:05:22.240 --> 00:05:24.240]  真的很神蹟
[00:05:24.240 --> 00:05:28.240]  約拿去到利美尾城
[00:05:28.240 --> 00:05:30.240]  說了一句說話
[00:05:30.240 --> 00:05:32.240]  再過四十天
[00:05:32.240 --> 00:05:35.240]  利美尾就要毀滅了
[00:05:35.240 --> 00:05:40.240]  然後全城上下的人都悔改
[00:05:40.240 --> 00:05:41.240]  是不是很厲害
[00:05:41.240 --> 00:05:43.240]  我們舉辦一個報道會
[00:05:43.240 --> 00:05:45.240]  很多準備的
[00:05:45.240 --> 00:05:46.240]  又要請嘉賓
