
[00:00:00.000 --> 00:00:02.720]  今天還要讀的有兩段經文
[00:00:02.720 --> 00:00:09.160]  第一段是在舊約詩篇102篇23至28節
[00:00:09.160 --> 00:00:15.360]  第二段是在新約希伯來書第一章10至15節
[00:00:15.360 --> 00:00:22.560]  請聽我讀出第一段是在舊約第779頁詩篇102篇
[00:00:25.280 --> 00:00:31.080]  他使我的力量中度衰弱 使我的年日短少
[00:00:31.080 --> 00:00:35.680]  我說 我的神啊 必要使我終年去世
[00:00:35.680 --> 00:00:38.480]  你的年數世世無窮
[00:00:38.480 --> 00:00:44.280]  你起初立了地的根基 天也是你所做的
[00:00:44.280 --> 00:00:48.280]  天地都要滅沒 你卻要長存
[00:00:48.280 --> 00:00:52.280]  天地都要如外衣漸漸舊了
[00:00:52.280 --> 00:00:58.280]  你要將天地如女衣更換 天地就都改變了
[00:00:58.280 --> 00:01:03.880]  唯有你永不改變 你的年數沒有窮盡
[00:01:03.880 --> 00:01:11.080]  你僕人的子孫要長存 他們的後裔要建立在你面前
[00:01:11.080 --> 00:01:18.280]  第二段經文是新約希伯來書第一章10至12節
[00:01:18.280 --> 00:01:28.280]  詩人引用剛才所讀的詩篇
[00:01:28.280 --> 00:01:35.280]  又說 主啊 你起初立了地的根基 天也是你所做的
[00:01:35.280 --> 00:01:39.280]  天地都要滅沒 你卻要長存
[00:01:39.280 --> 00:01:43.280]  天地都要像衣服漸漸舊了
[00:01:43.280 --> 00:01:47.880]  你要將天地捲起來 像一件外衣
[00:01:47.880 --> 00:01:56.280]  天地就都改變了 唯有你永不改變 你的年數沒有窮盡
[00:01:56.280 --> 00:02:09.280]  弟兄姊妹平安
[00:02:09.280 --> 00:02:13.480]  我們繼續用詩篇思想基督耶穌
[00:02:13.480 --> 00:02:20.480]  在12月 特別是將要預備自己慶祝基督耶穌降生的日子
[00:02:20.480 --> 00:02:24.080]  我們對於基督耶穌的認識有多少呢?
[00:02:24.080 --> 00:02:29.280]  我們對祂的身份 對祂的生命
[00:02:29.280 --> 00:02:35.080]  或者祂所為人類所作的作為 我們有了解有多深呢?
[00:02:35.080 --> 00:02:40.880]  今天我們希望藉著剛才的詩篇102篇和希伯來書
[00:02:40.880 --> 00:02:46.680]  來我們更深入的理解基督耶穌對我們的工作
[00:02:46.680 --> 00:02:50.280]  在我們進入經文之前 有一個這樣的機會
[00:02:50.280 --> 00:02:54.280]  跟我的同輩聊天 中年男子
[00:02:54.280 --> 00:02:57.080]  比我大幾天的 同年
[00:02:57.080 --> 00:02:59.680]  我記得他跟我說了一番話 很深刻的
[00:02:59.680 --> 00:03:04.280]  那時聊天 可能我們都很近似
[00:03:04.280 --> 00:03:07.680]  所以人生到中年都有一些打拼
[00:03:07.680 --> 00:03:10.680]  去到有些位置回顧自己的成長
[00:03:10.680 --> 00:03:17.680]  弟兄跟我說 他覺得人生現在都算是這樣了
[00:03:17.680 --> 00:03:22.680]  他想著自己踏入40歲就會死了
[00:03:22.680 --> 00:03:26.080]  他跟我說 為什麼你會這樣想呢?
[00:03:26.080 --> 00:03:29.680]  背後說在他很年輕的時候
[00:03:29.680 --> 00:03:32.680]  他的爸爸大概40歲就去世了
[00:03:32.680 --> 00:03:37.680]  所以他覺得人生的大限 或者人生裡面
[00:03:37.680 --> 00:03:42.680]  盡的了 在他從小到大的想法裡面
[00:03:42.680 --> 00:03:46.280]  覺得40歲就是人生男士的一個極限
[00:03:46.280 --> 00:03:50.680]  所以他覺得在他很小的日子裡
[00:03:50.680 --> 00:03:52.680]  他已經很努力 很打拼
[00:03:52.680 --> 00:03:55.680]  他覺得人生既然這麼短暫
[00:03:55.680 --> 00:03:57.680]  他就要用盡他的一生
[00:03:57.680 --> 00:04:00.680]  來爭取他自己想要的東西
[00:04:00.680 --> 00:04:03.680]  所以他很發奮圖強讀書 很努力
[00:04:03.680 --> 00:04:08.680]  他已經結婚生兒養女了
[00:04:08.680 --> 00:04:12.680]  他覺得自己已經比他爸爸那個年紀
[00:04:12.680 --> 00:04:14.680]  已經拿多了東西
[00:04:14.680 --> 00:04:17.680]  所以他有一種滿足感
[00:04:17.680 --> 00:04:19.680]  但是我問他你快不快樂?
[00:04:19.680 --> 00:04:21.680]  他就沒有回答我
[00:04:21.680 --> 00:04:23.680]  他沒有特別回答我這一條問題
[00:04:23.680 --> 00:04:25.680]  他只是笑笑笑
[00:04:25.680 --> 00:04:29.680]  同樣的問題 問完他之後 我也問一下我自己
[00:04:29.680 --> 00:04:32.680]  我也發覺 其實在我自己成長裡面
[00:04:32.680 --> 00:04:37.680]  我爸爸在我四十幾歲的時候
[00:04:37.680 --> 00:04:39.680]  我爸爸四十七歲去世
[00:04:39.680 --> 00:04:41.680]  原來我也有跟他有類似的想法
[00:04:41.680 --> 00:04:46.680]  我覺得四十多歲是人生男士的一個極限
[00:04:46.680 --> 00:04:49.680]  接著我現在賺了
[00:04:49.680 --> 00:04:52.680]  我已經被我爸爸長壽了
[00:04:52.680 --> 00:04:54.680]  我已經入了五了 小弟 大家知不知道
[00:04:54.680 --> 00:04:57.680]  真的入了五了 不止 是吧
[00:04:57.680 --> 00:04:59.680]  像登陸 是吧
[00:04:59.680 --> 00:05:05.680]  去到中年這些日子就開始想
[00:05:05.680 --> 00:05:08.680]  我生命裡面 我快不快樂呢?
[00:05:08.680 --> 00:05:10.680]  我覺得怎樣呢?
[00:05:10.680 --> 00:05:13.680]  相對於我成長裡面我見到的爸爸
[00:05:13.680 --> 00:05:15.680]  我自己跟他有什麼不同呢?
[00:05:15.680 --> 00:05:18.680]  當我一直想這個問題的時候
[00:05:18.680 --> 00:05:22.680]  我想起今天的詩篇和希伯來書所講
[00:05:22.680 --> 00:05:26.680]  事實上有一些外國的研究
[00:05:26.680 --> 00:05:32.680]  2020年有一個心理學的發表
[00:05:32.680 --> 00:05:36.680]  他講到人生最不開心的時間
[00:05:36.680 --> 00:05:39.680]  原來就是在四十五至五十五歲
[00:05:39.680 --> 00:05:42.680]  這十年是人生的U型谷底
[00:05:42.680 --> 00:05:44.680]  他講到人生的快樂
[00:05:44.680 --> 00:05:47.680]  一出生最開心 一直下降
[00:05:47.680 --> 00:05:50.680]  谷底就是四十五至五十五歲
[00:05:50.680 --> 00:05:53.680]  接著又再慢慢升上來
[00:05:53.680 --> 00:05:58.680]  他用一個人生的週期歲數
[00:05:58.680 --> 00:06:01.680]  來看人生的快樂程度
[00:06:01.680 --> 00:06:06.680]  不過他的解釋或研究裡面
[00:06:06.680 --> 00:06:07.680]  他有些註腳
[00:06:07.680 --> 00:06:09.680]  這個U型未必是一定的
[00:06:09.680 --> 00:06:13.680]  這個U型有些人會短一點
[00:06:13.680 --> 00:06:15.680]  有些人未必到谷底
[00:06:15.680 --> 00:06:17.680]  有些人可能是因著信仰
[00:06:17.680 --> 00:06:19.680]  或者找到生命意義
[00:06:19.680 --> 00:06:22.680]  這個U型的谷底就下降得沒那麼深
[00:06:22.680 --> 00:06:26.680]  又或者在人生裡面是V型
[00:06:26.680 --> 00:06:28.680]  很短一站就上去了
[00:06:28.680 --> 00:06:30.680]  不知道我們今天生命狀況是怎樣
[00:06:30.680 --> 00:06:32.680]  可能那個是你
[00:06:32.680 --> 00:06:33.680]  可能是你的家人
[00:06:33.680 --> 00:06:35.680]  又或者是你的未來
[00:06:35.680 --> 00:06:36.680]  希望今天這篇信息幫到我們
[00:06:36.680 --> 00:06:38.680]  我們先祈禱求主幫助
[00:06:38.680 --> 00:06:41.680]  天父上帝願你幫助我們
[00:06:41.680 --> 00:06:43.680]  讓我們在你話語當中
[00:06:43.680 --> 00:06:46.680]  我們既體會我們人生的週期
[00:06:46.680 --> 00:06:49.680]  我們藉著我們生命所經歷的歷程
[00:06:49.680 --> 00:06:51.680]  我們更加明白基督耶穌的心腸
[00:06:51.680 --> 00:06:52.680]  幫助我們
[00:06:52.680 --> 00:06:55.680]  讓我們今天我們一起來讀你話語的時候
[00:06:55.680 --> 00:06:58.680]  給我們內心有激勵有反省
[00:06:58.680 --> 00:07:00.680]  也讓我們帶著你的話語
[00:07:00.680 --> 00:07:02.680]  好好地過我們的生命
[00:07:02.680 --> 00:07:05.680]  我們恭敬將此時此刻交託給你
[00:07:05.680 --> 00:07:07.680]  幫助孫講的講得清楚
[00:07:07.680 --> 00:07:10.680]  幫助聆聽的每一個靈姐妹聽得明白
[00:07:10.680 --> 00:07:14.680]  願我們被你聖靈所繼續來瑞領我們
[00:07:14.680 --> 00:07:16.680]  獻上禱告奉求基督耶穌得勝的聖靈祈求
[00:07:16.680 --> 00:07:17.680]  Amen
[00:07:17.680 --> 00:07:21.680]  我們先看今天主要看的詩篇
[00:07:21.680 --> 00:07:23.680]  詩篇102篇
[00:07:23.680 --> 00:07:26.680]  詩篇102篇大概28節
[00:07:26.680 --> 00:07:28.680]  我沒辦法因為時間所限
[00:07:28.680 --> 00:07:32.680]  我沒辦法將整個詩篇跟大家解釋
[00:07:32.680 --> 00:07:35.680]  不過給大家有一些概覽
[00:07:35.680 --> 00:07:38.680]  整個詩篇分為三個段落
[00:07:38.680 --> 00:07:42.680]  第一個段落就是詩篇第102篇的1至11節
[00:07:42.680 --> 00:07:46.680]  102篇1至11節說什麼呢
[00:07:46.680 --> 00:07:51.680]  其實是詩人向上帝禱告哀求
[00:07:51.680 --> 00:07:56.680]  因為這篇詩篇在猶太人傳統中叫作懺悔詩
[00:07:56.680 --> 00:08:01.680]  不是說他做了什麼罪行令他要懺悔
[00:08:01.680 --> 00:08:04.680]  而是面對著那種苦難
[00:08:04.680 --> 00:08:06.680]  面對著他的國家
[00:08:06.680 --> 00:08:11.680]  大概是猶太人被擄之後的作品
[00:08:11.680 --> 00:08:14.680]  面對自己的民族國家
[00:08:14.680 --> 00:08:17.680]  被外邦所滅
[00:08:17.680 --> 00:08:20.680]  他們的同胞被擄巴比倫
[00:08:20.680 --> 00:08:26.680]  又或者舊時以錫安城耶路撒冷為榮的聖殿
[00:08:26.680 --> 00:08:28.680]  整個城牆被毀
[00:08:28.680 --> 00:08:31.680]  面對著身邊的那種狀況
[00:08:31.680 --> 00:08:36.680]  詩人就用這首詩篇來向上帝發出哀鳴
[00:08:36.680 --> 00:08:37.680]  說的是一個哀歌
[00:08:37.680 --> 00:08:39.680]  面對著一種這樣的狀況
[00:08:39.680 --> 00:08:42.680]  他向上帝祈禱
[00:08:42.680 --> 00:08:44.680]  經文中特別說到
