
[00:00:00.000 --> 00:00:06.000]  今天所讀經課是在文數記第十二章
[00:00:06.000 --> 00:00:10.000]  (文字)
[00:00:10.000 --> 00:00:14.000]  (文字)
[00:00:14.000 --> 00:00:18.000]  (文字)
[00:00:18.000 --> 00:00:22.000]  (文字)
[00:00:22.000 --> 00:00:26.000]  (文字)
[00:00:26.320 --> 00:00:28.320]  (文字)
[00:00:29.040 --> 00:00:31.040]  (文字)
[00:00:31.040 --> 00:00:35.040]  (文字)
[00:00:35.040 --> 00:00:39.040]  (文字)
[00:00:39.440 --> 00:00:43.440]  (文字)
[00:00:43.440 --> 00:00:46.560]  他們三人就出來了
[00:00:46.560 --> 00:00:52.240]  (文字)
[00:00:52.240 --> 00:00:56.640]  趙阿倫、黃米利安就出來了
[00:00:56.640 --> 00:01:01.400]  (文字)
[00:01:01.400 --> 00:01:08.360]  (文字)
[00:01:08.960 --> 00:01:10.960]  (文字)
[00:01:10.960 --> 00:01:14.160]  (文字)
[00:01:14.160 --> 00:01:18.360]  (文字)
[00:01:18.360 --> 00:01:21.040]  (文字)
[00:01:21.040 --> 00:01:24.080]  (文字)
[00:01:24.080 --> 00:01:28.080]  (文字)
[00:01:28.080 --> 00:01:34.200]  (文字)
[00:01:36.560 --> 00:01:42.560]  (文字)
[00:01:42.560 --> 00:01:48.360]  (文字)
[00:01:48.360 --> 00:01:54.080]  (文字)
[00:01:54.080 --> 00:02:01.480]  (文字)
[00:02:01.880 --> 00:02:07.880]  (文字)
[00:02:07.880 --> 00:02:14.400]  (文字)
[00:02:14.400 --> 00:02:17.760]  (文字)
[00:02:17.760 --> 00:02:24.400]  (文字)
[00:02:24.400 --> 00:02:29.080]  (文字)
[00:02:29.200 --> 00:02:32.200]  (文字)
[00:02:32.200 --> 00:02:36.600]  (文字)
[00:02:36.600 --> 00:02:42.280]  (文字)
[00:02:42.280 --> 00:02:43.680]  (文字)
[00:02:43.680 --> 00:02:51.680]  弟兄姊妹平安
[00:02:51.680 --> 00:02:54.480]  來到八至十月
[00:02:54.480 --> 00:02:57.280]  我們會開始一個新的講壇系列
[00:02:57.280 --> 00:02:59.280]  大家在滴注表可能都看到
[00:02:59.280 --> 00:03:01.280]  「正是你的情緒」
[00:03:01.280 --> 00:03:03.280]  我們希望透過
[00:03:03.280 --> 00:03:05.880]  舊約聖經一些人物的生命故事
[00:03:05.880 --> 00:03:11.280]  來解構他們在這些事件中的情感反應
[00:03:11.280 --> 00:03:14.880]  以及上帝如何介入在裡面
[00:03:14.880 --> 00:03:18.280]  從而培育我們可以從不同的角度
[00:03:18.280 --> 00:03:20.280]  敏銳我們自己
[00:03:20.280 --> 00:03:23.280]  或者身邊的人的情緒和感受
[00:03:23.280 --> 00:03:25.680]  幫助我們和上帝
[00:03:25.680 --> 00:03:30.280]  和我們身邊的人建立一個更加健康的穩妥關係
[00:03:30.280 --> 00:03:32.280]  今天首先跟大家講
[00:03:32.280 --> 00:03:33.880]  剛才所讀的一段經文
[00:03:33.880 --> 00:03:35.280]  文蘇記的十二章
[00:03:35.280 --> 00:03:37.280]  有關於我們一個
[00:03:37.280 --> 00:03:39.280]  嫉妒的情緒反應
[00:03:39.280 --> 00:03:42.280]  經文剛才一開始已經說了
[00:03:42.280 --> 00:03:48.080]  米利暗阿倫因為摩西娶了一位古實的女子
[00:03:48.080 --> 00:03:49.280]  就向他毀謗
[00:03:49.280 --> 00:03:51.280]  首先我們要了解這三個人的關係
[00:03:51.280 --> 00:03:53.280]  大家可能都清楚
[00:03:53.280 --> 00:03:54.680]  米利暗是大家姐
