
[00:00:00.000 --> 00:00:07.000]  今次經訓有三段
[00:00:07.000 --> 00:00:11.000]  哥林多前書十一章三節
[00:00:11.000 --> 00:00:13.000]  八到十二節
[00:00:13.000 --> 00:00:17.000]  還有彼得前書三章七節
[00:00:17.000 --> 00:00:20.000]  請聽我讀出
[00:00:20.000 --> 00:00:24.000]  我願意你們知道
[00:00:24.000 --> 00:00:28.000]  基督是國人的頭
[00:00:28.000 --> 00:00:31.000]  男人是女人的頭
[00:00:31.000 --> 00:00:34.000]  神是基督的頭
[00:00:34.000 --> 00:00:40.000]  起初男人不是由女人而出
[00:00:40.000 --> 00:00:45.000]  女人乃是由男人而出
[00:00:45.000 --> 00:00:50.000]  並且男人不是為女人做的
[00:00:50.000 --> 00:00:55.000]  女人乃是為男人做的
[00:00:55.000 --> 00:01:01.000]  因此女人為天使的緣故
[00:01:01.000 --> 00:01:08.000]  應當在頭上有伏權病的記號
[00:01:08.000 --> 00:01:12.000]  然而照主的安排
[00:01:12.000 --> 00:01:15.000]  女也不是無男
[00:01:15.000 --> 00:01:19.000]  男也不是無女
[00:01:19.000 --> 00:01:24.000]  因為女人原是由男人而出
[00:01:24.000 --> 00:01:29.000]  男人也是由女人而出
[00:01:29.000 --> 00:01:34.000]  但萬有都是出乎神
[00:01:34.000 --> 00:01:44.000]  你們作丈夫的
[00:01:44.000 --> 00:01:49.000]  也要按情理和妻子同住
[00:01:49.000 --> 00:01:52.000]  因她比你軟弱
[00:01:52.000 --> 00:01:57.000]  但你們也要滿一桶承受生命的恩德
[00:01:57.000 --> 00:02:00.000]  所以要敬重她
[00:02:00.000 --> 00:02:06.000]  這樣便叫你們的禱告沒有阻礙
[00:02:06.000 --> 00:02:16.000]  (主席)
[00:02:16.000 --> 00:02:18.000]  各位節目好,早安
[00:02:18.000 --> 00:02:20.000]  聽到嗎?
[00:02:20.000 --> 00:02:23.000]  很久沒見大家了
[00:02:23.000 --> 00:02:26.000]  很不好意思
[00:02:26.000 --> 00:02:29.000]  再次見大家的場合是父親節
[00:02:29.000 --> 00:02:32.000]  我連續三年和王浸說父親節主日
[00:02:32.000 --> 00:02:35.000]  我自己也有想死的感覺
[00:02:35.000 --> 00:02:39.000]  我可以想像你們作為聽眾的困苦
[00:02:39.000 --> 00:02:43.000]  為何年年都擺脫不了這個老頭子
[00:02:43.000 --> 00:02:45.000]  為了避免悶死你們
[00:02:45.000 --> 00:02:49.000]  今天我稍稍轉一下牛角尖
[00:02:49.000 --> 00:02:53.000]  找一段非常不好處理的經文來講論
[00:02:53.000 --> 00:02:58.000]  這是有關男人作為女人的頭的經文
[00:02:58.000 --> 00:03:03.000]  這些經文通常是探討女性在教會中
[00:03:03.000 --> 00:03:06.000]  是否能夠侍奉角色才被引述
[00:03:06.000 --> 00:03:08.000]  如果男人是女人的頭
[00:03:08.000 --> 00:03:11.000]  女人能否在教會中扮演領導的角色呢?
[00:03:11.000 --> 00:03:16.000]  女人能否講道、能否按木、能否做堂主任呢?
[00:03:16.000 --> 00:03:21.000]  這些問題在香港的爭論性已經不太強
[00:03:21.000 --> 00:03:25.000]  不過在北美仍然是一個繳錢不休的課題
[00:03:25.000 --> 00:03:28.000]  你不要以為北美教會比香港前衛
