
[00:00:00.000 --> 00:00:04.000]  以下我們要聽神對我們的說話
[00:00:04.000 --> 00:00:06.000]  神的說話,今天要我們聽的
[00:00:06.000 --> 00:00:09.000]  是記載在哥羅西書第二章
[00:00:09.000 --> 00:00:19.000]  六至二十三節
[00:00:19.000 --> 00:00:22.000]  聽聽小弟讀出
[00:00:22.000 --> 00:00:26.000]  你們雖然接受了主耶穌基督
[00:00:26.000 --> 00:00:29.000]  就當遵祂而行
[00:00:29.000 --> 00:00:33.000]  在祂裡面生根建造,信心堅固
[00:00:33.000 --> 00:00:36.000]  正如你們所領的教訓
[00:00:36.000 --> 00:00:39.000]  感謝的心也更增長了
[00:00:39.000 --> 00:00:41.000]  你們要謹慎
[00:00:41.000 --> 00:00:45.000]  恐怕有人用他的理學和虛空的妄言
[00:00:45.000 --> 00:00:47.000]  不照著基督
[00:00:47.000 --> 00:00:50.000]  乃照人間的遺傳和世上的小學
[00:00:50.000 --> 00:00:52.000]  把你們擄去
[00:00:52.000 --> 00:00:55.000]  因為神本性一切的豐盛
[00:00:55.000 --> 00:00:59.000]  都有形有體的居住在基督裡面
[00:00:59.000 --> 00:01:03.000]  你們在祂裡面也得了豐盛
[00:01:03.000 --> 00:01:06.000]  祂是各樣執政掌權者的元首
[00:01:06.000 --> 00:01:11.000]  你們在祂裡面也受了不是人手所行的割禮
[00:01:11.000 --> 00:01:16.000]  乃是基督使你們脫去肉身情慾的割禮
[00:01:16.000 --> 00:01:19.000]  你們既受浸與祂一同埋葬
[00:01:19.000 --> 00:01:22.000]  也就在此與祂一同復活
[00:01:22.000 --> 00:01:25.000]  都信乃叫祂從死裡復活
[00:01:25.000 --> 00:01:27.000]  神的公用
[00:01:27.000 --> 00:01:31.000]  你們從前在割飯或未受割禮的肉體中死了
[00:01:31.000 --> 00:01:34.000]  神赦免了你們一切割飯
[00:01:34.000 --> 00:01:38.000]  便叫你們與基督一同活過來
[00:01:38.000 --> 00:01:40.000]  有圖沒了
[00:01:40.000 --> 00:01:42.000]  在律例上所寫
[00:01:42.000 --> 00:01:44.000]  攻擊我們
[00:01:44.000 --> 00:01:46.000]  有礙於我們的自據
[00:01:46.000 --> 00:01:48.000]  把他撤去
[00:01:48.000 --> 00:01:50.000]  釘在十字架上
[00:01:50.000 --> 00:01:54.000]  既將一切執政的掌權的腦內
[00:01:54.000 --> 00:01:56.000]  明顯吸中人汗
[00:01:56.000 --> 00:02:00.000]  就將十字架跨性
[00:02:00.000 --> 00:02:03.000]  所以不拘在飲食上
[00:02:03.000 --> 00:02:07.000]  或節日、月朔、安息日
[00:02:07.000 --> 00:02:10.000]  都不可讓人論斷你們
[00:02:10.000 --> 00:02:13.000]  這些源自後世的影兒
[00:02:13.000 --> 00:02:16.000]  那形體卻是基督
[00:02:16.000 --> 00:02:21.000]  不可讓人因為故意謙虛和敬拜天使
[00:02:21.000 --> 00:02:23.000]  就奪去你們的掌上
[00:02:23.000 --> 00:02:26.000]  這等人俱例在所見過的
[00:02:26.000 --> 00:02:28.000]  隨著自己的肉心
[00:02:28.000 --> 00:02:30.000]  無辜的至高至大
[00:02:30.000 --> 00:02:32.000]  不辭元首
[00:02:32.000 --> 00:02:34.000]  全身既然靠著他
[00:02:34.000 --> 00:02:37.000]  跟節得以相助聯絡
[00:02:37.000 --> 00:02:40.000]  就因神大德長進
[00:02:40.000 --> 00:02:43.000]  你們若是與基督同死
[00:02:43.000 --> 00:02:45.000]  脫離了世上的小學
[00:02:45.000 --> 00:02:48.000]  為什麼形象在世俗中活著
[00:02:48.000 --> 00:02:52.000]  服從那一不可靠、不可上、不可我
[00:02:52.000 --> 00:02:54.000]  等類的規條呢?
[00:02:54.000 --> 00:02:59.000]  這都是照人所吩咐、所教導的
[00:02:59.000 --> 00:03:02.000]  說到這一切正用的時候
[00:03:02.000 --> 00:03:04.000]  都敗壞了
[00:03:04.000 --> 00:03:08.000]  這些規條使人徒有自衛之名
[00:03:08.000 --> 00:03:10.000]  用施以崇拜
[00:03:10.000 --> 00:03:12.000]  自表謙卑
[00:03:12.000 --> 00:03:15.000]  苦待己身
[00:03:15.000 --> 00:03:17.000]  其實在黑者肉體上的承諾上
[00:03:17.000 --> 00:03:19.000]  是毫無功效
[00:03:19.000 --> 00:03:21.000]  聖經讀筆
[00:03:42.000 --> 00:03:45.000]  能夠在教會每個星期見面
[00:03:45.000 --> 00:03:47.000]  這是上帝給我們的恩典
[00:03:47.000 --> 00:03:49.000]  不知道大家有沒有看過一本書
[00:03:49.000 --> 00:03:51.000]  這本書有一個文學家
[00:03:51.000 --> 00:03:53.000]  大文豪
[00:03:53.000 --> 00:03:55.000]  叫做C.S. Lewis 魯易斯
[00:03:55.000 --> 00:03:58.000]  其中一本書叫做《地獄來鴻》
[00:03:58.000 --> 00:04:01.000]  有些譯法叫做《魔鬼書信》
[00:04:01.000 --> 00:04:03.000]  我見大家都有些茫然
[00:04:03.000 --> 00:04:05.000]  這本書很有趣
[00:04:05.000 --> 00:04:08.000]  這本書其實是編輯了舊時的一些散文
[00:04:08.000 --> 00:04:11.000]  記載著大約三十一篇的信件
[00:04:11.000 --> 00:04:14.000]  C.S. Lewis 是一個文學家
[00:04:14.000 --> 00:04:16.000]  他用則寫的角度
[00:04:16.000 --> 00:04:19.000]  來講述上帝的工作
[00:04:19.000 --> 00:04:21.000]  他講述的書信是
[00:04:21.000 --> 00:04:23.000]  魔鬼叔叔
[00:04:23.000 --> 00:04:25.000]  叫做 Screwtapes
[00:04:25.000 --> 00:04:28.000]  即是大魔鬼
[00:04:28.000 --> 00:04:30.000]  寫給他的侄兒
[00:04:30.000 --> 00:04:32.000]  他的侄兒
[00:04:32.000 --> 00:04:34.000]  名字叫做 Wormwood
[00:04:34.000 --> 00:04:36.000]  即是兩叔侄來寫
[00:04:36.000 --> 00:04:39.000]  在地上怎樣去迷惑
[00:04:39.000 --> 00:04:42.000]  每一個地上的人類
[00:04:42.000 --> 00:04:45.000]  魔鬼寫信給他的侄兒
[00:04:45.000 --> 00:04:48.000]  其中一封信是這樣講的
[00:04:48.000 --> 00:04:52.000]  他叫他的侄兒不要喚起人類的理性
[00:04:52.000 --> 00:04:56.000]  要幫他們盡量將他們的腦的思想
[00:04:56.000 --> 00:05:00.000]  放在人的感官體驗和意識當中
[00:05:00.000 --> 00:05:04.000]  還要將它美化成為最真實的生活
[00:05:04.000 --> 00:05:07.000]  簡單來說就是叫人不要用腦
[00:05:07.000 --> 00:05:09.000]  用多一些他的感覺
[00:05:09.000 --> 00:05:12.000]  這個就是他最真實的生活
[00:05:12.000 --> 00:05:15.000]  然後叔叔這個大魔鬼再繼續講
[00:05:15.000 --> 00:05:17.000]  上上之策就是
[00:05:17.000 --> 00:05:20.000]  任何科學都不要讓人類來接觸
[00:05:20.000 --> 00:05:24.000]  給他一個籠統的抽象的念頭
[00:05:24.000 --> 00:05:27.000]  讓他自己覺得什麼都懂
[00:05:27.000 --> 00:05:30.000]  偶爾閒聊和閱讀的時候
[00:05:30.000 --> 00:05:32.000]  拿到一些零零碎碎的東西
[00:05:32.000 --> 00:05:36.000]  就將它成為一個叫當代研究成果
[00:05:36.000 --> 00:05:37.000]  最重要的是什麼呢?
[00:05:37.000 --> 00:05:39.000]  這個叔叔提醒那個魔鬼仔
[00:05:39.000 --> 00:05:40.000]  千萬要記住
[00:05:40.000 --> 00:05:42.000]  你的目標就是令到人類
[00:05:42.000 --> 00:05:45.000]  讓他們覺得自己醉生夢死
[00:05:45.000 --> 00:05:51.000]  在這個書信其實是一些諷刺的
[00:05:51.000 --> 00:05:54.000]  一個魔鬼要迷惑人類
[00:05:54.000 --> 00:05:56.000]  他要令到人不懂得用腦
[00:05:56.000 --> 00:05:58.000]  第二件事就是要覺得
[00:05:58.000 --> 00:06:00.000]  什麼為之真實呢?
[00:06:00.000 --> 00:06:02.000]  就是他的感官
[00:06:02.000 --> 00:06:05.000]  看到的、經歷到的東西為之真實
[00:06:05.000 --> 00:06:09.000]  看不到的東西就傳寄予一種否定
[00:06:09.000 --> 00:06:10.000]  更加重要的是
[00:06:10.000 --> 00:06:12.000]  令到人類覺得自己很厲害
[00:06:12.000 --> 00:06:15.000]  這個就是魔鬼的手段
[00:06:15.000 --> 00:06:18.000]  讓人逐步逐步離開上帝
[00:06:18.000 --> 00:06:22.000]  今天哥羅西書其實講的內容
[00:06:22.000 --> 00:06:24.000]  直指就是要回應
[00:06:24.000 --> 00:06:27.000]  今天可能我們生活在地上
[00:06:27.000 --> 00:06:29.000]  有些東西會拉走我們
[00:06:29.000 --> 00:06:31.000]  讓我們離開這個信仰
[00:06:31.000 --> 00:06:36.000]  有時候可能這些學問或掌握的知識
[00:06:36.000 --> 00:06:38.000]  會令到我們覺得自己很厲害
[00:06:38.000 --> 00:06:40.000]  不過可能我們為自己的信仰
[00:06:40.000 --> 00:06:43.000]  埋下一個很重要的炸彈
[00:06:43.000 --> 00:06:45.000]  今天我們就藉著
[00:06:45.000 --> 00:06:49.000]  哥羅西書某程度上幾重點的經文
[00:06:49.000 --> 00:06:50.000]  我們重新思考
[00:06:50.000 --> 00:06:52.000]  今天我們在信的是什麼
[00:06:52.000 --> 00:06:55.000]  我們今天實踐的信仰是怎樣的信仰
[00:06:55.000 --> 00:06:56.000]  我們一起祈禱吧
[00:06:56.000 --> 00:06:57.000]  求上帝幫助
[00:06:57.000 --> 00:06:59.000]  願主與我們同在
[00:06:59.000 --> 00:07:01.000]  幫助我們讓我們能夠明白你的話語
[00:07:01.000 --> 00:07:03.000]  藉著你的訊息
[00:07:03.000 --> 00:07:05.000]  藉著你對我們所說的話
[00:07:05.000 --> 00:07:06.000]  調教我們
[00:07:06.000 --> 00:07:09.000]  讓我們能夠行事為人都謹慎
[00:07:09.000 --> 00:07:11.000]  成為你所喜悅的子民
[00:07:11.000 --> 00:07:14.000]  致福給每一位聽道的弟兄姊妹
[00:07:14.000 --> 00:07:15.000]  讓他們不單止聽得明白
[00:07:15.000 --> 00:07:19.000]  也都讓你的話語進到他們的心靈當中
[00:07:19.000 --> 00:07:22.000]  調教、更新
[00:07:22.000 --> 00:07:25.000]  讓他們每一個都走在上帝的旨意裏
[00:07:25.000 --> 00:07:27.000]  幫助孫講的講得清楚
[00:07:27.000 --> 00:07:30.000]  願你的話語忠心向弟兄姊妹孫講
[00:07:30.000 --> 00:07:32.000]  祈求你與我們同在
[00:07:32.000 --> 00:07:34.000]  獻上禱告奉耶穌名頭
[00:07:34.000 --> 00:07:35.000]  Amen
[00:07:35.000 --> 00:07:36.000]  我們先看第一個段落
[00:07:36.000 --> 00:07:38.000]  二章六至到第七節
[00:07:38.000 --> 00:07:41.000]  很多學者說這兩節經文
[00:07:41.000 --> 00:07:44.000]  就是哥羅西書裏面的一個很重點
[00:07:44.000 --> 00:07:45.000]  那個叫做約節
[00:07:45.000 --> 00:07:47.000]  你理解整個哥羅西書
[00:07:47.000 --> 00:07:48.000]  你拿著這兩節
[00:07:48.000 --> 00:07:51.000]  大概你會明白整個哥羅西書說什麼
[00:07:51.000 --> 00:07:53.000]  二章六至七節裏面怎樣說呢
[00:07:53.000 --> 00:07:56.000]  你們既然接受了主基督耶穌
[00:07:56.000 --> 00:07:58.000]  就當遵祂而行
[00:07:58.000 --> 00:07:59.000]  在祂裏面生根建造
[00:07:59.000 --> 00:08:00.000]  信心堅固
[00:08:00.000 --> 00:08:02.000]  正如你們所領的教訓
[00:08:02.000 --> 00:08:05.000]  感謝的心也更增長了
[00:08:05.000 --> 00:08:07.000]  你說牧師
[00:08:07.000 --> 00:08:09.000]  很平常的說話
[00:08:09.000 --> 00:08:10.000]  有什麼重點呢
[00:08:10.000 --> 00:08:12.000]  在和合本裏面
[00:08:12.000 --> 00:08:14.000]  有些地方譯的時候
[00:08:14.000 --> 00:08:19.000]  有些地方失去了原文的本意
[00:08:19.000 --> 00:08:21.000]  後來那個和合新譯本
[00:08:21.000 --> 00:08:23.000]  他已經有些調教了
[00:08:23.000 --> 00:08:25.000]  和合新譯本裏面這樣寫
[00:08:25.000 --> 00:08:29.000]  所以你們既然接受基督耶穌為主
[00:08:29.000 --> 00:08:32.000]  就應當在祂裏面行事
[00:08:32.000 --> 00:08:35.000]  也就是在祂裏面生根
[00:08:35.000 --> 00:08:36.000]  被建造
[00:08:36.000 --> 00:08:37.000]  在信仰
[00:08:37.000 --> 00:08:39.000]  就是你們所受的教導上
[00:08:39.000 --> 00:08:41.000]  得以兼顧滿心感謝
[00:08:41.000 --> 00:08:43.000]  這個應該是新漢語譯本
[00:08:43.000 --> 00:08:45.000]  這個應該是新漢語譯本
[00:08:45.000 --> 00:08:47.000]  新漢語譯本裏面
[00:08:47.000 --> 00:08:48.000]  在這裏面這樣寫
[00:08:48.000 --> 00:08:51.000]  他告訴我們有幾樣東西
[00:08:51.000 --> 00:08:53.000]  是之前的和合本你看不到的
[00:08:53.000 --> 00:08:55.000]  第一樣東西就是
[00:08:55.000 --> 00:08:59.000]  你們既然接受了主耶穌基督這個和合本
[00:08:59.000 --> 00:09:02.000]  但是在新漢語譯本裏面就說到
[00:09:02.000 --> 00:09:06.000]  你們接受了基督耶穌為主
[00:09:06.000 --> 00:09:07.000]  簡單來說
[00:09:07.000 --> 00:09:09.000]  不是拿個信仰
[00:09:09.000 --> 00:09:12.000]  拿個宗教來給自己
[00:09:12.000 --> 00:09:17.000]  令自己感覺有種心靈慰藉這麼簡單
[00:09:17.000 --> 00:09:19.000]  這個是有的
[00:09:19.000 --> 00:09:20.000]  信耶穌一定有心靈慰藉
[00:09:20.000 --> 00:09:21.000]  有份平安感
[00:09:21.000 --> 00:09:27.000]  這個是一個很重要的信仰經歷
[00:09:27.000 --> 00:09:29.000]  不過他強調的就是
[00:09:29.000 --> 00:09:32.000]  不單止拿個宗教來信
[00:09:32.000 --> 00:09:33.000]  更加重要的就是
[00:09:33.000 --> 00:09:37.000]  以基督耶穌成為你生命的主宰
[00:09:37.000 --> 00:09:38.000]  所以換言之
[00:09:38.000 --> 00:09:39.000]  我不是純粹拿個救恩
[00:09:39.000 --> 00:09:41.000]  拿個宗教感覺
[00:09:41.000 --> 00:09:43.000]  而是我生命裏面
[00:09:43.000 --> 00:09:45.000]  要有一個主宰
[00:09:45.000 --> 00:09:47.000]  帶領我們走人生的道路
[00:09:47.000 --> 00:09:50.000]  靈修學家A.W. Tozer圖書
[00:09:50.000 --> 00:09:52.000]  他就說過一個很重要的一句話
[00:09:52.000 --> 00:09:54.000]  他說今個世代裏面
[00:09:54.000 --> 00:09:55.000]  最大的異端是什麼呢
[00:09:55.000 --> 00:09:58.000]  就是將救贖的主
[00:09:58.000 --> 00:10:01.000]  和生命的主兩者分割了
[00:10:01.000 --> 00:10:03.000]  簡單來說就是
[00:10:03.000 --> 00:10:04.000]  你信耶穌不單止是說
[00:10:04.000 --> 00:10:06.000]  我要耶穌的救恩
[00:10:06.000 --> 00:10:08.000]  而更加重要的就是
[00:10:08.000 --> 00:10:09.000]  當你拿到救恩的時候
[00:10:09.000 --> 00:10:14.000]  你更加必須要以耶穌成為你生命的主宰
[00:10:14.000 --> 00:10:16.000]  你心靈裏面握著的
[00:10:16.000 --> 00:10:18.000]  以前是用你自己的感覺
[00:10:18.000 --> 00:10:20.000]  或者其他的信仰、神明
[00:10:20.000 --> 00:10:25.000]  成為你內心裏面握著的寶座
