
[00:00:00.000 --> 00:00:12.480]  (教授)今日讀經是在約翰福音五章十九至三十節
[00:00:12.480 --> 00:00:18.240]  在新約聖經一百三十一至一百三十二頁
[00:00:18.240 --> 00:00:23.120]  請聽我讀出第十八節
[00:00:23.120 --> 00:00:26.760]  「所以猶太人越發想要殺他
[00:00:26.760 --> 00:00:29.560]  因他不但犯了安息日
[00:00:29.560 --> 00:00:32.360]  並且稱神為他的父
[00:00:32.360 --> 00:00:35.920]  將自己和神當作平等
[00:00:35.920 --> 00:00:38.040]  耶穌對他們說:
[00:00:38.040 --> 00:00:40.960]  「我實實在在的告訴你們
[00:00:40.960 --> 00:00:44.080]  只憑著自己不能作甚麼
[00:00:44.080 --> 00:00:48.200]  唯有看見父所作的,子才能作
[00:00:48.200 --> 00:00:52.280]  父所作的事,子也照樣作
[00:00:52.280 --> 00:00:56.560]  父愛子將自己所作的一切事
[00:00:56.560 --> 00:01:01.000]  只給他看,還要將比這更大的事
[00:01:01.000 --> 00:01:04.480]  只給他看,叫你們稀奇
[00:01:04.480 --> 00:01:06.960]  父怎樣叫死人起來
[00:01:06.960 --> 00:01:08.680]  使他們活著
[00:01:08.680 --> 00:01:13.840]  子也照樣隨自己的意思使人活著
[00:01:13.840 --> 00:01:15.960]  父不審判甚麼人
[00:01:15.960 --> 00:01:19.640]  乃將審判的事傳教於子
[00:01:19.640 --> 00:01:21.880]  叫人都尊敬子
[00:01:21.880 --> 00:01:24.360]  如同尊敬父一樣
[00:01:24.360 --> 00:01:29.360]  不尊敬子的,就是不尊敬差子來的父
[00:01:29.360 --> 00:01:32.360]  我實實在在的告訴你們
[00:01:32.360 --> 00:01:33.840]  那聽我說:
[00:01:33.840 --> 00:01:37.920]  「有送差我來者的,就有永生
[00:01:37.920 --> 00:01:42.960]  不至於定罪,是已經出死入心了
[00:01:42.960 --> 00:01:46.160]  我實實在在的告訴你們
[00:01:46.160 --> 00:01:49.760]  時候將到,現在就是了
[00:01:49.760 --> 00:01:53.360]  死人要聽見神兒子的聲音
[00:01:53.360 --> 00:01:56.360]  聽見的人就要活了
[00:01:56.360 --> 00:02:00.160]  因為父怎樣在自己有生命
[00:02:00.160 --> 00:02:05.520]  就賜給他兒子也照樣在自己有生命
[00:02:05.520 --> 00:02:08.520]  並且因為他是人子
[00:02:08.520 --> 00:02:12.360]  就賜給他行審判的權柄
[00:02:12.360 --> 00:02:15.960]  你們不要把這事看作稀奇
[00:02:15.960 --> 00:02:19.760]  時候要到,凡在墳墓裡的
[00:02:19.760 --> 00:02:23.760]  都要聽見他的聲音,就出來
[00:02:23.760 --> 00:02:26.560]  行善的,復活得新
[00:02:26.560 --> 00:02:29.560]  作惡的,復活定罪
[00:02:29.560 --> 00:02:32.560]  我憑著自己不能作甚麼
[00:02:32.560 --> 00:02:36.160]  我怎麼聽見,就怎麼審判
[00:02:36.160 --> 00:02:38.960]  我的審判也是公平的
[00:02:38.960 --> 00:02:41.960]  因為我不求自己的意思
[00:02:41.960 --> 00:02:45.360]  只求那差我來者的意思」
[00:02:45.360 --> 00:02:46.360]  聖經獨白
[00:02:47.360 --> 00:02:49.360]  (字幕:陳偉業)
[00:02:49.360 --> 00:02:51.360]  (字幕:陳偉業)
[00:02:52.360 --> 00:02:54.360]  (字幕:陳偉業)
[00:02:54.760 --> 00:02:56.560]  (主持人:聽見會早晨)
[00:02:56.560 --> 00:02:59.960]  (主持人:少少說明今天講的道)
[00:02:59.960 --> 00:03:02.960]  (主持人:第一要講的就是今天篇道會有多悶)
[00:03:02.960 --> 00:03:05.360]  (主持人:因為講教義的東西是很悶的)
[00:03:05.360 --> 00:03:08.560]  (主持人:請大家先有心理準備,有受苦心志)
[00:03:08.560 --> 00:03:09.760]  (主持人:這是第一樣東西)
[00:03:09.760 --> 00:03:10.960]  (主持人:第二樣東西就是)
[00:03:10.960 --> 00:03:14.160]  (主持人:如果心水清一點)
[00:03:14.160 --> 00:03:17.560]  (主持人:你會見到我其實skip了一段經文)
[00:03:17.560 --> 00:03:20.760]  (主持人:五章,其實第一段的經文)
[00:03:20.760 --> 00:03:24.360]  (主持人:是耶穌在畢氏大廁子醫好那個)
[00:03:24.360 --> 00:03:27.960]  (主持人:據說好像是癱瘓的人)
[00:03:27.960 --> 00:03:33.760]  (主持人:那段經文我以前講過的)
[00:03:33.760 --> 00:03:36.160]  (主持人:並且講得也算不錯的)
[00:03:36.160 --> 00:03:38.960]  (主持人:又將它寫出來出了書的)
[00:03:38.960 --> 00:03:41.160]  (主持人:叫做改變人生命的耶穌)
[00:03:41.160 --> 00:03:42.560]  (主持人:如果有人看過的話)
[00:03:42.560 --> 00:03:45.360]  (主持人:或者沒有的話,再去找這本書來看)
[00:03:45.360 --> 00:03:47.960]  (主持人:因為我自己寫完之後)
[00:03:47.960 --> 00:03:49.360]  (主持人:我自己也沒有辦法)
[00:03:49.360 --> 00:03:53.760]  (主持人:我想了很久也無法突破我以前寫的觀點)
[00:03:53.760 --> 00:03:55.960]  (主持人:我跟陳牧師問)
[00:03:55.960 --> 00:04:00.560]  (主持人:我將編出的講章再讀一次好不好玩)
[00:04:00.560 --> 00:04:02.160]  (主持人:他說不是太好)
[00:04:02.160 --> 00:04:03.960]  (主持人:所以我一跳就跳了它)
[00:04:03.960 --> 00:04:05.760]  (主持人:所以就沒有了那一段)
