
[00:00:00.000 --> 00:00:03.740]  今日的經訓是在舊約文掃記
[00:00:03.740 --> 00:00:07.520]  第20章1至13節
[00:00:07.520 --> 00:00:12.200]  在堂會的聖經舊約188頁
[00:00:12.200 --> 00:00:17.760]  請聽我讀出神的話語
[00:00:17.760 --> 00:00:23.580]  正月間以色列傳會眾
[00:00:23.580 --> 00:00:25.520]  到了尋的曠野
[00:00:25.520 --> 00:00:28.340]  就住在迦底斯
[00:00:29.280 --> 00:00:31.460]  米利安死在那裡
[00:00:31.460 --> 00:00:33.200]  就葬在那裡
[00:00:33.200 --> 00:00:35.840]  會眾沒有水殼
[00:00:35.840 --> 00:00:39.280]  就聚集攻擊摩西、亞倫
[00:00:39.280 --> 00:00:42.600]  百姓向摩西爭鬧說
[00:00:42.600 --> 00:00:46.700]  我們的弟兄曾死在耶和華面前
[00:00:46.700 --> 00:00:50.020]  我們恨不得與他們同死
[00:00:50.020 --> 00:00:53.280]  你們為何把耶和華的會眾
[00:00:53.280 --> 00:00:55.120]  領導者曠野
[00:00:55.120 --> 00:00:57.240]  使我們和牲畜
[00:00:57.240 --> 00:00:59.240]  都死在這裡呢
[00:01:00.240 --> 00:01:03.720]  你們為何逼著我們出埃及
[00:01:03.720 --> 00:01:06.720]  領導我們到這壞地方呢
[00:01:06.720 --> 00:01:09.560]  這地方不好殺種
[00:01:09.560 --> 00:01:14.160]  也沒有無花果樹、葡萄樹、石榴樹
[00:01:14.160 --> 00:01:16.160]  又沒有水殼
[00:01:16.160 --> 00:01:19.920]  摩西、亞倫離開會眾
[00:01:19.920 --> 00:01:23.120]  到會幕門口,俯伏在地
[00:01:23.120 --> 00:01:26.640]  耶和華的榮光向他們顯現
[00:01:26.640 --> 00:01:29.240]  耶和華曉以摩西說
[00:01:29.240 --> 00:01:31.240]  你拿著杖去
[00:01:31.240 --> 00:01:33.240]  和你的哥哥亞倫
[00:01:33.240 --> 00:01:35.240]  招聚會眾
[00:01:35.240 --> 00:01:37.240]  在他們眼前
[00:01:37.240 --> 00:01:39.840]  吩咐盤石發出水來
[00:01:39.840 --> 00:01:42.440]  水就從盤石流出
[00:01:42.440 --> 00:01:45.440]  給會眾和他們的牲畜殼
[00:01:45.440 --> 00:01:49.440]  於是摩西照耶和華所吩咐的
[00:01:49.440 --> 00:01:52.640]  從耶和華面前取了杖去
[00:01:53.640 --> 00:01:58.640]  摩西、亞倫就招聚會眾到盤石前
[00:01:58.640 --> 00:02:00.640]  摩西說
[00:02:00.640 --> 00:02:04.040]  你們這些背叛的人聽我說
[00:02:04.040 --> 00:02:06.040]  我為你們試水
[00:02:06.040 --> 00:02:08.040]  從這盤石中流出來摸
[00:02:08.040 --> 00:02:10.040]  摩西舉手
[00:02:10.040 --> 00:02:13.040]  用杖擊打盤石兩下
[00:02:13.040 --> 00:02:16.040]  就有許多水流出來
[00:02:16.040 --> 00:02:19.040]  會眾和他們的牲畜都喝了
[00:02:19.040 --> 00:02:22.040]  耶和華對摩西、亞倫說
[00:02:22.040 --> 00:02:25.040]  因為你們不信我
