
[00:00:00.000 --> 00:00:08.000]  今日的經訓是馬太福音第二章一至十二節
[00:00:08.000 --> 00:00:13.000]  新約聖經第二頁
[00:00:13.000 --> 00:00:17.000]  請聽聖經的記載
[00:00:17.000 --> 00:00:21.000]  當希律王的時候
[00:00:21.000 --> 00:00:26.000]  耶穌生在猶太的伯尼行
[00:00:26.000 --> 00:00:33.000]  有幾個博士從東方來到耶路撒冷說
[00:00:33.000 --> 00:00:39.000]  那生下來作猶太人之王的在哪裡?
[00:00:39.000 --> 00:00:46.000]  我們在東方看見他的星,特來拜他
[00:00:46.000 --> 00:00:51.000]  希律王聽見了就心裡不安
[00:00:51.000 --> 00:00:56.000]  耶路撒冷合乘的人也都不安
[00:00:56.000 --> 00:01:03.000]  他就召齊了祭司長和民間的文士
[00:01:03.000 --> 00:01:09.000]  問他們說:基督當生在何處?
[00:01:09.000 --> 00:01:14.000]  他們回答說:在猶太的伯尼行
[00:01:14.000 --> 00:01:17.000]  因為有先知記載
[00:01:17.000 --> 00:01:22.000]  說:猶太地的伯尼行啊
[00:01:22.000 --> 00:01:27.000]  你在猶大諸城中並不是最少的
[00:01:27.000 --> 00:01:33.000]  因為將來有一位君王要從你那裡出來
[00:01:33.000 --> 00:01:36.000]  牧養我以色列民
[00:01:36.000 --> 00:01:42.000]  當下希律暗暗的召了博士來
[00:01:42.000 --> 00:01:46.000]  細問那星是什麼時候出現的?
[00:01:46.000 --> 00:01:51.000]  就猜他們往伯尼行去
[00:01:51.000 --> 00:01:56.000]  說:你們去仔細尋訪那小孩子
[00:01:56.000 --> 00:01:59.000]  尋到了就來報信
[00:01:59.000 --> 00:02:02.000]  我也好去拜他
[00:02:02.000 --> 00:02:07.000]  他們聽見王的話就去了
[00:02:07.000 --> 00:02:10.000]  在東方所看見的那星
[00:02:10.000 --> 00:02:14.000]  忽然在他們前頭行
[00:02:14.000 --> 00:02:17.000]  直行到小孩子的地方
[00:02:17.000 --> 00:02:21.000]  就在上頭停住了
[00:02:21.000 --> 00:02:26.000]  他們看見那星就大大的歡喜
[00:02:26.000 --> 00:02:28.000]  進了房子
[00:02:28.000 --> 00:02:32.000]  看見小孩子和他母親瑪利亞
[00:02:32.000 --> 00:02:36.000]  就俯伏拜那小孩子
[00:02:36.000 --> 00:02:38.000]  揭開寶盒
[00:02:38.000 --> 00:02:43.000]  拿黃金、乳香、抹藥為禮物
[00:02:43.000 --> 00:02:45.000]  獻給他
[00:02:45.000 --> 00:02:50.000]  博士因為在夢中被主指示
[00:02:50.000 --> 00:02:53.000]  不要回去見希律
[00:02:53.000 --> 00:02:58.000]  就從別的路回本地去了
[00:02:58.000 --> 00:03:19.000]  (主席)各位頂展會平安
[00:03:19.000 --> 00:03:23.000]  (主席)突然間螢幕看到自己這麼大
[00:03:23.000 --> 00:03:25.000]  真人也沒有這麼大
[00:03:25.000 --> 00:03:27.000]  嚇到
[00:03:27.000 --> 00:03:31.000]  我們來到新裝修的堂子
[00:03:31.000 --> 00:03:34.000]  我們由今個星期開始
[00:03:34.000 --> 00:03:40.000]  逐個星期來思考聖經
[00:03:40.000 --> 00:03:43.000]  好像倒數一樣
[00:03:43.000 --> 00:03:46.000]  來紀念基督耶穌降生
[00:03:46.000 --> 00:03:50.000]  今天我們一起來看《瑪達福音》
[00:03:50.000 --> 00:03:52.000]  這一段經文
[00:03:52.000 --> 00:03:54.000]  剛才梓梅為我們讀出的這段經文
[00:03:54.000 --> 00:03:57.000]  對我們來說也是耳熟能詳
[00:03:57.000 --> 00:03:59.000]  大家在每年的聖誕節
[00:03:59.000 --> 00:04:01.000]  可能讀過幾十年
[00:04:01.000 --> 00:04:04.000]  我們都覺得是一段很熟悉的經文
[00:04:04.000 --> 00:04:08.000]  我們唱詩歌都會唱東方三博士
[00:04:08.000 --> 00:04:11.000]  但是當你想深一層
[00:04:11.000 --> 00:04:14.000]  其實為什麼在聖經裏面
[00:04:14.000 --> 00:04:17.000]  會記載著一段這樣的經歷呢
[00:04:17.000 --> 00:04:22.000]  究竟東方這幾位博士
[00:04:22.000 --> 00:04:24.000]  我們今天也做
[00:04:24.000 --> 00:04:27.000]  其實他們記載在聖經裏面
[00:04:27.000 --> 00:04:30.000]  對整個基督耶穌降生的經歷
[00:04:30.000 --> 00:04:32.000]  或者對於我們今天來說
[00:04:32.000 --> 00:04:35.000]  有什麼重要的信息是我們知道的呢
[00:04:35.000 --> 00:04:37.000]  聖經裏面記載的說話
[00:04:37.000 --> 00:04:42.000]  我們不會純粹很負面地去做結論
[00:04:42.000 --> 00:04:45.000]  很多頂展會讀這段經文
[00:04:45.000 --> 00:04:48.000]  或者有些同道去處理這段經文
[00:04:48.000 --> 00:04:50.000]  很容易就會下了一個結論
[00:04:50.000 --> 00:04:51.000]  就是希律很壞
[00:04:51.000 --> 00:04:52.000]  是一個壞皇帝
[00:04:52.000 --> 00:04:56.000]  殘害當代的白利恆的孩子
