
[00:00:00.000 --> 00:00:05.000]  今日的經訓是記載在二賽亞書36章1至12節
[00:00:05.000 --> 00:00:10.000]  在大家手上的聖經舊約第957至958頁
[00:00:10.000 --> 00:00:13.000]  由你一同聆聽神的話語
[00:00:14.000 --> 00:00:16.000]  希西加王十四年
[00:00:16.000 --> 00:00:21.000]  亞述王西拿基納上來攻擊猶大的一切堅固性
[00:00:21.000 --> 00:00:29.000]  將成功取亞述王從拉吉差遣拉伯沙記率領大軍往耶路撒冷
[00:00:29.000 --> 00:00:31.000]  到希西加王那裡去
[00:00:31.000 --> 00:00:34.000]  他就站在上池的水溝旁
[00:00:34.000 --> 00:00:37.000]  在漂泊地的大路上
[00:00:37.000 --> 00:00:41.000]  於是希臘家的兒子迦載爾利亞徑
[00:00:41.000 --> 00:00:46.000]  並書記舍伯拿和亞薩的兒子史官約亞
[00:00:46.000 --> 00:00:51.000]  出來見拉伯沙記對他們說
[00:00:51.000 --> 00:00:54.000]  你們去告訴希西加說
[00:00:54.000 --> 00:00:56.000]  亞述大王如此說
[00:00:56.000 --> 00:01:00.000]  你所倚靠的有什麼可仗賴的呢
[00:01:00.000 --> 00:01:03.000]  你說有打仗的計謀和能力
[00:01:03.000 --> 00:01:05.000]  我看不過是虛話
[00:01:05.000 --> 00:01:08.000]  你到底倚靠誰才背叛我呢
[00:01:08.000 --> 00:01:12.000]  看啊 你所倚靠的埃及是那壓箱的偉將
[00:01:12.000 --> 00:01:16.000]  人若靠這將就必刺透他的手
[00:01:16.000 --> 00:01:21.000]  埃及王法老向一切倚靠他的人也是這樣
[00:01:21.000 --> 00:01:22.000]  你若對我說
[00:01:22.000 --> 00:01:25.000]  我們倚靠耶和華我們的神
[00:01:25.000 --> 00:01:31.000]  希西加豈不是將神的幽壇和祭壇廢去
[00:01:31.000 --> 00:01:34.000]  且對猶大和耶路撒冷的人說
[00:01:34.000 --> 00:01:37.000]  你們當在這壇前敬拜嗎
[00:01:37.000 --> 00:01:42.000]  現在你們當頭給我主亞述王
[00:01:42.000 --> 00:01:44.000]  我給你二千匹馬
[00:01:44.000 --> 00:01:47.000]  看你這一面騎馬的人夠不夠
[00:01:47.000 --> 00:01:52.000]  若不然怎能打敗我主神僕中最小的軍長呢
[00:01:52.000 --> 00:01:57.000]  你竟倚靠埃及的戰車馬兵嗎
[00:01:57.000 --> 00:02:00.000]  現在我上來攻擊毀滅這地
[00:02:00.000 --> 00:02:02.000]  豈沒有耶和華的意思嗎
[00:02:02.000 --> 00:02:04.000]  耶和華吩咐我說
[00:02:04.000 --> 00:02:07.000]  你上去攻擊毀滅這地吧
[00:02:07.000 --> 00:02:12.000]  以利亞經舍伯拿約亞對拉伯沙基說
[00:02:12.000 --> 00:02:15.000]  求你用阿蘭言語和僕人說話
[00:02:15.000 --> 00:02:17.000]  因為我們懂得
[00:02:17.000 --> 00:02:20.000]  不要用猶大言語和我們說話
[00:02:20.000 --> 00:02:22.000]  達到城上百姓的耳中
[00:02:22.000 --> 00:02:24.000]  拉伯沙基說
[00:02:24.000 --> 00:02:25.000]  我主差遣我來
[00:02:25.000 --> 00:02:29.000]  豈是單對你和你的主說這些話嗎
[00:02:29.000 --> 00:02:32.000]  不也是對這些坐在城上
[00:02:32.000 --> 00:02:34.000]  要與你們一同吃自己的糞
[00:02:34.000 --> 00:02:36.000]  學自己撩的人說嗎
[00:02:36.000 --> 00:02:46.000]  請姐妹平安
[00:02:46.000 --> 00:02:50.000]  繼續「唯獨你是王」宣講系列
[00:02:50.000 --> 00:02:53.000]  上一次我和大家分享過
[00:02:53.000 --> 00:02:54.000]  其實也是以上的書
[00:02:54.000 --> 00:02:55.000]  第七章
[00:02:55.000 --> 00:02:59.000]  如果大家還記得是猶大王希西嘉
[00:02:59.000 --> 00:03:05.000]  當他面對鄰國亞蘭和以法聯的聯合攻擊時
[00:03:05.000 --> 00:03:09.000]  他寧願依靠另一個更強大的勢力
[00:03:09.000 --> 00:03:11.000]  亞述帝國
[00:03:11.000 --> 00:03:15.000]  通過外交手段化解這場危機
