
[00:00:00.000 --> 00:00:07.800]  今日經分係記載響雅各書二章十四至二十六節新約聖經三百二十二頁
[00:00:07.800 --> 00:00:14.600]  雅各書二章十四至二十六節新約聖經三百二十二頁
[00:00:14.600 --> 00:00:26.600]  我的弟兄們若有人說自己有信心卻沒有行為有什麼益處呢
[00:00:27.000 --> 00:00:35.000]  這信心能救他們嗎若是弟兄或是姐妹赤身露體有缺了日用的飲食
[00:00:35.000 --> 00:00:42.000]  你們中間有人對他們說平平安安的去吧願你們穿得暖吃得飽
[00:00:42.000 --> 00:00:47.000]  卻不給他們身體所需用的這有什麼益處呢
[00:00:47.000 --> 00:00:56.000]  這樣信心若沒有行為就是死的必有人說你有信心我有行為
[00:00:56.000 --> 00:01:00.000]  你將你沒有行為的信心指給我看
[00:01:00.000 --> 00:01:04.000]  我便藉著我的行為將我的信心指給你看
[00:01:04.000 --> 00:01:11.000]  你信神只有一位你信的不錯魔鬼也信卻是賤精
[00:01:11.000 --> 00:01:16.000]  虛浮的人你願意知道沒有行為的信心是死的嗎
[00:01:16.000 --> 00:01:21.000]  我們的祖宗阿伯拉罕把他兒子以殺獻在壇上
[00:01:21.000 --> 00:01:25.000]  豈不是因為行為輕易嗎
[00:01:25.000 --> 00:01:28.000]  可見信心是與他的行為並行
[00:01:28.000 --> 00:01:31.000]  而且信心因著行為才得成全
[00:01:31.000 --> 00:01:34.000]  這就應驗經上所說
[00:01:34.000 --> 00:01:40.000]  阿伯拉罕信神這就稱為他的兒
[00:01:40.000 --> 00:01:42.000]  他又得稱為神的朋友
[00:01:42.000 --> 00:01:47.000]  這樣看來人稱已是因著行為不是單因著信
[00:01:47.000 --> 00:01:53.000]  妓女拉合接待使者又放他們從別的路上出去
[00:01:53.000 --> 00:01:56.000]  不也是一樣因行為輕易嗎
[00:01:56.000 --> 00:01:58.000]  身體沒有靈魂是死的
[00:01:58.000 --> 00:02:02.000]  信心沒有行為也是死的
[00:02:02.000 --> 00:02:15.000]  請姐妹平安
[00:02:15.000 --> 00:02:21.000]  剛才所讀的亦是另一段我們都很熟悉的經文
[00:02:21.000 --> 00:02:23.000]  信心與行為
[00:02:23.000 --> 00:02:26.000]  你看到雅各在這段聖經裡
[00:02:26.000 --> 00:02:29.000]  他不再與讀者繞圈轉彎抹角
[00:02:29.000 --> 00:02:34.000]  他直接與讀者信仰見真章
[00:02:34.000 --> 00:02:40.000]  來檢視到底我們所說的信心是否真的
[00:02:40.000 --> 00:02:42.000]  你看到雅各很清楚地說
[00:02:42.000 --> 00:02:47.000]  真正的信心是一定會產生相應的行動
[00:02:47.000 --> 00:02:53.000]  我們每天都在運用這個信心
[00:02:53.000 --> 00:02:55.000]  你今天有沒有帶雨傘?
[00:02:55.000 --> 00:02:57.000]  有多少人有?
[00:02:57.000 --> 00:03:00.000]  即是你相信甚麼?
[00:03:00.000 --> 00:03:03.000]  不帶那些呢?
[00:03:03.000 --> 00:03:06.000]  打算借人家的那把?
[00:03:06.000 --> 00:03:07.000]  立即買一把?
[00:03:07.000 --> 00:03:08.000]  給自己機會買一把?
[00:03:08.000 --> 00:03:10.000]  很簡單的
[00:03:10.000 --> 00:03:14.000]  你出門前相信今天一定會下雨
[00:03:14.000 --> 00:03:15.000]  你就會帶雨傘
[00:03:15.000 --> 00:03:18.000]  相反,我相信今天全日都陽光普照
[00:03:18.000 --> 00:03:20.000]  所以我今早就特意洗好衣服
[00:03:20.000 --> 00:03:23.000]  還要特意晾在窗台
[00:03:23.000 --> 00:03:24.000]  讓它曬乾
[00:03:24.000 --> 00:03:29.000]  我放完崇拜回家,剛剛好乾了
[00:03:29.000 --> 00:03:33.000]  雅各強調信心與行為是分不開的
[00:03:33.000 --> 00:03:37.000]  但他從來沒有否定信心是很重要的
[00:03:37.000 --> 00:03:39.000]  他表明有信心
[00:03:39.000 --> 00:03:44.000]  但他表明有信心不代表甚麼都不用做
[00:03:44.000 --> 00:03:46.000]  他一再指出
[00:03:46.000 --> 00:03:50.000]  信心要加上行為才完整
[00:03:50.000 --> 00:03:52.000]  才得以稱為義
[00:03:52.000 --> 00:03:56.000]  並且他跟我們說一件很重要的事
[00:03:56.000 --> 00:03:57.000]  不只說一次
