
[00:00:00.000 --> 00:00:03.920]  讓我們繼續聆聽上帝的話語
[00:00:03.920 --> 00:00:08.560]  記載在哥林多侯書第六章
[00:00:08.560 --> 00:00:10.640]  十一至十八節
[00:00:10.640 --> 00:00:13.640]  史圖普羅這樣說
[00:00:13.640 --> 00:00:17.680]  「哥林多人啊
[00:00:17.680 --> 00:00:21.160]  我們向你們口是張開的
[00:00:21.160 --> 00:00:23.480]  心是寬宏的
[00:00:23.480 --> 00:00:25.400]  你們狹窄
[00:00:25.600 --> 00:00:27.240]  願不在乎我們
[00:00:27.240 --> 00:00:30.400]  是在乎自己的心腸狹窄
[00:00:30.400 --> 00:00:34.920]  你們也要照樣用寬宏的心報答我
[00:00:34.920 --> 00:00:39.480]  我這話正像對自己的孩子說的
[00:00:39.480 --> 00:00:42.880]  你們和不信的
[00:00:42.880 --> 00:00:44.200]  願不相配
[00:00:44.200 --> 00:00:46.080]  不要同父一額
[00:00:46.080 --> 00:00:49.360]  義和不義有什麼相交呢?
[00:00:49.360 --> 00:00:52.880]  光明和黑暗有什麼相通呢?
[00:00:53.560 --> 00:00:57.400]  基督和比列有什麼相和呢?
[00:00:57.400 --> 00:01:02.200]  信主的和不信主的有什麼相干呢?
[00:01:02.200 --> 00:01:07.560]  神的殿和偶像有什麼相同呢?
[00:01:07.560 --> 00:01:11.240]  因為我們是永生神的殿
[00:01:11.240 --> 00:01:13.360]  就如神曾說
[00:01:13.360 --> 00:01:16.840]  我要在他們中間居住
[00:01:16.840 --> 00:01:19.560]  在他們中間來往
[00:01:19.560 --> 00:01:21.920]  我要作他們的神
[00:01:22.320 --> 00:01:24.560]  他們要作我的子民
[00:01:24.560 --> 00:01:27.080]  又說
[00:01:27.080 --> 00:01:30.800]  你們務要從他們中間出來
[00:01:30.800 --> 00:01:32.840]  與他們分別
[00:01:32.840 --> 00:01:36.040]  不要碰不見證的物
[00:01:36.040 --> 00:01:38.040]  我就收納你們
[00:01:38.040 --> 00:01:40.520]  我要作你們的父
[00:01:40.520 --> 00:01:43.040]  你們要作我的兒女
[00:01:43.040 --> 00:01:46.600]  這是全能的主說的
[00:01:46.600 --> 00:01:50.920]  今天早上有梁家倫牧師
[00:01:50.920 --> 00:01:53.280]  在我們當中繼續宣講
[00:01:53.280 --> 00:01:54.680]  這一段經文
[00:01:54.680 --> 00:01:58.040]  講題是開放與封閉
[00:01:58.040 --> 00:02:00.440]  將時間交給梁牧師
[00:02:00.440 --> 00:02:15.000]  旺角浸信會在神學傳統上屬於福音派
[00:02:15.000 --> 00:02:20.320]  在教義立場上繼承基督主義的傳統
[00:02:20.840 --> 00:02:22.680]  不需要諱言
[00:02:22.680 --> 00:02:26.400]  今日基督主義甚至是福音派
[00:02:26.400 --> 00:02:29.720]  常常給人一個不開放的印象
[00:02:29.720 --> 00:02:33.560]  因為我們在很多教義和倫理的問題上
[00:02:33.560 --> 00:02:36.440]  總是採取一個嚴謹保守的態度
[00:02:36.440 --> 00:02:38.560]  簡單一句說
[00:02:38.560 --> 00:02:41.160]  我們不是像自由主義那樣
[00:02:41.160 --> 00:02:44.800]  我們拒絕向這個世界妥協
[00:02:44.800 --> 00:02:49.760]  例如我們堅持聖經無謬誤的主張
[00:02:50.040 --> 00:02:52.960]  我們相信耶穌基督是人類唯一的拯救
[00:02:52.960 --> 00:02:58.400]  我們也反對同性戀、婚外情、性濫交等等的行為
[00:02:58.400 --> 00:03:03.560]  我們這個對真理執著的態度
[00:03:03.560 --> 00:03:07.320]  常常招來很多人的批評
[00:03:07.320 --> 00:03:09.240]  我們必須要承認
[00:03:09.240 --> 00:03:10.920]  這個態度在這個世界
[00:03:10.920 --> 00:03:13.520]  在今時今日是非常不受歡迎的
[00:03:14.400 --> 00:03:22.480]  我常常被我侍奉教會的大學生在我面前訴苦
[00:03:22.480 --> 00:03:25.120]  教會持另一個立場
[00:03:25.120 --> 00:03:29.160]  和他們在大學校園面對的處境
[00:03:29.160 --> 00:03:31.440]  基本上是水火不用
[00:03:31.440 --> 00:03:36.880]  大學是要高舉包容多元的地方
[00:03:36.880 --> 00:03:40.480]  包容甚至成為了最高價值
[00:03:40.480 --> 00:03:44.000]  所以如果你敢在大學
[00:03:44.000 --> 00:03:46.720]  你敢在課堂上說我反對同性戀
[00:03:46.720 --> 00:03:48.120]  你猜後果會是怎樣
[00:03:48.120 --> 00:03:51.120]  必死
[00:03:51.120 --> 00:03:54.560]  你一定會被大批的同學孤立排斥
[00:03:54.560 --> 00:03:56.600]  不向你掟石也奇怪
[00:03:56.600 --> 00:04:00.760]  所以他們很多同學說
[00:04:00.760 --> 00:04:03.320]  他們最多只能夠保持沉默
[00:04:03.320 --> 00:04:05.000]  不說話
[00:04:05.000 --> 00:04:10.840]  別人大談同性婚姻的時候
[00:04:10.840 --> 00:04:12.040]  他們就不說話
[00:04:12.040 --> 00:04:13.880]  退到一邊
[00:04:14.480 --> 00:04:20.400]  甚至有些壞人就做兩面人
[00:04:20.400 --> 00:04:22.880]  見人講人話
[00:04:22.880 --> 00:04:24.600]  見鬼講鬼話
[00:04:24.600 --> 00:04:26.600]  在大學校園講一套
[00:04:26.600 --> 00:04:29.400]  在教會講另一套
