
[00:00:00.000 --> 00:00:20.000]  《大利文化(大禮務)條例草案》 - 全體委員會審議 - 第6章1至10節
[00:00:20.000 --> 00:00:24.000]  《大利文化(大禮務)條例草案》 - 全體委員會審議 - 第6章1至10節
[00:00:24.000 --> 00:00:53.000]  「大利烏隨心所願,立一百二十個總督,治理通閣,又在他們以上立總長三人,但以理在其中。使基督在他們三人面前回覆事務,免得王受虧損。因這但以理有美好的靈性,所以顯然超乎其餘的總長和總督,王又想立他治理通閣。
[00:00:53.000 --> 00:01:17.000]  那時總長和總督尋找但以理誤覺的把柄,為要參他,只是找不著他的錯誤過失。因他忠心辦事,毫無錯誤過失。那些人便說:我們要找參者但以理的把柄,除非在他神的律法中就尋不著。」
[00:01:18.000 --> 00:01:46.000]  「於是總長和總督紛紛聚集來見王,說:願大利烏王萬歲,閣中的總長、欽差、總督、謀事和從府彼此相宜,要立一條堅定的禁令,或亦求王下旨要立一條,云云。三十日內,不驅害人,若在王以外,或向神或向人求甚麼,則不得不求王下旨。」
[00:01:46.000 --> 00:01:56.000]  「王現在求你立這禁令,加蓋玉璽,使禁令決不更改。」
[00:01:56.000 --> 00:02:12.000]  「照馬代米底亞和波斯人的律例,是不可更改的。」「於是大利烏王立這禁令,加蓋玉璽,但以理知道這禁令蓋了玉璽,就到自己家裡。」
[00:02:12.000 --> 00:02:23.000]  「他樓上的窗戶開向耶路撒冷,一日三次相室跪在他神面前,禱告感謝,與素常一樣。」
[00:02:23.000 --> 00:02:30.000]  第十九節:「次日黎明,王就起來,急忙往獅子坑那裡去。」
[00:02:30.000 --> 00:02:43.000]  「臨近坑邊,哀聲呼叫但以理,對但以理說:「永生神的僕人,但以理啊,你所常侍奉的神,能救你脫離獅子嗎?」
[00:02:43.000 --> 00:02:59.000]  「但以理對王說:願王萬歲!我的神差遣使者,封住獅子的口,叫獅子不傷我,因我在神面前無辜,我在王面前也沒有行過虧損的事。」
[00:02:59.000 --> 00:03:21.000]  第十六節:「王就甚起來,吩咐人將但以理從坑裡繫上來,於是但以理從坑裡被繫上來,身上毫無傷損,因為信靠他的神,王下令人就把那些控告但以理的人,連他們的妻子兒女都帶來,
[00:03:21.000 --> 00:03:34.000]  永在獅子坑中,他們還沒有到坑底,獅子就抓住他們,咬碎他們的骨頭,那時大利烏王傳旨:
[00:03:34.000 --> 00:03:50.000]  「曉遇住在全地各方,各國各族的人說:願你們大享平安!現在我幹旨曉遇我所統合的全國人民,要在但以理的神面前戰兢好鋸。」
