
[00:00:00.000 --> 00:00:04.240]  今日經訓是《肥臘比書》一章十一節
[00:00:04.240 --> 00:00:06.720]  新約聖經二百七十三頁
[00:00:06.720 --> 00:00:10.240]  《肥臘比書》一章一至十一節
[00:00:10.240 --> 00:00:16.720]  基督耶穌的僕人保羅和提摩泰
[00:00:16.720 --> 00:00:19.480]  寫信給凡住肥臘比
[00:00:19.480 --> 00:00:24.040]  在基督耶穌女的眾聖徒和諸位監督
[00:00:24.040 --> 00:00:25.680]  諸位執事
[00:00:26.480 --> 00:00:30.160]  願因平安從神我們的父
[00:00:30.160 --> 00:00:33.280]  令主耶穌基督歸於你們
[00:00:33.280 --> 00:00:38.480]  我每逢想念你們就感謝我的神
[00:00:38.480 --> 00:00:41.600]  每逢為你們眾人祈求的時候
[00:00:41.600 --> 00:00:44.480]  嘗試歡歡喜喜的祈求
[00:00:44.480 --> 00:00:47.520]  因為從頭一天直到如今
[00:00:47.520 --> 00:00:51.680]  你們是同心合意的興旺福音
[00:00:53.280 --> 00:00:56.960]  我深信那在你們心裡動了善功的
[00:00:56.960 --> 00:00:58.800]  必成全者功
[00:00:58.800 --> 00:01:01.920]  直到耶穌基督的日子
[00:01:01.920 --> 00:01:05.040]  我為你們眾人有這樣的意念
[00:01:05.040 --> 00:01:07.040]  原是應當的
[00:01:07.040 --> 00:01:10.000]  因你們常在我心裡
[00:01:10.000 --> 00:01:12.480]  無論我是在困所之中
[00:01:12.480 --> 00:01:15.360]  是變名證實福音的時候
[00:01:15.360 --> 00:01:18.480]  你們都與我一同得恩
[00:01:18.480 --> 00:01:21.280]  我體會基督耶穌的心腸
[00:01:21.280 --> 00:01:24.160]  切切地想念你們眾人
[00:01:24.160 --> 00:01:27.840]  這是神可以給我作見證的
[00:01:27.840 --> 00:01:29.360]  我所禱告的
[00:01:29.360 --> 00:01:31.520]  就是要你們的愛心
[00:01:31.520 --> 00:01:35.520]  在知識和各樣見識上多而有多
[00:01:35.520 --> 00:01:38.240]  使你們能分辨是非
[00:01:38.240 --> 00:01:40.320]  作誠實無過的人
[00:01:40.320 --> 00:01:43.040]  直到基督的日子
[00:01:43.040 --> 00:01:44.800]  並靠著耶穌基督
[00:01:44.800 --> 00:01:47.280]  結滿了人兒的果子
[00:01:47.280 --> 00:01:50.400]  叫榮耀稱讚歸於神
[00:01:50.400 --> 00:01:52.400]  多謝各位
[00:01:52.400 --> 00:01:58.400]  主席
[00:01:58.880 --> 00:02:00.640]  各位弟兄姊妹平安
[00:02:00.640 --> 00:02:02.080]  在新的一年裡
[00:02:02.080 --> 00:02:03.840]  祝大家展翅上騰
[00:02:03.840 --> 00:02:04.880]  身體健康
[00:02:04.880 --> 00:02:08.800]  很快就經歷一個新的年頭
[00:02:08.800 --> 00:02:10.960]  希望在這一年裡
[00:02:10.960 --> 00:02:14.960]  雖然好像疫情為我們展開農曆新年
[00:02:14.960 --> 00:02:18.000]  不過我們深信上帝會保守我們
[00:02:18.000 --> 00:02:21.200]  我們帶著上帝所賜給的喜樂和平安
[00:02:21.200 --> 00:02:24.000]  我們安然地度過這一段日子
[00:02:24.000 --> 00:02:25.760]  我希望我們很快地
[00:02:25.760 --> 00:02:27.520]  從回到教會的禮堂裡
[00:02:27.520 --> 00:02:29.520]  一起來敬拜上帝
[00:02:29.520 --> 00:02:33.840]  今天我們一起來看第五個G
[00:02:33.840 --> 00:02:35.040]  我們的六G
[00:02:35.040 --> 00:02:36.400]  凝聚動力
[00:02:36.400 --> 00:02:37.680]  Get closer(靠近)
[00:02:37.680 --> 00:02:42.160]  中英文翻譯上有一點出入
[00:02:42.160 --> 00:02:46.720]  當然我們最想說的內涵
[00:02:46.720 --> 00:02:49.440]  在旺朕的價值觀
[00:02:49.440 --> 00:02:51.200]  或者在我們教會裡面
[00:02:51.200 --> 00:02:53.440]  我們有一個很重要的價值
[00:02:53.440 --> 00:02:55.360]  就是讓姐妹聚集在一起
[00:02:55.360 --> 00:02:58.800]  不是純粹是一群等待被餵養
[00:02:58.800 --> 00:03:04.480]  或者純粹是消費宗教一群的群體
[00:03:04.480 --> 00:03:07.040]  而是我們希望我們一群人聚集在一起
[00:03:07.040 --> 00:03:09.600]  我們成為一個改變的動力
[00:03:09.600 --> 00:03:11.040]  為你的社會
[00:03:11.040 --> 00:03:12.880]  為你身處的環境
[00:03:12.880 --> 00:03:14.400]  或者為你的家庭
[00:03:14.400 --> 00:03:15.760]  為你的職場
[00:03:15.760 --> 00:03:17.760]  我們這一群頂姐妹聚集
[00:03:17.760 --> 00:03:20.320]  是會帶來一些更新和變化的
[00:03:20.320 --> 00:03:21.440]  所以我們的聚集
[00:03:21.440 --> 00:03:23.920]  是有目標和有方向感的
[00:03:23.920 --> 00:03:25.760]  今天我就很想選取
[00:03:25.760 --> 00:03:30.960]  肥勒比書的《隱言》或者《開場白》
[00:03:30.960 --> 00:03:33.520]  作為去展述第五個G
[00:03:33.520 --> 00:03:34.640]  Get closer(靠近)
[00:03:34.640 --> 00:03:37.200]  凝聚動力的一個很重要的經文
[00:03:37.200 --> 00:03:40.000]  事實上當你仔細去看這段經文的時候
[00:03:40.000 --> 00:03:43.680]  其實保羅的語調和肥勒比教會
[00:03:43.680 --> 00:03:46.560]  特別你看到的哥倫多前書
[00:03:46.560 --> 00:03:47.680]  或者其他書卷
[00:03:47.680 --> 00:03:49.200]  有一點不同的
[00:03:49.200 --> 00:03:52.240]  肥勒比書是一份情書
[00:03:52.240 --> 00:03:55.280]  是保羅將他在上帝面前
[00:03:55.280 --> 00:03:57.520]  所領受的一個很深的情
[00:03:57.520 --> 00:04:00.160]  來呈現給弟兄姐妹之一
