
[00:00:00.000 --> 00:00:01.500]  接著下來是經份
[00:00:01.500 --> 00:00:03.500]  今天的經文是在
[00:00:03.500 --> 00:00:06.300]  舊約聖經的267頁
[00:00:06.300 --> 00:00:09.300]  約書20記五章一到十二節
[00:00:09.300 --> 00:00:12.000]  舊約聖經267頁
[00:00:12.000 --> 00:00:13.900]  翻開的請聽我讀
[00:00:13.900 --> 00:00:16.000]  第五章第一節
[00:00:16.000 --> 00:00:19.700]  約旦河西阿摩利人的諸王
[00:00:19.700 --> 00:00:22.400]  和靠海加南人的諸王
[00:00:22.400 --> 00:00:25.100]  聽見耶和華在以色列人
[00:00:25.100 --> 00:00:27.900]  前面使約旦河的水乾了
[00:00:27.900 --> 00:00:29.600]  等到我們過去
[00:00:29.700 --> 00:00:32.500]  他們的心因以色列人的緣故
[00:00:32.500 --> 00:00:33.800]  就消化了
[00:00:33.800 --> 00:00:36.200]  不再有膽氣
[00:00:36.200 --> 00:00:37.600]  那時
[00:00:37.600 --> 00:00:39.900]  耶和華吩咐約書亞說
[00:00:39.900 --> 00:00:41.800]  你製造火石刀
[00:00:41.800 --> 00:00:45.100]  第二次給以色列人行國禮
[00:00:45.100 --> 00:00:48.200]  約書亞就製造了火石刀
[00:00:48.200 --> 00:00:53.000]  再除皮生那裡給以色列人行國禮
[00:00:53.000 --> 00:00:55.900]  約書亞行了國禮的緣故
[00:00:55.900 --> 00:00:59.100]  是因為從埃及出來的眾民
[00:00:59.100 --> 00:01:02.200]  就是一切能打仗的藍丁
[00:01:02.200 --> 00:01:04.200]  出了埃及以後
[00:01:04.200 --> 00:01:06.700]  都死在曠野的路上
[00:01:06.700 --> 00:01:07.800]  第五節
[00:01:07.800 --> 00:01:11.600]  因為出來的眾民都受過國禮
[00:01:11.600 --> 00:01:13.900]  唯獨出埃及以後
[00:01:13.900 --> 00:01:17.100]  在曠野的路上所生的眾民
[00:01:17.100 --> 00:01:19.200]  都沒有受過國禮
[00:01:19.200 --> 00:01:22.700]  以色列人在曠野走了四十年
