
[00:00:00.000 --> 00:00:03.800]  頂姐妹我們進入以聆聽聖道
[00:00:03.800 --> 00:00:06.100]  繼續敬拜我們的主
[00:00:06.100 --> 00:00:08.100]  我們三一的上帝
[00:00:08.100 --> 00:00:11.100]  我們繼續希伯來書
[00:00:11.100 --> 00:00:15.600]  來打開第七章的一至三節
[00:00:15.600 --> 00:00:19.200]  和第十一節至二十五節
[00:00:19.200 --> 00:00:22.800]  希伯來書第七章的第一節
[00:00:22.800 --> 00:00:25.600]  「這墨基西德就是撒冷王
[00:00:25.600 --> 00:00:28.800]  又是至高神的祭祀
[00:00:28.800 --> 00:00:31.400]  本是長遠為祭祀的
[00:00:31.400 --> 00:00:35.900]  他當阿伯拉罕撒拜諸王回來的時候
[00:00:35.900 --> 00:00:38.200]  就迎接他
[00:00:38.200 --> 00:00:39.800]  給他祝福
[00:00:39.800 --> 00:00:42.800]  阿伯拉罕也將自己所得來的
[00:00:42.800 --> 00:00:45.200]  取十分之一給他
[00:00:45.200 --> 00:00:49.800]  他頭一個名翻出來就是仁義王
[00:00:49.800 --> 00:00:51.900]  他又名撒冷王
[00:00:51.900 --> 00:00:55.400]  就是平安王的意思
[00:00:55.400 --> 00:00:58.700]  他無父無母無族譜
[00:00:58.700 --> 00:01:01.600]  無生之始無命之終
[00:01:01.600 --> 00:01:04.800]  乃是與神的兒子相似」
[00:01:04.800 --> 00:01:06.800]  你們想一想
[00:01:06.800 --> 00:01:10.000]  我們來到第十一節
[00:01:10.000 --> 00:01:16.500]  「從前百姓在利未人祭祀職任以下受律法
[00:01:16.500 --> 00:01:20.500]  倘若藉這職任能得完全
[00:01:20.500 --> 00:01:23.800]  又何用另外興起一位祭祀
[00:01:23.800 --> 00:01:25.900]  照墨基西德的等次
[00:01:25.900 --> 00:01:28.300]  不照亞倫的等次呢?」
[00:01:28.300 --> 00:01:31.700]  祭祀的職任既已更改
[00:01:31.700 --> 00:01:34.100]  律法也必須更改
[00:01:34.100 --> 00:01:37.100]  「因為這話所指的人
[00:01:37.100 --> 00:01:39.100]  本屬別的支派
[00:01:39.100 --> 00:01:43.600]  那支派裡從來沒有一人事後祭壇
[00:01:43.600 --> 00:01:47.600]  我們的主分明是從猶大出來的
[00:01:47.600 --> 00:01:52.300]  但這支派摩西並沒有提到祭祀
[00:01:52.300 --> 00:01:55.500]  倘若照墨基西德的樣式
[00:01:55.500 --> 00:01:58.300]  另外興起一位祭祀來
