
[00:00:00.000 --> 00:00:03.600]  我不知道剛才敬拜時你有甚麼感受
[00:00:03.600 --> 00:00:04.920]  我有一個感受
[00:00:04.920 --> 00:00:07.800]  我覺得上帝是好
[00:00:07.800 --> 00:00:08.680]  上帝是愛
[00:00:08.680 --> 00:00:11.280]  耶穌的恩典真是好豐富
[00:00:11.280 --> 00:00:12.280]  很棒
[00:00:12.280 --> 00:00:13.280]  這位主
[00:00:13.280 --> 00:00:15.440]  所以很值得我們去
[00:00:15.440 --> 00:00:17.800]  全部的獻上去敬拜祂
[00:00:17.800 --> 00:00:20.680]  很值得我們全心全意地給祂
[00:00:20.680 --> 00:00:22.920]  你剛才敬拜有沒有全心全意
[00:00:22.920 --> 00:00:25.400]  有沒有將你所有的獻上
[00:00:25.400 --> 00:00:26.600]  你幫我問問旁邊的那個
[00:00:26.600 --> 00:00:27.240]  全心全意
[00:00:27.240 --> 00:00:28.440]  你有沒有全心全意
[00:00:29.440 --> 00:00:31.440]  你們怎麼這樣
[00:00:31.440 --> 00:00:33.440]  沒有反應
[00:00:33.440 --> 00:00:35.440]  不要緊
[00:00:35.440 --> 00:00:37.440]  今天我講到
[00:00:37.440 --> 00:00:41.440]  我講到的題目是叫做
[00:00:41.440 --> 00:00:43.440]  叫做
[00:00:43.440 --> 00:00:45.440]  沒有重點
[00:00:45.440 --> 00:00:47.440]  叫做
[00:00:47.440 --> 00:00:50.440]  「保持團伙為主徵戰」
[00:00:50.440 --> 00:00:51.440]  我就想
[00:00:51.440 --> 00:00:52.440]  有甚麼
[00:00:52.440 --> 00:00:54.440]  或者我喜歡做的事
[00:00:54.440 --> 00:00:56.440]  或者興趣
[00:00:56.440 --> 00:00:57.440]  你很喜歡做的事
[00:00:57.440 --> 00:00:59.440]  或者你的興趣你能保持很久
[00:00:59.440 --> 00:01:01.440]  我就想這件事
[00:01:01.440 --> 00:01:03.440]  我又問問我老公
[00:01:03.440 --> 00:01:05.440]  我就問他你最喜歡做甚麼
[00:01:05.440 --> 00:01:07.440]  知道我老公回答甚麼
[00:01:07.440 --> 00:01:10.440]  弟兄們你沒理由不懂回答
[00:01:10.440 --> 00:01:12.440]  打遊戲
[00:01:12.440 --> 00:01:13.440]  我就問他
[00:01:13.440 --> 00:01:17.440]  你打遊戲哪個遊戲你打得最久
[00:01:17.440 --> 00:01:18.440]  甚麼
[00:01:18.440 --> 00:01:20.440]  人生
[00:01:20.440 --> 00:01:22.440]  他說monster hunter
[00:01:22.440 --> 00:01:24.440]  我老公比較老病
[00:01:24.440 --> 00:01:26.440]  我就問他
[00:01:26.440 --> 00:01:28.440]  為何你會保持打這麼久
[00:01:28.440 --> 00:01:30.440]  他的答案很有趣
[00:01:30.440 --> 00:01:31.440]  他說沒有
[00:01:31.440 --> 00:01:32.440]  因為遊戲沒有壞
[00:01:32.440 --> 00:01:34.440]  他不想買一個新的遊戲
[00:01:34.440 --> 00:01:35.440]  沒有錢
[00:01:35.440 --> 00:01:36.440]  他說他孤寒
[00:01:36.440 --> 00:01:38.440]  我又問問自己
[00:01:38.440 --> 00:01:40.440]  有甚麼興趣
[00:01:40.440 --> 00:01:42.440]  或者我喜歡做的事
[00:01:42.440 --> 00:01:44.440]  我能保持做很久
[00:01:44.440 --> 00:01:46.440]  我真的想了很久
[00:01:46.440 --> 00:01:48.440]  我沒有甚麼是我很喜歡做的事
