
[00:00:00.000 --> 00:00:04.000]  感謝敬拜隊帶領我們敬拜
[00:00:04.000 --> 00:00:06.000]  剛才的敬拜很感動
[00:00:06.000 --> 00:00:09.000]  在裡面,Joe很感謝他
[00:00:09.000 --> 00:00:14.000]  不斷說出詩歌裡的一句
[00:00:14.000 --> 00:00:16.000]  他當中說,Leave the 99
[00:00:16.000 --> 00:00:20.000]  放下99隻羊,去找失喪的羊
[00:00:20.000 --> 00:00:22.000]  其實神對我們的愛就是
[00:00:22.000 --> 00:00:26.000]  揭移不捨,不惜一切愛我們
[00:00:26.000 --> 00:00:30.000]  我們是誰?我們生命裡做了這麼多事
[00:00:30.000 --> 00:00:32.000]  去得罪他,成為了他的敵人
[00:00:32.000 --> 00:00:35.000]  但他竟然不惜一切去拯救我們
[00:00:35.000 --> 00:00:37.000]  或者可能我們生命裡
[00:00:37.000 --> 00:00:40.000]  有時候都會覺得自己好像99隻羊
[00:00:40.000 --> 00:00:44.000]  我們覺得我們自己安然安妥安穩
[00:00:44.000 --> 00:00:47.000]  但當我們體會到自己妙小
[00:00:47.000 --> 00:00:48.000]  體會到自己的罪
[00:00:48.000 --> 00:00:51.000]  我們就體會到原來神有多愛我們
[00:00:51.000 --> 00:00:54.000]  他很感謝Joe帶領我們去敬拜
[00:00:54.000 --> 00:00:57.000]  也讓我們再一次體會到
[00:00:57.000 --> 00:00:59.000]  神有多愛我們
[00:00:59.000 --> 00:01:02.000]  開始之前我們一起祈禱
[00:01:02.000 --> 00:01:07.000]  天父,我們很感謝你
[00:01:07.000 --> 00:01:10.000]  感謝你,就是這麼徹底的愛我們
[00:01:10.000 --> 00:01:12.000]  讓我們的生命裡可以得著盼望
[00:01:12.000 --> 00:01:14.000]  得著拯救
[00:01:14.000 --> 00:01:15.000]  他帶領我們
[00:01:15.000 --> 00:01:17.000]  我們都很想去學習,去為你如活
[00:01:17.000 --> 00:01:19.000]  金和銀我們都沒有
[00:01:19.000 --> 00:01:21.000]  但我們很想獻我們的生命
[00:01:21.000 --> 00:01:22.000]  去跟隨著你
[00:01:22.000 --> 00:01:24.000]  祂會訴訟我們,改變我們
[00:01:24.000 --> 00:01:25.000]  更新我們
[00:01:25.000 --> 00:01:28.000]  不容易的地方求聖靈
[00:01:28.000 --> 00:01:30.000]  去拖低我們走過
[00:01:30.000 --> 00:01:32.000]  叫他教託,扶著耶穌幾個命義祈求
[00:01:32.000 --> 00:01:33.000]  阿門
[00:01:33.000 --> 00:01:35.000]  哇,好朦啊
[00:01:35.000 --> 00:01:42.000]  今個星期我們講到的題目
[00:01:42.000 --> 00:01:43.000]  我收到的就是
[00:01:43.000 --> 00:01:47.000]  由全福音去到生命同行
[00:01:47.000 --> 00:01:48.000]  我初頭都在想
[00:01:48.000 --> 00:01:50.000]  其實有什麼關係呢
[00:01:50.000 --> 00:01:52.000]  全福音是什麼
[00:01:52.000 --> 00:01:56.000]  出去,去報道,短宣
[00:01:56.000 --> 00:01:58.000]  生命同行我會想起團契
[00:01:58.000 --> 00:02:00.000]  大家去分享
[00:02:00.000 --> 00:02:01.000]  我在想
[00:02:01.000 --> 00:02:04.000]  其實全福音和生命同行有什麼關係呢
[00:02:04.000 --> 00:02:06.000]  慢慢慢慢我想一下
[00:02:06.000 --> 00:02:07.000]  我開始覺得
[00:02:07.000 --> 00:02:10.000]  其實團契、生命同行
[00:02:10.000 --> 00:02:12.000]  其實也是全福音的一種
[00:02:12.000 --> 00:02:14.000]  全福音沒有講對象
[00:02:14.000 --> 00:02:16.000]  沒有一定要傳去未信
[00:02:16.000 --> 00:02:19.000]  其實一個信的人
[00:02:19.000 --> 00:02:21.000]  將福音再次展現給一個信的人看
[00:02:21.000 --> 00:02:23.000]  其實已經是一個生命的同行
[00:02:23.000 --> 00:02:25.000]  所以其實生命同行
[00:02:25.000 --> 00:02:28.000]  也是一個全福音的延伸
[00:02:28.000 --> 00:02:29.000]  我們生命裏面
[00:02:29.000 --> 00:02:31.000]  很想將這個美好的信息
[00:02:31.000 --> 00:02:32.000]  這個good news
[00:02:32.000 --> 00:02:33.000]  這個福音
[00:02:33.000 --> 00:02:35.000]  去帶給我們身邊的人聽
[00:02:35.000 --> 00:02:38.000]  以至他們可以得著生命的更新改變
[00:02:38.000 --> 00:02:40.000]  這個也就是全福音
[00:02:40.000 --> 00:02:42.000]  所以今天很想去講
[00:02:42.000 --> 00:02:43.000]  生命同行裏面
[00:02:43.000 --> 00:02:45.000]  可以怎樣去展現那個good news
[00:02:45.000 --> 00:02:48.000]  展現那份美好的信息
[00:02:48.000 --> 00:02:49.000]  很多時候我們會想
[00:02:49.000 --> 00:02:50.000]  其實團契裏面
[00:02:50.000 --> 00:02:51.000]  生命同行很正
[00:02:51.000 --> 00:02:53.000]  我們青少報常常都說
[00:02:53.000 --> 00:02:55.000]  小組互相擁抱
[00:02:55.000 --> 00:02:57.000]  不斷去分享
[00:02:57.000 --> 00:02:59.000]  不斷去抱著、哭
[00:02:59.000 --> 00:03:00.000]  然後靜泡
[00:03:00.000 --> 00:03:02.000]  一會兒搭著肩膀一起搖
[00:03:02.000 --> 00:03:04.000]  畫面很美好的
[00:03:04.000 --> 00:03:05.000]  但有時候
[00:03:05.000 --> 00:03:09.000]  始終小組都不是我們想像中那麼容易
[00:03:09.000 --> 00:03:11.000]  有時候可能在小組裏面
[00:03:11.000 --> 00:03:12.000]  可能會有一些爭拗
[00:03:12.000 --> 00:03:13.000]  有些不開心
[00:03:13.000 --> 00:03:14.000]  有些生氣
[00:03:14.000 --> 00:03:16.000]  旁邊那個督眼督鼻
[00:03:16.000 --> 00:03:18.000]  叫我怎樣跟他們生命同行
[00:03:18.000 --> 00:03:21.000]  有時候我們生命裏面都真的很軟弱
[00:03:21.000 --> 00:03:25.000]  小組很想展現生命同行的美好
[00:03:25.000 --> 00:03:28.000]  很想展現good news的福音
[00:03:28.000 --> 00:03:31.000]  基督來的平安在我們生命裏面
[00:03:31.000 --> 00:03:33.000]  但有時候始終在小組裏面
[00:03:33.000 --> 00:03:35.000]  都可能真的很不容易
[00:03:35.000 --> 00:03:37.000]  甚至可能我們身邊的人
[00:03:37.000 --> 00:03:39.000]  我們的家庭或者我們的教會
