
[00:00:00.000 --> 00:00:02.000]  因此讓我們一起在淨拜裡面
[00:00:02.000 --> 00:00:04.280]  並且透過淨拜我們一起回到神面前
[00:00:04.280 --> 00:00:06.320]  讓我們知道
[00:00:06.320 --> 00:00:07.840]  或者我們所相信的對象
[00:00:07.840 --> 00:00:09.840]  其實是一個能夠跟我們一起
[00:00:09.840 --> 00:00:12.280]  甚至乎他在我們中間引導我們
[00:00:12.280 --> 00:00:15.000]  並且讓我們的心可以歸回裡面的主
[00:00:15.000 --> 00:00:16.240]  這個很重要
[00:00:16.240 --> 00:00:17.120]  希望大家
[00:00:17.120 --> 00:00:19.040]  我們在疫情之下
[00:00:19.040 --> 00:00:20.280]  甚至乎在香港環境
[00:00:20.280 --> 00:00:21.600]  或者香港這個氣氛之下
[00:00:21.600 --> 00:00:24.240]  我們有時都會被一些負面
[00:00:24.240 --> 00:00:28.880]  或者一些感覺沒什麼力的狀況圍繞著我們
[00:00:28.880 --> 00:00:30.720]  但很明顯我們回到神面前
[00:00:30.720 --> 00:00:32.320]  在神裡面我們重新得力
[00:00:32.320 --> 00:00:33.680]  並且我們知道
[00:00:33.680 --> 00:00:34.880]  我們相信的對象
[00:00:34.880 --> 00:00:36.760]  然後回到神面前淨拜的時候
[00:00:36.760 --> 00:00:38.320]  知道我們在他面前
[00:00:38.320 --> 00:00:39.320]  我們的身份
[00:00:39.320 --> 00:00:40.760]  這種關係的出現
[00:00:40.760 --> 00:00:42.520]  也帶來給我們生命
[00:00:42.520 --> 00:00:43.640]  帶來給我們生命有力量
[00:00:43.640 --> 00:00:44.800]  這個很重要
[00:00:44.800 --> 00:00:46.600]  今天我們就負責講道
[00:00:46.600 --> 00:00:47.640]  應該也是
[00:00:47.640 --> 00:00:50.320]  今天開始新的主題
[00:00:50.320 --> 00:00:53.120]  其實都是圍繞著我們青少報的六個很重要的主題
[00:00:53.120 --> 00:00:53.920]  我們的主題有
[00:00:53.920 --> 00:00:57.480]  牧羊、關係、成長、傳福音、服侍
[00:00:57.480 --> 00:00:59.160]  今天我們會講淨拜
[00:00:59.160 --> 00:01:01.800]  這個月都是圍繞著淨拜這個題目
[00:01:01.800 --> 00:01:02.920]  這個題目叫做
[00:01:02.920 --> 00:01:04.480]  講題叫做身處亂世
[00:01:04.480 --> 00:01:06.280]  要找適合淨拜的對象
[00:01:06.280 --> 00:01:07.080]  為什麼呢?
[00:01:07.080 --> 00:01:09.920]  其實生活越困難
[00:01:09.920 --> 00:01:12.720]  我們要信靠或者投靠的對象
[00:01:12.720 --> 00:01:14.000]  其實真的要準確
[00:01:14.000 --> 00:01:14.600]  如果不是的話
[00:01:14.600 --> 00:01:16.880]  有時我們會找到一些對象
[00:01:16.880 --> 00:01:18.600]  以為可信或者信得過
[00:01:18.600 --> 00:01:19.960]  但是將我們生命
[00:01:19.960 --> 00:01:21.600]  或者我們一生的時間精力
[00:01:21.600 --> 00:01:23.800]  花在了對象身上的時候
[00:01:23.800 --> 00:01:25.720]  可能到頭來帶來的結果
[00:01:25.720 --> 00:01:27.280]  未必是如我們所想
[00:01:27.280 --> 00:01:28.800]  或我們所期望的
[00:01:28.800 --> 00:01:29.720]  這個很重要
[00:01:29.720 --> 00:01:30.920]  拍完今天這篇道
[00:01:30.920 --> 00:01:32.280]  當大家聽完之後
[00:01:32.280 --> 00:01:34.080]  讓我們知道我們所信的對象
[00:01:34.080 --> 00:01:35.960]  他是一個什麼神
[00:01:35.960 --> 00:01:38.160]  這個對象又有什麼本質
[00:01:38.160 --> 00:01:39.120]  我們又知道
[00:01:39.120 --> 00:01:41.440]  我們就投著信心去確定他
[00:01:41.440 --> 00:01:44.880]  並且在生活上堅定地向他
[00:01:44.880 --> 00:01:47.280]  堅定地向前行
[00:01:47.280 --> 00:01:48.960]  這是很重要的
[00:01:48.960 --> 00:01:50.360]  先跟大家講一下
[00:01:50.360 --> 00:01:51.360]  第一個
[00:01:51.360 --> 00:01:54.280]  我不知道你認不認同別人
[00:01:54.280 --> 00:01:57.640]  總是會懂得去找出路
[00:01:57.640 --> 00:01:58.280]  什麼意思呢
[00:01:58.280 --> 00:02:01.160]  簡單說就是人好像有一種天生的技能
[00:02:01.160 --> 00:02:03.200]  就是我們遇到困難的時候
[00:02:03.200 --> 00:02:05.880]  我們就會自己去找解決方法
[00:02:05.880 --> 00:02:07.280]  我不知道你認不認同
[00:02:07.280 --> 00:02:08.960]  在家裡的你你認不認同
[00:02:08.960 --> 00:02:09.880]  舉個例子
[00:02:09.880 --> 00:02:11.000]  如果我們坐一條船
[00:02:11.000 --> 00:02:12.560]  船撞了
[00:02:12.560 --> 00:02:17.120]  你自己一個留在荒島那裡
[00:02:17.120 --> 00:02:18.200]  電影做得多
[00:02:18.200 --> 00:02:19.480]  在荒島那裡你會怎樣
[00:02:19.480 --> 00:02:20.960]  自己去找東西吃
[00:02:20.960 --> 00:02:21.760]  沒有水去找
[00:02:21.760 --> 00:02:23.280]  有沒有地方喝水
[00:02:23.280 --> 00:02:25.200]  想辦法可以解決
[00:02:25.200 --> 00:02:27.000]  肚餓的就去解決
[00:02:27.000 --> 00:02:28.040]  總之有得吃的就吃
[00:02:28.040 --> 00:02:29.520]  有得喝的就喝
[00:02:29.520 --> 00:02:31.440]  斷股你都不會在荒島那裡
[00:02:31.440 --> 00:02:32.360]  留在荒島之後
