
[00:00:00.000 --> 00:00:08.000]  早安,中一的應該是第一次見我吧
[00:00:08.000 --> 00:00:12.000]  歡迎,你們是第二星期上來的吧
[00:00:12.000 --> 00:00:15.000]  有些我認得的,有些是暑期班
[00:00:15.000 --> 00:00:19.000]  有些是迎新日,有些是在camp
[00:00:19.000 --> 00:00:22.000]  所以很開心見到一班青年人,中一
[00:00:22.000 --> 00:00:27.000]  我叫Florence,我是其中一個傳統人
[00:00:27.000 --> 00:00:30.000]  我專門看中三的
[00:00:30.000 --> 00:00:35.000]  大家好,早安
[00:00:35.000 --> 00:00:38.000]  我不知道你們覺得敬拜如何
[00:00:38.000 --> 00:00:41.000]  我們青少報很喜歡敬拜
[00:00:41.000 --> 00:00:46.000]  我自己覺得敬拜很幫助我去作宣告
[00:00:46.000 --> 00:00:49.000]  有時候我詞窮,我不太會說話
[00:00:49.000 --> 00:00:53.000]  所以藉著詩歌,藉著作歌的大英姐妹
[00:00:53.000 --> 00:00:57.000]  幫我去表達一些我沒想過可以這樣表達的東西
[00:00:57.000 --> 00:01:00.000]  或者有時候唱歌唱歌,對,我是這樣想的
[00:01:00.000 --> 00:01:03.000]  我是這樣認同的,就會唱越大聲
[00:01:03.000 --> 00:01:07.000]  所以願意我們都是學習,都是要習慣
[00:01:07.000 --> 00:01:09.000]  我們一起開口去敬拜
[00:01:09.000 --> 00:01:13.000]  因為敬拜是我們基屋徒經常要做的事
[00:01:13.000 --> 00:01:17.000]  當然不只是詩歌敬拜,生命敬拜我們都會做
[00:01:17.000 --> 00:01:20.000]  所以讓我們一起學習,敬拜是很開心的
[00:01:20.000 --> 00:01:25.000]  我們開始之前一起祈禱,我們就進入上帝的說話裡面
[00:01:25.000 --> 00:01:29.000]  差點腐,感謝你,我們可以朝聚在一起
[00:01:29.000 --> 00:01:34.000]  一起唱詩歌,一起想念你,一起想起你
[00:01:34.000 --> 00:01:37.000]  也可以藉著你的說話去被提醒
[00:01:37.000 --> 00:01:41.000]  確實我們人很善忘,不是每個禮拜回來教會
[00:01:41.000 --> 00:01:45.000]  去聽你的說話,或者每天自己的靈修
[00:01:45.000 --> 00:01:46.000]  我們真的很容易忘記你
[00:01:46.000 --> 00:01:51.000]  願意今天你的說話再度的,讓我們記起基督耶穌
[00:01:51.000 --> 00:01:56.000]  以致我們的生命被你的說話,被耶穌基督去鼓勵
[00:01:56.000 --> 00:01:58.000]  求你開開我們的心,開開我們的眼
[00:01:58.000 --> 00:02:00.000]  去聽今天你要跟我們的說話
[00:02:00.000 --> 00:02:03.000]  以上的禱告,奉主名求,阿門
[00:02:03.000 --> 00:02:06.000]  好,開始前問一下你
[00:02:06.000 --> 00:02:11.000]  今早出門的時候,你父母有沒有跟你說什麼?
[00:02:11.000 --> 00:02:13.000]  沒有,拜拜
[00:02:13.000 --> 00:02:15.000]  有沒有什麼叮囑的?
[00:02:15.000 --> 00:02:17.000]  沒有
[00:02:17.000 --> 00:02:19.000]  什麼?
[00:02:19.000 --> 00:02:23.000]  準時,圓團契
[00:02:23.000 --> 00:02:26.000]  要記得準時圓團契
[00:02:26.000 --> 00:02:28.000]  這個應該不是跟你說,應該是跟導師說的
[00:02:28.000 --> 00:02:32.000]  我們青少報的時間比較隨意一點
[00:02:32.000 --> 00:02:36.000]  我們不是上課,我們喜歡一起開心
[00:02:36.000 --> 00:02:38.000]  不過當然你約了就約了
[00:02:38.000 --> 00:02:44.000]  我不知道你父母是否流行在你離開的大家的時候
[00:02:44.000 --> 00:02:46.000]  有沒有叮囑的?
[00:02:46.000 --> 00:02:49.000]  會不會上課的時候,有沒有帶齊功課?
[00:02:49.000 --> 00:02:51.000]  記得帶齊功課
[00:02:51.000 --> 00:02:54.000]  下雨天,記得帶雨傘
[00:02:54.000 --> 00:02:57.000]  今早我媽媽才跟我說,今天好像下雨
[00:02:57.000 --> 00:02:59.000]  我何謂不知道?
[00:02:59.000 --> 00:03:03.000]  我有帶雨傘的,我猜她想提我帶雨傘
[00:03:03.000 --> 00:03:07.000]  冬天,會不會叫你多帶件衣服?
[00:03:07.000 --> 00:03:09.000]  我不知道你父母在你出門的時候
