
[00:00:00.000 --> 00:00:06.000]  李姐妹,午安
[00:00:06.000 --> 00:00:10.000]  我不知道你敬拜時有什麼感受
[00:00:10.000 --> 00:00:12.000]  我覺得我很感動
[00:00:12.000 --> 00:00:14.000]  因為無論環境如何
[00:00:14.000 --> 00:00:16.000]  耶穌也不離開我們
[00:00:16.000 --> 00:00:19.000]  十字架的愛永遠不會改變
[00:00:19.000 --> 00:00:22.000]  我覺得這是很寶貴的事情
[00:00:22.000 --> 00:00:25.000]  你覺得是否覺得是很寶貴的事情
[00:00:25.000 --> 00:00:26.000]  如果你覺得
[00:00:26.000 --> 00:00:30.000]  我鼓勵你在YouTube留言
[00:00:30.000 --> 00:00:33.000]  說是很寶貴
[00:00:33.000 --> 00:00:36.000]  讓大家互相鼓勵
[00:00:36.000 --> 00:00:37.000]  好嗎
[00:00:37.000 --> 00:00:40.000]  今天我講到
[00:00:40.000 --> 00:00:46.000]  8月份我們又去到另一個講道的主題
[00:00:46.000 --> 00:00:49.000]  上個月我們在講一些成長的事情
[00:00:49.000 --> 00:00:54.000]  8月份我們就去到講關係的事情
[00:00:54.000 --> 00:00:58.000]  我們生活在一個群體裡
[00:00:58.000 --> 00:01:01.000]  人與人之間的互動
[00:01:01.000 --> 00:01:04.000]  會產生很多不同的關係
[00:01:04.000 --> 00:01:07.000]  但關係也有很多種
[00:01:07.000 --> 00:01:10.000]  有些叫做Hi Bye Friend
[00:01:10.000 --> 00:01:15.000]  Hi Bye 即是沒有什麼關係
[00:01:15.000 --> 00:01:18.000]  有些是因工作而結合的朋友
[00:01:18.000 --> 00:01:21.000]  完了工作就沒有朋友了
[00:01:21.000 --> 00:01:26.000]  就好像身邊的同學和你做project的同學
[00:01:26.000 --> 00:01:30.000]  因工作而結合
[00:01:30.000 --> 00:01:33.000]  因工作而分開
[00:01:33.000 --> 00:01:36.000]  有些叫做BFF
[00:01:36.000 --> 00:01:39.000]  應該是Best Friend Forever
[00:01:39.000 --> 00:01:40.000]  對嗎
[00:01:40.000 --> 00:01:41.000]  應該對吧
[00:01:41.000 --> 00:01:44.000]  會不會是Boyfriend Forever
[00:01:44.000 --> 00:01:46.000]  應該不是
[00:01:46.000 --> 00:01:51.000]  BFF通常都是跟自己很合得來
[00:01:51.000 --> 00:01:52.000]  很能談得來
[00:01:52.000 --> 00:01:57.000]  你會整天約他出來玩的一群人
[00:01:57.000 --> 00:02:00.000]  在朋友的圈子
[00:02:00.000 --> 00:02:01.000]  多朋友也好
[00:02:01.000 --> 00:02:03.000]  BFF也好
[00:02:03.000 --> 00:02:06.000]  其實也是由Hi Bye Friend
[00:02:06.000 --> 00:02:07.000]  即是一個普通的朋友
[00:02:07.000 --> 00:02:10.000]  慢慢一步步去建立
[00:02:10.000 --> 00:02:15.000]  一步步有一個進心的關係
[00:02:15.000 --> 00:02:18.000]  不過就算是BFF也好
[00:02:18.000 --> 00:02:21.000]  是否真的可以永遠的呢
[00:02:21.000 --> 00:02:24.000]  有時也可能會吵架
[00:02:24.000 --> 00:02:26.000]  有時可能是誤會
[00:02:26.000 --> 00:02:28.000]  而生對方的氣
[00:02:28.000 --> 00:02:32.000]  可能這樣破壞了彼此之間的關係
[00:02:32.000 --> 00:02:36.000]  關係有時原來不像你預期
[00:02:36.000 --> 00:02:39.000]  可以Best Friend Forever
[00:02:39.000 --> 00:02:41.000]  就算在教會
[00:02:41.000 --> 00:02:44.000]  在熟齡的群體
[00:02:44.000 --> 00:02:46.000]  按照教導
[00:02:46.000 --> 00:02:48.000]  我們也會期望大家應該如何
[00:02:48.000 --> 00:02:50.000]  彼此相愛
[00:02:50.000 --> 00:02:51.000]  彼此支持
[00:02:51.000 --> 00:02:52.000]  彼此接納
[00:02:52.000 --> 00:02:55.000]  應該也可以成為BFF
[00:02:55.000 --> 00:02:58.000]  但是我相信
[00:02:58.000 --> 00:03:01.000]  不是每個小組的組員
[00:03:01.000 --> 00:03:03.000]  都是我的BFF
[00:03:03.000 --> 00:03:08.000]  也不一定按我們的預期期望發生
[00:03:08.000 --> 00:03:12.000]  關係怎樣才可以進一步呢
[00:03:12.000 --> 00:03:16.000]  特別當相處的衝突
[00:03:16.000 --> 00:03:19.000]  可能是因為大家的思想
[00:03:19.000 --> 00:03:22.000]  行為性格都很不同的時候
[00:03:22.000 --> 00:03:25.000]  怎樣可以仍然接納對方
[00:03:25.000 --> 00:03:28.000]  擁抱對方呢
[00:03:28.000 --> 00:03:30.000]  今天很想透過游大書
[00:03:30.000 --> 00:03:34.000]  學習一下關係進心的功課
[00:03:34.000 --> 00:03:38.000]  你說為什麼沒有一張數呢
[00:03:38.000 --> 00:03:40.000]  因為游大書是第一張
[00:03:40.000 --> 00:03:44.000]  今天我們會看20-23節
[00:03:44.000 --> 00:03:46.000]  我也想邀請大家
[00:03:46.000 --> 00:03:48.000]  跟我一起讀出以下經文
[00:03:48.000 --> 00:03:50.000]  預備起
[00:03:50.000 --> 00:03:52.000]  有些人存異心
