
[00:00:00.000 --> 00:00:02.500]  非常感恩我們可以是敬拜主
[00:00:02.500 --> 00:00:05.300]  雖然我們不能夠實體見面
[00:00:05.300 --> 00:00:08.700]  但我們可以在網絡上
[00:00:08.700 --> 00:00:11.600]  可以互相透過同一個時間
[00:00:11.600 --> 00:00:12.900]  藉著同一個聖靈
[00:00:12.900 --> 00:00:14.800]  幫我們在神面前
[00:00:14.800 --> 00:00:17.000]  一起同心合意去敬拜主
[00:00:17.000 --> 00:00:18.300]  這也是很重要的
[00:00:18.300 --> 00:00:19.700]  當我們敬拜的時候
[00:00:19.700 --> 00:00:20.500]  常常都覺得
[00:00:20.500 --> 00:00:23.600]  我們的生命就知道我們所相信的是誰
[00:00:23.600 --> 00:00:25.500]  當我們所唱出的那首詩歌
[00:00:25.500 --> 00:00:27.400]  其實正正就告訴我們知道
[00:00:27.400 --> 00:00:29.300]  我們所相信的信仰對象
[00:00:29.300 --> 00:00:31.100]  是一個在我們生命裡面
[00:00:31.100 --> 00:00:32.300]  和我們同在
[00:00:32.300 --> 00:00:35.100]  甚至引導我們在祂面前
[00:00:35.100 --> 00:00:36.900]  去敬拜祂、去讚美祂
[00:00:36.900 --> 00:00:40.100]  去高舉祂、去讚揚祂的那位主
[00:00:40.100 --> 00:00:43.300]  我想這也是一個很重要的信仰歷程
[00:00:43.300 --> 00:00:44.200]  幫助我們
[00:00:44.200 --> 00:00:46.700]  雖然現在我們不能夠實體見面
[00:00:46.700 --> 00:00:49.200]  甚至在香港的這段時間
[00:00:49.200 --> 00:00:51.000]  無論是第四波的高峰
[00:00:51.000 --> 00:00:53.900]  又或者很多的新聞、很多的時事
[00:00:53.900 --> 00:00:56.600]  都帶來給我們不同的心情的起伏
[00:00:56.600 --> 00:00:58.000]  但我仍然相信
[00:00:58.000 --> 00:01:00.900]  上帝都在我的生命裡面作王、作主
[00:01:00.900 --> 00:01:03.000]  縱然我們生命裡面所遇到的事情
[00:01:03.000 --> 00:01:04.600]  盼望你欣著這個原因
[00:01:04.600 --> 00:01:06.300]  欣著上帝是我們信仰的對象
[00:01:06.300 --> 00:01:07.600]  我們依靠對象
[00:01:07.600 --> 00:01:09.200]  然後我們可以竭力的
[00:01:09.200 --> 00:01:11.100]  繼續去追隨祂、去跟隨祂
[00:01:11.100 --> 00:01:12.600]  這也是很重要的
[00:01:12.600 --> 00:01:14.600]  今天跟大家一起分享一場說話
[00:01:14.600 --> 00:01:16.700]  這個月開始我們有新的主題
[00:01:16.700 --> 00:01:18.500]  這個主題我們是講服侍
[00:01:18.500 --> 00:01:19.900]  所以這個月我們開始講服侍
[00:01:19.900 --> 00:01:22.800]  原來我們精少保這個月有很多的活動
[00:01:22.800 --> 00:01:23.900]  待會兒都會講一下
[00:01:23.900 --> 00:01:25.900]  但因為疫情的緣故
[00:01:25.900 --> 00:01:29.900]  有很多因素令我們不能夠實體地進行
