
[00:00:00.000 --> 00:00:10.000]  你們聽少了我讚美Asta,Asta這麼高的一個報價,果然是高挑的美少女
[00:00:10.000 --> 00:00:17.000]  頂展妹,你在競拜裏面,我聽到一些東西,不知道你們是怎樣感受
[00:00:17.000 --> 00:00:23.000]  我剛才在競拜裏面聽到一些東西,我感覺我記得起一段經文
[00:00:23.000 --> 00:00:32.000]  他說我們跟神的關係,就好像雌子和葡萄樹的關係,他說如果我們離開了神,我們什麼都不能做
[00:00:32.000 --> 00:00:40.000]  剛才在競拜裏面,這段經文在我裏面出現,我想起一件事,以前會想
[00:00:40.000 --> 00:00:49.000]  其實雌子離開了葡萄樹,那條柴也可以去做其他事,撩一下東西,燒,拿去燒也是有用
[00:00:49.000 --> 00:00:56.000]  原來我覺得,突然間剛才想起的時候,我覺得不是,他不是說你這條柴有沒有用
[00:00:56.000 --> 00:01:03.000]  他說如果雌子離開了葡萄樹,你會枯乾,你沒有了跟神的關係,你會很乾涸
[00:01:03.000 --> 00:01:10.000]  剛才真的去感受,頂展妹不知道你,剛才Asta帶我們去競拜的時候,去提醒我們
[00:01:10.000 --> 00:01:19.000]  我們有沒有跟神離開很遠呢?會不會因為鏡頭阻礙我們,我們跟神很遠呢?
[00:01:19.000 --> 00:01:27.000]  原來我們真的不要離開這棵樹,在裏面得到那種能力,原來你們都在競拜裏面這樣去領受
[00:01:27.000 --> 00:01:39.000]  今天講道的時候,我講的道叫做不和而合之道,講一下今年的我們的連體,Shining Eucharist Be the Light
[00:01:39.000 --> 00:01:47.000]  我們要做一個見證,除了要成為家之外,還要做一個發光的家,要成為光去照亮這個世界
[00:01:47.000 --> 00:01:56.000]  我們今個月的月體,原來叫做成為耶穌的見證人,今天是最後一講的,下個月有新的題目
[00:01:56.000 --> 00:02:03.000]  成為耶穌的見證人,不知道頂展妹你們覺不覺得,我進入的了,現在說的了
[00:02:03.000 --> 00:02:12.000]  不知道你們覺不覺得這個世界很嘈,其實不知道你們認不認爲,其實我也有感覺這個世界很嘈
[00:02:12.000 --> 00:02:19.000]  好像很多吵吵鬧鬧在我們周圍,周圍走到哪裏都是吵架的,上網看到很多人在吵架
[00:02:19.000 --> 00:02:32.000]  坐巴士的口罩戴,又吵架,坐地鐵的一個屁股,明明是一個屁股,坐兩張椅子的位置,躺著,又吵架
[00:02:32.000 --> 00:02:41.000]  有時看到顏色,藍色,黃色,紅色,黑色,又吵架,又吵一頓
[00:02:41.000 --> 00:02:51.000]  吵的地方不止在街上,也在家裏,回家的時候,又有很多吵吵鬧鬧
[00:02:51.000 --> 00:03:05.000]  我看新聞裏面去講,他說在疫情的期間,因爲太多家人在家裏,所以家暴和吵架的狀況,其實激增,要找社工那些激增
[00:03:05.000 --> 00:03:11.000]  我們好像充斥在一個充滿紛爭的環境裏面,不知道你同不同意
[00:03:11.000 --> 00:03:19.000]  今天講的講題,就是月題叫成爲耶穌的見證人,很想跟大家一起問一個問題
[00:03:19.000 --> 00:03:25.000]  不知道在這個吵吵鬧鬧的大環境裏面,其實基督徒可以怎樣不一樣呢?
[00:03:25.000 --> 00:03:35.000]  今天會看的書卷叫做加拿大書,這一段是保羅罵比德的一段經文
[00:03:35.000 --> 00:03:39.000]  我想問的問題是,其實基督徒的吵架是不是可以不一樣呢?
[00:03:39.000 --> 00:03:43.000]  是不是好像我們在那裏那裏那裏看到一樣,也是吵吵吵吵的呢?
