
[00:00:00.000 --> 00:00:12.000]  鄧尊博:鄧尊博好,聽到嗎?不過沒有回應了,你在YouTube應該聽到
[00:00:12.000 --> 00:00:20.000]  我們講到之前一起低頭祈禱,慈悲天賦我們感恩,主你真是將寶貴的話語給過我們
[00:00:20.000 --> 00:00:30.000]  我們能夠在尊嚴中得著智慧的時候,求主你藉著今天分享的信息提醒、幫助、教導我們
[00:00:30.000 --> 00:00:37.000]  如何能夠取得這個智慧,並且將這個智慧傳承給我們下一代
[00:00:37.000 --> 00:00:41.000]  我們這樣祈禱奉耶穌基督德聖的名求
[00:00:41.000 --> 00:00:52.000]  我不知道你在人生中,在你父親或家人中得到最寶貴的禮物是甚麼
[00:00:52.000 --> 00:01:01.000]  是否一份很有價值的禮物呢?或是去一個旅行,一本聖經
[00:01:01.000 --> 00:01:09.000]  還是你覺得你最寶貴的是你家人帶你回教會呢?我相信當中有很多是信義的
[00:01:09.000 --> 00:01:17.000]  還是你犯錯的時候,你父親狠狠地來佛你一頓呢?
[00:01:17.000 --> 00:01:28.000]  未信主的人可能覺得最寶貴的就是家人能夠給我們一個正確的人生價值觀
[00:01:28.000 --> 00:01:34.000]  信主的人可能就是我們信仰給我們的成全
[00:01:34.000 --> 00:01:44.000]  今天想和大家一起看的是《智慧的成全》,《針賢》四章一照九節,想分三點來和大家看
[00:01:44.000 --> 00:01:51.000]  第一點就是父親的陀拉,這裡是認識聰明
[00:01:51.000 --> 00:01:56.000]  這就是我們可以說是智慧的起步點
[00:01:56.000 --> 00:02:05.000]  其實這段經文是很獨特的,《針賢》是針賢的智慧老師說一個見證
[00:02:05.000 --> 00:02:15.000]  告訴智慧的學生,他如何在父親身上得到這個智慧
[00:02:15.000 --> 00:02:21.000]  然後告訴學生,智慧的開端是甚麼
[00:02:21.000 --> 00:02:28.000]  四章一節,開始的時候他說孩子們要聽父親的教訓
[00:02:28.000 --> 00:02:33.000]  想問一下這個父親是誰呢?如果你說針賢的作者是所羅門
[00:02:33.000 --> 00:02:36.000]  這個父親可能是指導他自己
[00:02:36.000 --> 00:02:42.000]  然後他作過見證說他將父親教他的教給他的兒女
[00:02:42.000 --> 00:02:50.000]  即是說將大慧的智慧傳給他的學生
