
[00:00:00.000 --> 00:00:05.000]  新咪呢支要開咪
[00:00:05.000 --> 00:00:07.000]  大英姐妹 你們好
[00:00:07.000 --> 00:00:10.000]  今天會進入港度的時候
[00:00:10.000 --> 00:00:11.000]  不過港度之前
[00:00:11.000 --> 00:00:13.000]  很想你去感受一下
[00:00:13.000 --> 00:00:16.000]  剛才你在敬拜裏面的感覺
[00:00:16.000 --> 00:00:20.000]  或者其實敬拜都不只是滿足我們的感受
[00:00:20.000 --> 00:00:24.000]  不過我覺得剛才在自己在敬拜裏面的時候
[00:00:24.000 --> 00:00:25.000]  又想起現在的時勢
[00:00:25.000 --> 00:00:28.000]  好像感覺上大家都有個心態
[00:00:28.000 --> 00:00:30.000]  因為疫情可能下個禮拜都不知道
[00:00:30.000 --> 00:00:33.000]  可不可以聚在一起 或者坐在一起
[00:00:33.000 --> 00:00:37.000]  我又想起大家一起能夠敬拜
[00:00:37.000 --> 00:00:38.000]  是一件很美好的事
[00:00:38.000 --> 00:00:40.000]  所以想你用幾秒去想
[00:00:40.000 --> 00:00:42.000]  剛才敬拜的時候你有什麼感受
[00:00:42.000 --> 00:00:44.000]  然後你望一望你旁邊有一個
[00:00:44.000 --> 00:00:46.000]  你用你的眼神表達
[00:00:46.000 --> 00:00:47.000]  有得齊敬拜真的好
[00:00:47.000 --> 00:00:49.000]  不然對著屏幕真的
[00:00:49.000 --> 00:00:55.000]  這樣表達 我想能夠一起去敬拜神
[00:00:55.000 --> 00:00:57.000]  一起去聽上帝的話語
[00:00:57.000 --> 00:00:59.000]  我們身體能夠相見
[00:00:59.000 --> 00:01:02.000]  其實真是一見上帝給我們的很大的祝福
[00:01:02.000 --> 00:01:04.000]  我們捉住我們珍惜這些事
[00:01:04.000 --> 00:01:06.000]  都是很想大家一起去這樣做的
[00:01:06.000 --> 00:01:07.000]  今天講到的時候
[00:01:07.000 --> 00:01:10.000]  由於今天崇拜其實只有一個小時
[00:01:10.000 --> 00:01:12.000]  所以你看我講話又快一點
[00:01:12.000 --> 00:01:14.000]  還有你看到整篇講章都沒有什麼隱言
[00:01:14.000 --> 00:01:16.000]  所以我因為講得又很長
[00:01:16.000 --> 00:01:19.000]  將會有四千多字嚇到我自己
[00:01:19.000 --> 00:01:21.000]  所以我決定沒有隱言
[00:01:21.000 --> 00:01:22.000]  不過我想告訴你
[00:01:22.000 --> 00:01:24.000]  這個月的月提叫什麼
[00:01:24.000 --> 00:01:28.000]  這個月的月提叫福音讓人離開罪的合祭
[00:01:28.000 --> 00:01:33.000]  我選的題目叫神以審判帶人離開罪的合祭
[00:01:33.000 --> 00:01:36.000]  你不理解或者明白嗎
[00:01:36.000 --> 00:01:37.000]  或者你有沒有這樣經歷
[00:01:37.000 --> 00:01:40.000]  原來福音帶人離開罪這件事
[00:01:40.000 --> 00:01:43.000]  是很真真實實是耶穌基督所做的事情
[00:01:43.000 --> 00:01:49.000]  你有沒有經歷神怎樣去幫你離開罪的捆綁的合祭呢
[00:01:49.000 --> 00:01:51.000]  今天很想跟你一起去看
[00:01:51.000 --> 00:01:55.000]  大衛和別斯巴事件之後的一段經文
[00:01:55.000 --> 00:01:58.000]  都說了其實我們在看兩張經文
[00:01:58.000 --> 00:02:02.000]  但我們今天講的主要是12章的1至15節
[00:02:02.000 --> 00:02:05.000]  所以我們就進入經文
[00:02:05.000 --> 00:02:07.000]  先看看故事的背景
[00:02:07.000 --> 00:02:13.000]  剛才都說這件事是在大衛和別斯巴事件之後的一件事
[00:02:13.000 --> 00:02:14.000]  我們今天看12章
[00:02:14.000 --> 00:02:16.000]  但這個11章是背景
[00:02:16.000 --> 00:02:17.000]  大衛和別斯巴的事件
[00:02:17.000 --> 00:02:20.000]  其實都是大家很熟悉的事件
[00:02:20.000 --> 00:02:22.000]  在11章
[00:02:22.000 --> 00:02:24.000]  我們很快地去看一次
[00:02:24.000 --> 00:02:25.000]  是甚麼事呢
[00:02:25.000 --> 00:02:26.000]  在打仗的時候
[00:02:26.000 --> 00:02:29.000]  那一刻的大衛其實已經是一個王
[00:02:29.000 --> 00:02:32.000]  也是一個其實都挺多打勝仗的王
[00:02:32.000 --> 00:02:34.000]  王位都很穩健的
[00:02:34.000 --> 00:02:36.000]  其實是一個王
[00:02:36.000 --> 00:02:38.000]  他這一刻要打仗
[00:02:38.000 --> 00:02:40.000]  大衛自己又不出戰
[00:02:40.000 --> 00:02:42.000]  但就派了人出去前線打
[00:02:42.000 --> 00:02:44.000]  發生的故事是甚麼事呢
[00:02:44.000 --> 00:02:47.000]  有一天當他睡覺睡醒之後
