
[00:00:00.000 --> 00:00:05.000]  第一節有沒有人問?
[00:00:05.000 --> 00:00:09.000]  我感恩敬拜隊帶領我們一起去敬拜神
[00:00:09.000 --> 00:00:12.000]  我不知道你剛才敬拜的時候有什麼體會
[00:00:12.000 --> 00:00:16.000]  我剛才在敬拜的時候心裡有句話
[00:00:16.000 --> 00:00:18.000]  說什麼信靠神呢?
[00:00:18.000 --> 00:00:20.000]  剛才主席打給我們知道
[00:00:20.000 --> 00:00:23.000]  透過師哥幫我們回到神裡面
[00:00:23.000 --> 00:00:25.000]  希望在祈禱裡面、在敬拜裡面
[00:00:25.000 --> 00:00:28.000]  在信心裡面對神的信心大一點
[00:00:28.000 --> 00:00:30.000]  剛才我就問自己
[00:00:30.000 --> 00:00:33.000]  如何去理解我是一個有信心的人呢?
[00:00:33.000 --> 00:00:36.000]  剛才下面的時候我有個答案
[00:00:36.000 --> 00:00:40.000]  我覺得有時候我們會用我們自己的眼光、感受
[00:00:40.000 --> 00:00:42.000]  去解釋這個世界
[00:00:42.000 --> 00:00:44.000]  如果說近一點就是
[00:00:44.000 --> 00:00:48.000]  我用我的看法去解釋我身邊所發生的事物
[00:00:48.000 --> 00:00:51.000]  如果當我用這種眼光去看、去解釋的時候
[00:00:51.000 --> 00:00:55.000]  確實有時候我們對於信仰、對於上帝的說話
[00:00:55.000 --> 00:00:56.000]  都會有很多動搖的
[00:00:56.000 --> 00:00:59.000]  為什麼?因為我的感受或者我去解釋
[00:00:59.000 --> 00:01:00.000]  是從我的角度
[00:01:00.000 --> 00:01:03.000]  但相反我又想什麼叫信靠神的人呢?
[00:01:03.000 --> 00:01:07.000]  信靠神的人可能就是我以神的說話
[00:01:07.000 --> 00:01:11.000]  用聖經裡面所說的去解釋我所見到的東西
[00:01:11.000 --> 00:01:12.000]  很有分別的
[00:01:12.000 --> 00:01:13.000]  為什麼呢?
[00:01:13.000 --> 00:01:15.000]  如果我用上帝的說話、用聖經的說話
[00:01:15.000 --> 00:01:18.000]  去解釋所有我見到的事情的時候
[00:01:18.000 --> 00:01:22.000]  我就知道我所追隨或者我所去相信的
[00:01:22.000 --> 00:01:24.000]  背後不是我自己的想法
[00:01:24.000 --> 00:01:26.000]  不是我的感受
[00:01:26.000 --> 00:01:28.000]  剛才敬拜的時候我想起
[00:01:28.000 --> 00:01:30.000]  以色列人很好,他們的社會很好
[00:01:30.000 --> 00:01:32.000]  給他們掌聲,好不好?真的很好
[00:01:32.000 --> 00:01:34.000]  但是我有很多思考
[00:01:34.000 --> 00:01:37.000]  我記得我上神學院的時候
[00:01:37.000 --> 00:01:39.000]  其中上了一篇書
[00:01:39.000 --> 00:01:42.000]  我記得我教師教書的老師說
[00:01:42.000 --> 00:01:43.000]  書中有「一二一」
[00:01:43.000 --> 00:01:45.000]  一篇大家都很熟悉的聖經
[00:01:45.000 --> 00:01:47.000]  一篇很熟悉的書中
[00:01:47.000 --> 00:01:49.000]  然後這篇書中的背後是說
[00:01:49.000 --> 00:01:51.000]  當以色列人其實他們沒有了國家
[00:01:51.000 --> 00:01:52.000]  亡了國
[00:01:52.000 --> 00:01:56.000]  其實他們是朝聖在向熱流沙冷城
[00:01:56.000 --> 00:01:57.000]  在走上山的時候
[00:01:57.000 --> 00:01:59.000]  一直走一直唱的詩歌
