
[00:00:00.000 --> 00:00:02.000]  大家好 大家好 大家好
[00:00:02.000 --> 00:00:04.000]  大家好
[00:00:04.000 --> 00:00:06.000]  大家好
[00:00:06.000 --> 00:00:08.000]  大家好
[00:00:08.000 --> 00:00:10.000]  大家好
[00:00:10.000 --> 00:00:12.000]  先說到
[00:00:12.000 --> 00:00:14.000]  今天幾號 知不知道
[00:00:14.000 --> 00:00:16.000]  知道
[00:00:16.000 --> 00:00:18.000]  鏡頭 你可不可以搭一下
[00:00:18.000 --> 00:00:20.000]  是啊
[00:00:20.000 --> 00:00:22.000]  是啊
[00:00:22.000 --> 00:00:24.000]  看著屏幕搭一下
[00:00:24.000 --> 00:00:26.000]  今天是26號 知不知道今天是什麼日子
[00:00:26.000 --> 00:00:30.000]  今天是世界拳擊日 知不知道
[00:00:30.000 --> 00:00:32.000]  拳擊
[00:00:32.000 --> 00:00:34.000]  想一想就知道
[00:00:34.000 --> 00:00:36.000]  好
[00:00:36.000 --> 00:00:38.000]  今天是26號 昨天呢
[00:00:38.000 --> 00:00:40.000]  就是12月25號聖誕節
[00:00:40.000 --> 00:00:42.000]  基督教的聖誕節期
[00:00:42.000 --> 00:00:44.000]  是由12月25號
[00:00:44.000 --> 00:00:46.000]  是去到1月5號
[00:00:46.000 --> 00:00:48.000]  總共12日
[00:00:48.000 --> 00:00:50.000]  原來呢 今天還是聖誕節
[00:00:50.000 --> 00:00:52.000]  可不可以跟你隔離的那個
[00:00:52.000 --> 00:00:54.000]  或者在check room那裡
[00:00:54.000 --> 00:00:56.000]  跟你的弟兄姐妹說
[00:00:56.000 --> 00:00:58.000]  聖誕快樂 大家多一句
[00:00:58.000 --> 00:01:00.000]  耶穌愛你好嗎
[00:01:00.000 --> 00:01:02.000]  大家一起
[00:01:02.000 --> 00:01:04.000]  聖誕快樂 耶穌愛你
[00:01:04.000 --> 00:01:06.000]  聖誕節呢
[00:01:06.000 --> 00:01:08.000]  這個節期呢
[00:01:08.000 --> 00:01:10.000]  其實對世界
