
[00:00:00.000 --> 00:00:02.000]  丁子蒙可否給點掌聲競拜隊
[00:00:02.000 --> 00:00:04.000]  給點掌聲Cece
[00:00:04.000 --> 00:00:06.000]  給點掌聲AV
[00:00:06.000 --> 00:00:10.000]  在剛剛初頭恢復崇拜這幾個禮拜
[00:00:10.000 --> 00:00:14.000]  其實都有很多東西很忙亂或很倉促地去預備
[00:00:14.000 --> 00:00:19.000]  但其實也感恩有一班侍奉團隊很激動地去預備
[00:00:19.000 --> 00:00:21.000]  我不知道在看你競拜的時候看到了什麼
[00:00:21.000 --> 00:00:25.000]  我分享一下我在競拜中的感受給大家聽
[00:00:25.000 --> 00:00:32.000]  我覺得在競拜中一個給我最大的感受就是好像很忙亂
[00:00:32.000 --> 00:00:35.000]  或者很多很複雜的煩擾
[00:00:35.000 --> 00:00:38.000]  但經常透過剛才晉大去唱一些詩歌
[00:00:38.000 --> 00:00:43.000]  讓我們體會原來單純競拜原來是這麼棒
[00:00:43.000 --> 00:00:47.000]  所以丁子蒙我知道你想一想你現在生活在什麼光景
[00:00:47.000 --> 00:00:51.000]  我剛才聽中四那些說現在正在考UT
[00:00:51.000 --> 00:00:58.000]  之後又Final之後大學那些剛才Tammy說五月尾才完勝
[00:00:58.000 --> 00:01:01.000]  剛才阿俊說一句說什麼
[00:01:01.000 --> 00:01:07.000]  死亡的四月就不能勝過耶穌福會的大禮
[00:01:07.000 --> 00:01:09.000]  我覺得這個真的很震撼
[00:01:09.000 --> 00:01:13.000]  同樣恭喜你透過競拜都讓我們一起去經歷絕日
[00:01:13.000 --> 00:01:16.000]  也讓我們在忙裡思想著
[00:01:16.000 --> 00:01:19.000]  今天跟大家分享信息
[00:01:19.000 --> 00:01:23.000]  現在進入本月的主題第三講
[00:01:23.000 --> 00:01:28.000]  今天的主題是與受苦者同行的真體
[00:01:28.000 --> 00:01:33.000]  不知道大家記不記得前兩個禮拜Foreigns講過什麼
[00:01:33.000 --> 00:01:35.000]  又幫大家回顧一下
[00:01:35.000 --> 00:01:39.000]  前個禮拜Foreigns講說藉著大愛和數羅
[00:01:39.000 --> 00:01:42.000]  分享到就算受苦者是多難頂都好
[00:01:42.000 --> 00:01:45.000]  我們仍然要學習去愛
