
[00:00:00.000 --> 00:00:06.000]  謝謝慶拜隊,幫助我們在唱歌時,去經歷神的愛
[00:00:06.000 --> 00:00:11.000]  感謝主,在開始之前,想有一個祈禱的時間
[00:00:11.000 --> 00:00:13.000]  參與主,我們感謝你
[00:00:13.000 --> 00:00:18.000]  感謝你,我們可以在夢上去慶拜你
[00:00:18.000 --> 00:00:22.000]  去唱詩歌,去健康的去唱詩歌
[00:00:22.000 --> 00:00:25.000]  希望你可以祝福我們今天的時間
[00:00:25.000 --> 00:00:32.000]  幫助我可以很順暢的、很肥佛的,去傳供你的華語
[00:00:32.000 --> 00:00:36.000]  幫助我可以祝福到我們這個群體
[00:00:36.000 --> 00:00:40.000]  我們感謝你,奉耶穌基督德聖的命球
[00:00:40.000 --> 00:00:45.000]  各位大兄姐妹,想問你一個問題
[00:00:45.000 --> 00:00:50.000]  你有沒有想過你是怎樣定義自己的價值
[00:00:50.000 --> 00:00:53.000]  不知道你有沒有想過這個問題
[00:00:53.000 --> 00:00:55.000]  是你學校的成績
[00:00:55.000 --> 00:01:00.000]  或者是你學校的好壞,你定義自己的價值
[00:01:00.000 --> 00:01:04.000]  我們香港的教育制度不斷的進行改革
[00:01:04.000 --> 00:01:07.000]  讓學生可以有一個公平的競爭機會
[00:01:07.000 --> 00:01:12.000]  其中努力和優秀的學生可以透過競爭
[00:01:12.000 --> 00:01:14.000]  因此可以去到好的學校
[00:01:14.000 --> 00:01:17.000]  因此可以有一個好的未來
[00:01:17.000 --> 00:01:20.000]  香港的教育局相信成績優越的學生
[00:01:20.000 --> 00:01:25.000]  可以得到更多的社會資源
[00:01:25.000 --> 00:01:28.000]  因為他們相信好的學生、好的學校
[00:01:28.000 --> 00:01:31.000]  可以有更加有效的使用資源
[00:01:31.000 --> 00:01:35.000]  所以給了大量的資源給學生和好的學校
[00:01:35.000 --> 00:01:37.000]  他們相信這個合理的投資
[00:01:37.000 --> 00:01:39.000]  會讓優秀的學生在未來
[00:01:39.000 --> 00:01:42.000]  可以為社會做出良好的貢獻
[00:01:42.000 --> 00:01:46.000]  所以很多的資源都給排名前面的學校
[00:01:46.000 --> 00:01:50.000]  排名前面的精英
[00:01:50.000 --> 00:01:52.000]  這就是所謂的「為財主義」
[00:01:52.000 --> 00:01:55.000]  或者是所謂的「精英制度」
