
[00:00:00.000 --> 00:00:05.400]  謝謝敬拜隊帶我們回到神的愛裡面
[00:00:05.400 --> 00:00:09.840]  很體會的是剛才一個很感動的敬拜
[00:00:09.840 --> 00:00:14.880]  要我們體會原來在主的愛裡面我們是不會迷失的
[00:00:14.880 --> 00:00:17.360]  所以鼓勵大家每個星期回來
[00:00:17.360 --> 00:00:20.240]  當我們在敬拜裡面經歷的時候
[00:00:20.240 --> 00:00:24.840]  確實都給我們有不同的體會和提醒
[00:00:24.840 --> 00:00:27.800]  最後跟大家分享神的話語
[00:00:27.800 --> 00:00:31.000]  今天好像少了一些人
[00:00:31.000 --> 00:00:32.680]  開始進入中期考試
[00:00:32.680 --> 00:00:36.400]  大家就開始少了一些
[00:00:36.400 --> 00:00:39.640]  今天跟大家分享神的話語
[00:00:39.640 --> 00:00:41.680]  如果大家記得今年的年題是
[00:00:41.680 --> 00:00:44.520]  Glorify God Fight for Jesus
[00:00:44.520 --> 00:00:49.400]  其實這個月KEEP ON的主題都是圍繞著信復
[00:00:49.400 --> 00:00:51.840]  過去兩三個星期
[00:00:51.840 --> 00:00:55.360]  Billy和Esta都講了這個主題
[00:00:55.360 --> 00:00:58.400]  今天很想跟大家探討一個問題
[00:00:58.400 --> 00:01:01.960]  也是今天的講題的主題
[00:01:01.960 --> 00:01:07.080]  在這個看似越來越艱難的年代時勢下
[00:01:07.080 --> 00:01:10.840]  今天的主題是如何學習信復
[00:01:10.840 --> 00:01:11.880]  有人說
[00:01:11.880 --> 00:01:13.040]  他這樣說
[00:01:13.040 --> 00:01:15.880]  在這個後現代
[00:01:15.880 --> 00:01:18.280]  通常在這個後現代裡面
[00:01:18.280 --> 00:01:19.760]  很多人都會說
[00:01:19.760 --> 00:01:22.640]  很多人都是以自我為中心的
[00:01:22.640 --> 00:01:24.040]  在這個氛圍下
[00:01:24.040 --> 00:01:27.600]  其實要學習信復是很困難的
[00:01:27.600 --> 00:01:30.240]  我不知道你同不同意這個說話
[00:01:30.240 --> 00:01:33.080]  信復通常帶給人一個什麼感覺
[00:01:33.080 --> 00:01:38.080]  就是通常都是說由下要信復在上
[00:01:38.080 --> 00:01:39.960]  要放下自我
[00:01:39.960 --> 00:01:43.160]  要由下而上的態度
[00:01:43.160 --> 00:01:45.240]  在這個年代裡面要學習信復
[00:01:45.240 --> 00:01:47.880]  是不是一件很難的事呢
[00:01:47.880 --> 00:01:50.320]  又或者我們再去問的是
[00:01:50.320 --> 00:01:59.160]  作為基督徒其實應該如何持續不斷堅持著有這個信復呢
[00:01:59.160 --> 00:02:01.720]  今天很想透過《菲律比書》
[00:02:01.720 --> 00:02:04.400]  保羅帶給《菲律比書》的提醒
[00:02:04.400 --> 00:02:07.120]  同樣成為今天我們的提醒
[00:02:07.120 --> 00:02:10.360]  《菲律比書》其實是保羅在監獄裡面
[00:02:10.360 --> 00:02:12.640]  寫給《菲律比教會》的一封信
[00:02:12.640 --> 00:02:16.360]  《菲律比教會》其實是保羅在宣教的旅程裡面
[00:02:16.360 --> 00:02:18.040]  他去宣教的時候
[00:02:18.040 --> 00:02:21.520]  突然由亞洲轉到歐洲戰場
[00:02:21.520 --> 00:02:23.160]  去傳福音的第一站
[00:02:23.160 --> 00:02:26.760]  如果大家有記得《史圖行傳》有一個意象
[00:02:26.760 --> 00:02:28.760]  就是在說馬其頓的呼聲
[00:02:28.760 --> 00:02:31.360]  其實正正在這個轉捩點下
[00:02:31.360 --> 00:02:34.680]  保羅就建立了《菲律比教會》
[00:02:34.680 --> 00:02:37.680]  保羅很想寫這封《菲律比書》
[00:02:37.680 --> 00:02:41.000]  除了帶出一些致謝的說話之外
[00:02:41.000 --> 00:02:45.600]  其實《菲律比書》也是在回應當時《菲律比信徒》的一些處境
[00:02:45.600 --> 00:02:47.720]  他們在面對什麼挑戰呢
[00:02:47.720 --> 00:02:50.080]  他們面對不同宗教的挑戰
[00:02:50.080 --> 00:02:53.560]  特別是對於當時一些猶太的信徒
[00:02:53.560 --> 00:02:55.720]  對於基督徒的衝擊
[00:02:55.720 --> 00:02:58.000]  同樣《菲律比書》也提到一樣東西
[00:02:58.000 --> 00:02:59.560]  一個很重要的主題就是
[00:02:59.560 --> 00:03:03.920]  那幫《菲律比信徒》其實是很同心合意地興旺福音
[00:03:03.920 --> 00:03:05.800]  不過同樣他們教會裡面
[00:03:05.800 --> 00:03:09.080]  仍然要處理很多合一的問題
[00:03:09.080 --> 00:03:11.120]  保羅很想挑戰他們的是
[00:03:11.120 --> 00:03:13.040]  你們要在真道上
[00:03:13.040 --> 00:03:14.920]  在當時的文化上
[00:03:14.920 --> 00:03:17.080]  要去站立德穩
[00:03:17.080 --> 00:03:19.200]  我們先讀一次今天的經文
[00:03:19.200 --> 00:03:21.360]  《菲律比書》的二章14至18節
[00:03:21.360 --> 00:03:22.200]  邀請大家一起讀
[00:03:22.200 --> 00:03:23.600]  準備起
[00:03:23.600 --> 00:03:24.880]  (這樣看來)
[00:03:24.880 --> 00:03:26.880]  (我親愛的大地)
[00:03:26.880 --> 00:03:29.120]  (若非是神復的)
[00:03:29.120 --> 00:03:31.440]  (不難我就離門那裡)
[00:03:31.440 --> 00:03:34.280]  (就是我如今不在離門那裡)
[00:03:34.280 --> 00:03:35.960]  (更是信復的)
[00:03:35.960 --> 00:03:40.360]  (就當恐懼戰經造成德救父)
[00:03:40.360 --> 00:03:42.600]  (因為離門立志行事)
[00:03:42.600 --> 00:03:45.480]  (都是神在離門心裡運行)
[00:03:45.480 --> 00:03:47.880]  (為要成就他的美意)
[00:03:47.880 --> 00:03:51.960]  (犯所行的都不要發怨言起爭論)
[00:03:51.960 --> 00:03:54.240]  (使你們無可指責)
[00:03:54.240 --> 00:03:58.160]  (成就無愧在這萬多年來的世代)
[00:03:58.160 --> 00:04:01.640]  (都不曾有大志的意淚)
[00:04:01.640 --> 00:04:03.200]  (在這世代中)
[00:04:03.200 --> 00:04:05.280]  (好仗明光照耀)
[00:04:05.280 --> 00:04:08.000]  (將生命的道指定出)
[00:04:08.000 --> 00:04:10.000]  (要可在這幾年之間)
[00:04:10.000 --> 00:04:12.000]  (無法控制的恐嚇)
[00:04:12.000 --> 00:04:13.880]  (將對的恐怖)
[00:04:13.880 --> 00:04:15.600]  (可以離門的信心)
[00:04:15.600 --> 00:04:17.520]  (是共鳴的真諾)
[00:04:17.520 --> 00:04:20.040]  (可以是被於現代的真相)
[00:04:20.040 --> 00:04:21.400]  (假使你樂)
[00:04:21.400 --> 00:04:24.640]  (並且你永續能夠同你樂)
[00:04:24.640 --> 00:04:26.840]  (你永遠會永遠起樂)
[00:04:26.840 --> 00:04:28.920]  (並且你永遠能夠同你樂)
[00:04:28.920 --> 00:04:30.440]  我們一起禱告
[00:04:30.440 --> 00:04:31.880]  請主席我們來到面前
[00:04:31.880 --> 00:04:35.000]  願你的話語成為我們生命的亮光
[00:04:35.000 --> 00:04:39.240]  以至我們能夠學習如何在這個世代中
[00:04:39.240 --> 00:04:41.080]  繼續學習信復
[00:04:41.080 --> 00:04:41.960]  主席願你帶領我們
[00:04:41.960 --> 00:04:43.600]  如果我們有一個謙卑的心
[00:04:43.600 --> 00:04:45.000]  能夠令對你話語
[00:04:45.000 --> 00:04:45.680]  最多謝你
[00:04:45.680 --> 00:04:46.360]  祈禱家托
[00:04:46.360 --> 00:04:47.240]  鳳主命求
[00:04:47.240 --> 00:04:53.240]  我們看的經文是二章的中段到後段
[00:04:53.240 --> 00:04:56.440]  其實二章一開始說的是什麼主題呢
