
[00:00:00.000 --> 00:00:08.000]  好,鼎姐妹,早安
[00:00:08.000 --> 00:00:10.000]  早安,很久不見大家
[00:00:10.000 --> 00:00:14.000]  我昨天和高中和大專的鼎姐妹分享
[00:00:14.000 --> 00:00:18.000]  我最近聽得最…
[00:00:18.000 --> 00:00:22.000]  很久沒回來教會,在家裡照顧Bee
[00:00:22.000 --> 00:00:25.000]  聽得最多的已經不是歌聲
[00:00:25.000 --> 00:00:27.000]  而是BB的哭聲
[00:00:27.000 --> 00:00:30.000]  還有我家的貓叫聲
[00:00:30.000 --> 00:00:34.000]  回家後,一進門就聽到BB哭
[00:00:34.000 --> 00:00:36.000]  還有聽到貓叫聲
[00:00:36.000 --> 00:00:39.000]  這陣子很少聽到人唱歌
[00:00:39.000 --> 00:00:41.000]  回來教會都覺得
[00:00:41.000 --> 00:00:44.000]  原來一起敬拜了一件很好的事
[00:00:44.000 --> 00:00:49.000]  所以很想和大家分享這星期回來的體會
[00:00:49.000 --> 00:00:51.000]  今天我分享的訊息
[00:00:51.000 --> 00:00:56.000]  今天的主題是《逆境中的出路》
[00:00:56.000 --> 00:01:00.000]  不知道大家想到逆境時想到甚麼
[00:01:00.000 --> 00:01:05.000]  有人說在香港生活很艱難
[00:01:05.000 --> 00:01:10.000]  我猜面對這兩年在香港有很多不同的轉變
[00:01:10.000 --> 00:01:16.000]  其實我猜身處香港的人都有很多不同的適應
[00:01:16.000 --> 00:01:18.000]  舉個例子,譬如經濟下滑
[00:01:18.000 --> 00:01:20.000]  很多人…
[00:01:20.000 --> 00:01:23.000]  我不知道身邊有沒有朋友都面對這件事
[00:01:23.000 --> 00:01:25.000]  可能都會在經濟上有影響
[00:01:25.000 --> 00:01:29.000]  或者最近我們都面對到
[00:01:29.000 --> 00:01:32.000]  譬如在疫情之後發現
[00:01:32.000 --> 00:01:35.000]  教會對面的張軍寶已經沒有了
[00:01:35.000 --> 00:01:37.000]  已經變成另一間餐廳
[00:01:37.000 --> 00:01:44.000]  你就知道原來這兩年的轉變令我們很多事都不同了
[00:01:44.000 --> 00:01:52.000]  又或者我不知道身邊有沒有同學或朋友都會移民走
[00:01:52.000 --> 00:01:56.000]  我猜這些都帶來我們好像見到
[00:01:56.000 --> 00:02:01.000]  這兩年學校生活有很多不同的轉變
[00:02:01.000 --> 00:02:04.000]  其實都帶給我們很多不同的適應
[00:02:04.000 --> 00:02:06.000]  或者很多不同的壓力
[00:02:06.000 --> 00:02:09.000]  再加上我猜現在應該大家都是考試期
[00:02:09.000 --> 00:02:11.000]  我看到大家的樣子都知道
[00:02:11.000 --> 00:02:14.000]  大家告訴我應該都正在準備考試
[00:02:14.000 --> 00:02:17.000]  或者要瘋狂溫習的狀態
[00:02:17.000 --> 00:02:22.000]  在早一兩個星期我跟阿軍和幾位同工
[00:02:22.000 --> 00:02:24.000]  就進了一間學校
[00:02:24.000 --> 00:02:27.000]  去有一些活動和分享
[00:02:27.000 --> 00:02:30.000]  我們跟學生聊天的時候都發現
[00:02:30.000 --> 00:02:34.000]  原來其實現在大家面對一個最大的困難和壓力
[00:02:34.000 --> 00:02:37.000]  可能都是讀書、成績
[00:02:37.000 --> 00:02:39.000]  可能很多人給你很多期望
[00:02:39.000 --> 00:02:42.000]  或者你要不停去做很多課外活動
[00:02:42.000 --> 00:02:46.000]  其實都可能會帶給我們很多很多不同的壓力
[00:02:46.000 --> 00:02:48.000]  我就問一句
[00:02:48.000 --> 00:02:51.000]  我們回了教會這麼久
[00:02:51.000 --> 00:02:55.000]  經常都說我們逆境裡面要靠主面對
[00:02:55.000 --> 00:02:58.000]  其實是些什麼呢?
[00:02:58.000 --> 00:03:00.000]  是怎麼去面對呢?
[00:03:00.000 --> 00:03:04.000]  今天很想跟大家分享一個人
[00:03:04.000 --> 00:03:07.000]  這個人是什麼人呢?就是耶利米
[00:03:07.000 --> 00:03:10.000]  先說說他的背景
[00:03:10.000 --> 00:03:12.000]  耶利米其實是什麼人呢?
[00:03:12.000 --> 00:03:15.000]  其實他是一個由大國的先知
[00:03:15.000 --> 00:03:17.000]  當時由大國發生什麼事呢?
