
[00:00:00.000 --> 00:00:02.000]  好,Hello 大英姐妹
[00:00:02.000 --> 00:00:04.000]  Hello, 中秋節快樂
[00:00:04.000 --> 00:00:07.000]  Hello, 你有沒有留意一件事
[00:00:07.000 --> 00:00:10.000]  剛才敬拜隊帶我們敬拜的時候
[00:00:10.000 --> 00:00:13.000]  他應節的, 你看到嗎
[00:00:13.000 --> 00:00:16.000]  一個主席在前面, 七個在後面
[00:00:16.000 --> 00:00:18.000]  七星伴月, 是不是
[00:00:18.000 --> 00:00:22.000]  是的, 嚇到哭了, 亂說話
[00:00:22.000 --> 00:00:29.000]  不過不是, 我昨天去吃KFC
[00:00:29.000 --> 00:00:34.000]  買東西的時候, 我聽到那個賣雞的哥哥說
[00:00:34.000 --> 00:00:37.000]  中秋節是一個很無聊的節日
[00:00:37.000 --> 00:00:40.000]  他說, 那個很無聊的節日
[00:00:40.000 --> 00:00:43.000]  那個人掉進海裡了, 為何要慶祝呢
[00:00:43.000 --> 00:00:45.000]  然後他旁邊的姐姐說
[00:00:45.000 --> 00:00:47.000]  那個是端午節
[00:00:47.000 --> 00:00:51.000]  然後他就說, 我買完東西就走
[00:00:51.000 --> 00:00:54.000]  不過我心裏想, 中秋節是什麼節日呢
[00:00:54.000 --> 00:00:57.000]  中秋節應該是, 我想在中國人來說
[00:00:57.000 --> 00:01:03.000]  我們可以跟家人一起相聚, 過節
[00:01:03.000 --> 00:01:05.000]  我想都是中秋節的意思
[00:01:05.000 --> 00:01:07.000]  我想我們可以在中秋節裏面
[00:01:07.000 --> 00:01:09.000]  一起來到神的面前
[00:01:09.000 --> 00:01:12.000]  我們這個家人, 大英姊妹, 天父
[00:01:12.000 --> 00:01:14.000]  這樣一起相聚, 都是一個很開心的事
[00:01:14.000 --> 00:01:17.000]  所以, 跟你旁邊的人說
[00:01:17.000 --> 00:01:19.000]  中秋節快樂
[00:01:24.000 --> 00:01:27.000]  好, 進入今天講到的時間
[00:01:27.000 --> 00:01:30.000]  今年我們的主題叫做
[00:01:30.000 --> 00:01:33.000]  繼續展現上帝的角度
[00:01:33.000 --> 00:01:35.000]  上兩個星期聽馮復思講
[00:01:35.000 --> 00:01:38.000]  知道我們今年要講
[00:01:38.000 --> 00:01:40.000]  上兩個星期是丟臆
[00:01:40.000 --> 00:01:43.000]  就是要成為基督的精兵
[00:01:43.000 --> 00:01:46.000]  上一次Florance講
[00:01:46.000 --> 00:01:48.000]  她提到, 讓我們知道
[00:01:48.000 --> 00:01:50.000]  這個月的月提是什麼呢
[00:01:50.000 --> 00:01:52.000]  要提到, 就是當我們成為基督精兵的時候
[00:01:52.000 --> 00:01:55.000]  要追求真理, 要生命成熟
[00:01:55.000 --> 00:01:57.000]  和為主作功
[00:01:57.000 --> 00:01:59.000]  這個星期想進入的部分
[00:01:59.000 --> 00:02:02.000]  是成熟的生命這個部分
[00:02:02.000 --> 00:02:04.000]  不過, 如果要問我
[00:02:04.000 --> 00:02:06.000]  成熟是什麼呢
