
[00:00:00.000 --> 00:00:08.000]  大英姊妹,很高興再次和大家分享神話語
[00:00:08.000 --> 00:00:12.000]  為什麼我說再次呢?因為五年前我之前都在這裡
[00:00:12.000 --> 00:00:15.000]  所以很久以前在青少年部服侍
[00:00:15.000 --> 00:00:18.000]  然後這次再回來,其實真的有很多感受
[00:00:18.000 --> 00:00:22.000]  我剛才看到敬拜隊、AV Team、Ceci
[00:00:22.000 --> 00:00:24.000]  大家一起很同心、很火熱
[00:00:24.000 --> 00:00:26.000]  我覺得比以前還要成長
[00:00:26.000 --> 00:00:29.000]  所以心裡面真的有很多感受、體會
[00:00:29.000 --> 00:00:32.000]  真的很感謝神,一直帶領青少部
[00:00:32.000 --> 00:00:34.000]  可以繼續成長
[00:00:34.000 --> 00:00:37.000]  說起五年前我在這裡
[00:00:37.000 --> 00:00:40.000]  我很想跟大家分享一件事
[00:00:40.000 --> 00:00:44.000]  五年前我和很多青少年人聊天的時候
[00:00:44.000 --> 00:00:46.000]  我發現了一件事
[00:00:46.000 --> 00:00:51.000]  很多青少年人生命裡都會有一個很慘的經歷
[00:00:51.000 --> 00:00:52.000]  很多人都有
[00:00:52.000 --> 00:00:54.000]  我問他,你也有?
[00:00:54.000 --> 00:00:55.000]  然後問他,他也有?
[00:00:55.000 --> 00:00:58.000]  很慘,好像集體回憶
[00:00:58.000 --> 00:01:00.000]  不知道大家能不能猜到那種慘的事是什麼
[00:01:00.000 --> 00:01:02.000]  就是很大傷害
[00:01:02.000 --> 00:01:05.000]  但是幼稚園小學的時候發生
[00:01:05.000 --> 00:01:07.000]  大學的時候還記得
[00:01:07.000 --> 00:01:09.000]  不知道大家能不能猜到是什麼
[00:01:09.000 --> 00:01:11.000]  就是排斥
[00:01:11.000 --> 00:01:14.000]  大家生命裡有沒有經歷過被排斥?
[00:01:14.000 --> 00:01:15.000]  有沒有?
[00:01:15.000 --> 00:01:18.000]  輕輕地舉手、點頭
[00:01:18.000 --> 00:01:21.000]  有沒有?沒有?這麼厲害?
[00:01:21.000 --> 00:01:27.000]  排斥,我覺得排斥是人生裡其中一些很慘的事
[00:01:27.000 --> 00:01:30.000]  我很想跟那些人玩
[00:01:30.000 --> 00:01:32.000]  他們跟那些人玩,但是他們不肯接受我玩
[00:01:32.000 --> 00:01:35.000]  我就唯有坐著看著他們玩,自己不能玩
[00:01:35.000 --> 00:01:36.000]  這些叫什麼?
[00:01:36.000 --> 00:01:38.000]  這些叫無限孤單感被遺棄感
[00:01:38.000 --> 00:01:40.000]  所以我覺得排斥真的很慘
[00:01:40.000 --> 00:01:43.000]  不知道大家生命裡有沒有經歷過排斥?
[00:01:43.000 --> 00:01:44.000]  我小時候有
[00:01:44.000 --> 00:01:47.000]  我小時候經歷過四、五、六、七次
[00:01:47.000 --> 00:01:48.000]  排斥真的很慘
[00:01:48.000 --> 00:01:51.000]  不過我很想跟大家分享一個經歷
[00:01:51.000 --> 00:01:54.000]  那個經歷被排斥,但是很有趣
