
[00:00:00.000 --> 00:00:02.000]  好 鄭妹 午安
[00:00:02.000 --> 00:00:04.000]  多謝清宵部的同工
[00:00:04.000 --> 00:00:08.000]  有機會在當中和大家一起分享差傳的訊息
[00:00:08.000 --> 00:00:10.000]  在開始講道士先
[00:00:10.000 --> 00:00:13.000]  我很想大家一起也有一起祈禱的時間
[00:00:13.000 --> 00:00:16.000]  仰望神的恩典和說話淋到中間
[00:00:16.000 --> 00:00:18.000]  天父願意你在我們中間
[00:00:18.000 --> 00:00:21.000]  聽我們在裡面向你的敬拜
[00:00:21.000 --> 00:00:22.000]  向你的讚美
[00:00:22.000 --> 00:00:26.000]  願意你同樣都祝福我們以下時間
[00:00:26.000 --> 00:00:27.000]  透過你的說話
[00:00:27.000 --> 00:00:30.000]  讓我們在生命裡面提醒
[00:00:30.000 --> 00:00:32.000]  以致我們更懂得如何活在你的道裡面
[00:00:32.000 --> 00:00:35.000]  更能夠活出你給我們的教導
[00:00:35.000 --> 00:00:37.000]  求主親自幫助
[00:00:37.000 --> 00:00:38.000]  多謝你聽我們討告
[00:00:38.000 --> 00:00:39.000]  以上討告奉主命求
[00:00:39.000 --> 00:00:40.000]  阿門
[00:00:40.000 --> 00:00:42.000]  前陣子有一套電影
[00:00:42.000 --> 00:00:45.000]  叫做《1917 逆戰救兵》
[00:00:45.000 --> 00:00:47.000]  不知道大家有沒有看過呢
[00:00:47.000 --> 00:00:51.000]  其實是一套真人真事改編的電影
[00:00:51.000 --> 00:00:54.000]  故事發生在第二次世界大戰
[00:00:54.000 --> 00:00:56.000]  發覺某一個戰場裡面
[00:00:56.000 --> 00:00:58.000]  某一天有兩個士兵奉命
[00:00:58.000 --> 00:01:00.000]  要將一個情報
[00:01:00.000 --> 00:01:03.000]  要傳送到前方一個戰士裡面
[00:01:03.000 --> 00:01:06.000]  當時因為知道在前線
[00:01:06.000 --> 00:01:08.000]  德軍已經埋伏了
[00:01:08.000 --> 00:01:10.000]  打算要去追殺他們
[00:01:10.000 --> 00:01:13.000]  甚至點在當中去打他們
[00:01:13.000 --> 00:01:15.000]  所以有這兩個士兵
[00:01:15.000 --> 00:01:19.000]  要在當中將情報帶到戰場前方
[00:01:19.000 --> 00:01:23.000]  以致能夠阻止前方的攻擊
[00:01:23.000 --> 00:01:28.000]  阻止前線的士兵繼續前進
[00:01:28.000 --> 00:01:30.000]  所以在整個過程裡面
[00:01:30.000 --> 00:01:33.000]  要將這個信息傳到前方的時候
[00:01:33.000 --> 00:01:36.000]  經過很多重重的困難
[00:01:36.000 --> 00:01:39.000]  其中一個士兵叫做布雷克
[00:01:39.000 --> 00:01:41.000]  他收到這個情報之後
[00:01:41.000 --> 00:01:43.000]  其實他很積極希望能夠盡快
[00:01:43.000 --> 00:01:46.000]  將這個情報傳送到前方
[00:01:46.000 --> 00:01:49.000]  因為他的哥哥也在前方裡面
[00:01:49.000 --> 00:01:52.000]  參加緊這場戰役
[00:01:52.000 --> 00:01:55.000]  但是另外一個士兵叫做史高飛
[00:01:55.000 --> 00:01:57.000]  卻不是那麼積極
[00:01:57.000 --> 00:02:00.000]  反而是比較慢一點
[00:02:00.000 --> 00:02:03.000]  沒有那麼積極好像他的同伴一樣
[00:02:03.000 --> 00:02:07.000]  但是他們兩個人仍然在當中前行
[00:02:07.000 --> 00:02:11.000]  很想能夠繼續將這個信息帶到前方裡面
[00:02:11.000 --> 00:02:13.000]  但很可惜的是
[00:02:13.000 --> 00:02:16.000]  他們到了一半的路程當中的時候
[00:02:16.000 --> 00:02:20.000]  其中一位士兵史高飛
[00:02:20.000 --> 00:02:22.000]  布雷克被殺
[00:02:22.000 --> 00:02:27.000]  他面對當中一個被殺了
[00:02:27.000 --> 00:02:32.000]  但是史高飛就繼續獨自去行程
[00:02:32.000 --> 00:02:34.000]  但是他心境改變了
[00:02:34.000 --> 00:02:36.000]  因為面對他的同胞
[00:02:36.000 --> 00:02:37.000]  他的同伴已經被殺
[00:02:37.000 --> 00:02:42.000]  他知道更加需要積極將這個信息帶到前方裡面
[00:02:42.000 --> 00:02:44.000]  所以他奮不顧身
[00:02:44.000 --> 00:02:46.000]  穿越了很多不同的困難
[00:02:46.000 --> 00:02:47.000]  身分別妙
[00:02:47.000 --> 00:02:51.000]  很希望能夠盡快將這個信息帶到前方
