
[00:00:00.000 --> 00:00:01.240]  早安 第幾節會
[00:00:01.240 --> 00:00:03.240]  我不知道剛才你的敬拜如何
[00:00:03.240 --> 00:00:06.920]  剛才主席Thomas的祈禱
[00:00:06.920 --> 00:00:09.560]  他說因為耶穌基督的救恩
[00:00:09.560 --> 00:00:11.560]  改變了我們的生命
[00:00:11.560 --> 00:00:12.440]  也是的
[00:00:12.440 --> 00:00:14.360]  如果不是耶穌
[00:00:14.360 --> 00:00:16.240]  今天你會在哪
[00:00:16.240 --> 00:00:17.200]  我都在想自己
[00:00:17.200 --> 00:00:18.080]  今天我會在哪
[00:00:18.080 --> 00:00:20.080]  一定不是在這裡
[00:00:20.080 --> 00:00:21.480]  應該還沒起床
[00:00:21.480 --> 00:00:23.840]  因為昨天已經玩到很晚了
[00:00:23.840 --> 00:00:25.360]  今天應該還在睡覺
[00:00:25.360 --> 00:00:26.800]  這個時間應該還在睡覺
[00:00:26.800 --> 00:00:28.720]  但是正正因為
[00:00:28.960 --> 00:00:30.560]  耶穌基督改變了我們的生命
[00:00:30.560 --> 00:00:32.680]  所以我們今天選擇回到這裡
[00:00:32.680 --> 00:00:34.680]  去崇拜 去敬拜祂
[00:00:34.680 --> 00:00:37.120]  所以你們真的很好
[00:00:37.120 --> 00:00:38.560]  你跟鄰居說
[00:00:38.560 --> 00:00:40.560]  你真的很愛主
[00:00:40.560 --> 00:00:44.040]  你們真好
[00:00:44.040 --> 00:00:45.840]  你真的跟鄰居說
[00:00:45.840 --> 00:00:46.960]  很好
[00:00:46.960 --> 00:00:49.360]  你們真的很愛主
[00:00:49.360 --> 00:00:49.920]  是不是
[00:00:49.920 --> 00:00:51.280]  早上9點
[00:00:51.280 --> 00:00:53.040]  還要昨天是聖誕節
[00:00:53.040 --> 00:00:54.400]  20歲又平安夜
[00:00:54.400 --> 00:00:55.880]  應該玩到傻了
[00:00:55.880 --> 00:00:58.520]  你們今天還回來敬拜上帝
[00:00:58.600 --> 00:00:59.280]  很好
[00:00:59.280 --> 00:01:00.160]  是不是
[00:01:00.160 --> 00:01:01.040]  打遊戲當然了
[00:01:01.040 --> 00:01:03.640]  放假馬當然要打遊戲
[00:01:03.640 --> 00:01:04.520]  很正常的
[00:01:04.520 --> 00:01:05.440]  好
[00:01:05.440 --> 00:01:07.840]  今天我又說到
[00:01:07.840 --> 00:01:10.160]  我的題目叫做我的信
[00:01:10.160 --> 00:01:11.280]  信是什麼呢
[00:01:11.280 --> 00:01:11.720]  好
[00:01:11.720 --> 00:01:13.240]  我想問問大家
[00:01:13.240 --> 00:01:14.800]  大家有沒有補習的
[00:01:14.800 --> 00:01:16.160]  有補習的可以舉手嗎
[00:01:16.160 --> 00:01:17.240]  有補習的
[00:01:17.240 --> 00:01:20.160]  我以為阿君也舉手
[00:01:20.160 --> 00:01:22.200]  原來是剝頭髮
[00:01:22.200 --> 00:01:23.640]  阿君也有補習
[00:01:23.640 --> 00:01:24.280]  也有
[00:01:24.280 --> 00:01:25.400]  有人補習 是不是
[00:01:25.400 --> 00:01:27.040]  你們怎樣選擇補習社
[00:01:27.040 --> 00:01:28.440]  選擇補習老師
[00:01:29.000 --> 00:01:29.960]  怎樣選擇
[00:01:29.960 --> 00:01:32.360]  是否看這些廣告就選擇
[00:01:32.360 --> 00:01:33.080]  是的
[00:01:33.080 --> 00:01:35.120]  根據心意
[00:01:35.120 --> 00:01:36.520]  我猜測吧
[00:01:36.520 --> 00:01:37.960]  我又沒有子女
[00:01:37.960 --> 00:01:38.720]  我不知道
[00:01:38.720 --> 00:01:40.200]  但我猜測 聽回來了
[00:01:40.200 --> 00:01:43.360]  通常都是父母幫你選擇
[00:01:43.360 --> 00:01:43.760]  是不是
[00:01:43.760 --> 00:01:45.640]  你補習老師或補習學校
[00:01:45.640 --> 00:01:46.480]  怎樣選擇
[00:01:46.480 --> 00:01:49.280]  有些可能是看這些廣告
[00:01:49.280 --> 00:01:49.720]  是不是
[00:01:49.720 --> 00:01:50.640]  多少名師
[00:01:50.640 --> 00:01:51.640]  拿多少AE
[00:01:51.640 --> 00:01:52.880]  五星星
[00:01:52.880 --> 00:01:54.760]  父母覺得好
[00:01:54.760 --> 00:01:55.800]  那個補習老師
[00:01:55.800 --> 00:01:56.480]  是不是
[00:01:56.480 --> 00:01:58.160]  就會介紹你
[00:01:58.160 --> 00:01:59.960]  然後叫你去補習
[00:01:59.960 --> 00:02:01.120]  又或者
[00:02:01.120 --> 00:02:04.160]  有些人曾經補過
[00:02:04.160 --> 00:02:06.160]  這個人補得很好
