
[00:00:00.000 --> 00:00:05.000]  大家好,很高興一星期又見到大家
[00:00:05.000 --> 00:00:09.000]  剛剛多謝敬拜隊跟我們有師哥分享的時間
[00:00:09.000 --> 00:00:12.000]  我想透過剛剛的師哥讓我再一次體會
[00:00:12.000 --> 00:00:15.000]  其實我們每個星期回來教會當中
[00:00:15.000 --> 00:00:19.000]  神的家裡面,因為神很配得我們去敬拜
[00:00:19.000 --> 00:00:21.000]  同時他也很愛我們的主
[00:00:21.000 --> 00:00:24.000]  他很想透過他的話語讓我們明白
[00:00:24.000 --> 00:00:26.000]  究竟我們在這個世界、這個世代
[00:00:26.000 --> 00:00:30.000]  如何經歷上帝的真實和同在
[00:00:30.000 --> 00:00:37.000]  今年9月份,青少報已經開了新年度主題
[00:00:37.000 --> 00:00:40.000]  大家記得新年度主題是甚麼嗎?
[00:00:40.000 --> 00:00:43.000]  是靜了東西
[00:00:43.000 --> 00:00:46.000]  又說一次,新年度主題是
[00:00:46.000 --> 00:00:49.000]  "Transform our lives, glowing for Christ"
[00:00:49.000 --> 00:00:53.000]  即是轉化生命,到為主發光
[00:00:53.000 --> 00:00:58.000]  我想剛剛上兩個星期,大家都聽到凌峰、阿君講道
[00:00:58.000 --> 00:01:02.000]  他們都選了一個,每個人的童工都會在講道中
[00:01:02.000 --> 00:01:05.000]  選一個聖經的人物,透過他們的生命
[00:01:05.000 --> 00:01:10.000]  去看對於我們現在的我們有甚麼提醒或學習
[00:01:10.000 --> 00:01:16.000]  今天我很想跟大家去看一看約瑟的生命故事
[00:01:16.000 --> 00:01:22.000]  今天的經文記載在創世紀39章1至23節
[00:01:22.000 --> 00:01:26.000]  不如我們一起讀讀以下23節的經文
[00:01:26.000 --> 00:01:28.000]  我們預備
[00:01:28.000 --> 00:01:30.000]  咦?等等
[00:01:30.000 --> 00:01:33.000]  因為沒有反應
[00:01:33.000 --> 00:01:36.000]  可以下一頁嗎?
[00:01:36.000 --> 00:01:42.000]  好,等一下
[00:01:42.000 --> 00:01:44.000]  可以了
[00:01:44.000 --> 00:02:00.000]  不要緊
[00:02:10.000 --> 00:02:15.000]  不要緊,讓AV Team去處理
[00:02:15.000 --> 00:02:17.000]  不如大家聽我讀一次
[00:02:17.000 --> 00:02:20.000]  如果大家手上有手機
[00:02:20.000 --> 00:02:22.000]  已經開始出來了
[00:02:22.000 --> 00:02:25.000]  我們一起讀讀以下23節的經文
[00:02:25.000 --> 00:02:27.000]  我們預備
[00:02:27.000 --> 00:02:30.000]  "若瑟被大廈埃及去
[00:02:30.000 --> 00:02:34.000]  有一個埃及人士,法老的內臣
[00:02:34.000 --> 00:02:42.000]  護衛長波提佛從那些大廈他來的以實瑪利人手下買了他去
[00:02:42.000 --> 00:02:47.000]  若瑟住在他主人埃及人的家中
[00:02:47.000 --> 00:02:51.000]  耶和華與他同在,他就百事順利
[00:02:51.000 --> 00:02:55.000]  他主人見耶和華與他同在
[00:02:55.000 --> 00:03:00.000]  又見耶和華使他手裡所辦的盡都順利
[00:03:00.000 --> 00:03:03.000]  若瑟就在主人眼前蒙恩
[00:03:03.000 --> 00:03:08.000]  自後他主人,並且主人派他管理家務
[00:03:08.000 --> 00:03:12.000]  把一切所有的都交在他手裡
[00:03:12.000 --> 00:03:18.000]  自從主人派若瑟管理家務和他一切所有的
[00:03:18.000 --> 00:03:21.000]  耶和華就因若瑟的緣故
[00:03:21.000 --> 00:03:24.000]  賜福與那埃及的證券
[00:03:24.000 --> 00:03:35.000]  (音樂)
[00:03:35.000 --> 00:03:40.000]  除了自己所吃的飯,別的事一概不知
[00:03:40.000 --> 00:03:44.000]  若瑟原來瘦雅盡美
[00:03:44.000 --> 00:03:50.000]  這事以後,若瑟主人的妻以木送情給若瑟
[00:03:50.000 --> 00:03:55.000]  說:你與我同枕霸,若瑟不從
[00:03:55.000 --> 00:03:59.000]  對他主人的妻說:康娜,一世家務
[00:03:59.000 --> 00:04:01.000]  我主人都不知道
[00:04:01.000 --> 00:04:05.000]  他把所有的都交在我手裡
[00:04:05.000 --> 00:04:08.000]  在這家裡沒有比我大的
[00:04:08.000 --> 00:04:12.000]  並且他沒有留下一樣不交給我
[00:04:12.000 --> 00:04:17.000]  只留下了你,因為你是他的妻子
[00:04:17.000 --> 00:04:21.000]  我怎能作者大惡,得罪神呢?
[00:04:21.000 --> 00:04:24.000]  後來,他天天和若瑟說
[00:04:24.000 --> 00:04:28.000]  若瑟卻不聽從他,不與他同枕
[00:04:28.000 --> 00:04:31.000]  也不和他在一起
[00:04:31.000 --> 00:04:34.000]  有一天,若瑟進屋裡去辦事
[00:04:34.000 --> 00:04:38.000]  家中人沒有一個在那屋裡
[00:04:38.000 --> 00:04:43.000]  婦人就拉著他的衣裳說:你與我同枕霸
[00:04:43.000 --> 00:04:47.000]  若瑟把衣裳丟在婦人手裡
[00:04:47.000 --> 00:04:50.000]  跑到外邊去了
[00:04:50.000 --> 00:04:57.000]  婦人看見若瑟把衣裳丟在他手裡
[00:04:57.000 --> 00:05:01.000]  跑出去了,就叫了家裡的人來
[00:05:01.000 --> 00:05:03.000]  對他們說:你們看
[00:05:03.000 --> 00:05:08.000]  他帶了一個稀白來人進入我們家裡
[00:05:08.000 --> 00:05:12.000]  要戲弄我們,他到我們這裡來
[00:05:12.000 --> 00:05:16.000]  我和枕霸大聲喊叫
[00:05:16.000 --> 00:05:19.000]  他聽見我放聲喊起來
[00:05:19.000 --> 00:05:22.000]  就把衣裳丟在我這裡
[00:05:22.000 --> 00:05:24.000]  跑到外邊去了
[00:05:24.000 --> 00:05:28.000]  婦人把若瑟的衣裳放在自己那裡
[00:05:28.000 --> 00:05:31.000]  等著他主人回家
[00:05:31.000 --> 00:05:36.000]  就對他如此如此說:你所帶到我們這裡的
[00:05:36.000 --> 00:05:40.000]  那稀白來僕人進來要戲弄我
[00:05:40.000 --> 00:05:42.000]  我放聲喊起來
[00:05:42.000 --> 00:05:45.000]  他就把衣裳丟在我這裡
[00:05:45.000 --> 00:05:47.000]  跑出去了
[00:05:47.000 --> 00:05:52.000]  若瑟的主人聽見他妻子對他所說的話
[00:05:52.000 --> 00:05:56.000]  說:你的僕人如此如此待我
[00:05:56.000 --> 00:06:00.000]  他就生氣,把若瑟下在監裡
[00:06:00.000 --> 00:06:03.000]  就是黃的囚犯被囚的地方
[00:06:03.000 --> 00:06:06.000]  於是若瑟在那裡坐牢
[00:06:06.000 --> 00:06:11.000]  但耶和華與若瑟同在,向他施恩
[00:06:11.000 --> 00:06:14.000]  使他在施肉的眼前蒙恩
[00:06:14.000 --> 00:06:17.000]  施肉就把監裡所有的囚犯
[00:06:17.000 --> 00:06:20.000]  都交在若瑟的手下
[00:06:20.000 --> 00:06:22.000]  他們在那裡所辦的事
[00:06:22.000 --> 00:06:24.000]  都是經他的手
[00:06:24.000 --> 00:06:27.000]  凡在若瑟手下的事
[00:06:27.000 --> 00:06:29.000]  施肉一概不殺
[00:06:29.000 --> 00:06:32.000]  因為耶和華與若瑟同在
[00:06:32.000 --> 00:06:35.000]  耶和華使他所做的盡都順利
[00:06:35.000 --> 00:06:37.000]  我們先有個禱告
