
[00:00:00.000 --> 00:00:05.000]  好,感謝敬拜隊帶我們敬拜
[00:00:05.000 --> 00:00:08.000]  當中有一句很流行的說法
[00:00:08.000 --> 00:00:12.000]  其實是說我們要回到神的內裡
[00:00:12.000 --> 00:00:14.000]  我們要放手回到神的內裡
[00:00:14.000 --> 00:00:16.000]  然後我們的靈會著約歡呼
[00:00:16.000 --> 00:00:18.000]  不知道大卿姐妹你有沒有試過
[00:00:18.000 --> 00:00:20.000]  有些位置你會覺得很困難
[00:00:20.000 --> 00:00:22.000]  回到神的內裡可能會很困難
[00:00:22.000 --> 00:00:25.000]  有些位置你會覺得很怕神
[00:00:25.000 --> 00:00:28.000]  或者你會覺得處於埋怨的內裡
[00:00:28.000 --> 00:00:30.000]  這首歌或者整個敬拜
[00:00:30.000 --> 00:00:33.000]  其實好像在呼喚我們回到神
[00:00:33.000 --> 00:00:36.000]  神是我們的保障、我們的依靠、我們的盤石
[00:00:36.000 --> 00:00:38.000]  其實正正我們回到神
[00:00:38.000 --> 00:00:42.000]  我們生命裡我們的靈會著約歡呼、喜樂
[00:00:42.000 --> 00:00:47.000]  很盼望大家生命裡可以體會到這一點
[00:00:47.000 --> 00:00:52.000]  回到神的內裡是很幸福、很喜樂的一件事
[00:00:52.000 --> 00:00:55.000]  也正正就是神是那麼好
[00:00:55.000 --> 00:00:58.000]  我們回到神是那麼喜樂的一件事
[00:00:58.000 --> 00:01:01.000]  我們生命裡帶著一個使命
[00:01:01.000 --> 00:01:03.000]  就是要去傳福音
[00:01:03.000 --> 00:01:06.000]  整個今年的年度主題
[00:01:06.000 --> 00:01:09.000]  要展現上帝國度,贏得同代人
[00:01:09.000 --> 00:01:11.000]  也正正就是在說我們生命裡
[00:01:11.000 --> 00:01:15.000]  要把這個那麼好的信息帶到其他人的生命裡
[00:01:15.000 --> 00:01:18.000]  以至到人可以體會到喜樂
[00:01:18.000 --> 00:01:21.000]  這麼快,已經八月了
[00:01:21.000 --> 00:01:23.000]  這個年度主題就完了
[00:01:23.000 --> 00:01:27.000]  很想做一個總結回顧
