
[00:00:00.000 --> 00:00:02.000]  頂展會評価
[00:00:02.000 --> 00:00:05.600]  可否借大家掌聲給我們今天的敬拜隊
[00:00:05.600 --> 00:00:07.600]  Cece、AV Team
[00:00:07.600 --> 00:00:11.400]  確實他們過去一個月有很多不同的預備
[00:00:11.400 --> 00:00:14.200]  無論預備詩歌、預備不同的安排
[00:00:14.200 --> 00:00:17.800]  確實他們真的很盡心地去付出
[00:00:17.800 --> 00:00:23.000]  敬拜隊帶領我們透過詩歌來到神面前一起去敬拜他
[00:00:23.000 --> 00:00:24.400]  先介紹一下我自己
[00:00:24.400 --> 00:00:26.400]  可能大家未必見過我
[00:00:26.400 --> 00:00:28.400]  我是凌風傳道
[00:00:28.400 --> 00:00:31.200]  我是青少報的其中一個傳道人
[00:00:31.200 --> 00:00:32.800]  今天是青少主日
[00:00:32.800 --> 00:00:36.000]  很想透過今天讓整個恩福家
[00:00:36.000 --> 00:00:38.400]  同樣認識青少報
[00:00:38.400 --> 00:00:41.000]  以及視乎現在年輕人的需要
[00:00:41.000 --> 00:00:42.800]  同樣我想今天晚上
[00:00:42.800 --> 00:00:47.000]  都藉著神的話語對我們的生命說話
[00:00:47.000 --> 00:00:50.000]  每年青少報都會有一個連題
[00:00:50.000 --> 00:00:52.000]  今年的青少報主題就是
[00:00:52.000 --> 00:00:54.000]  Glorify God, Fight for Jesus
[00:00:54.000 --> 00:00:56.400]  中文是展於上帝的國
[00:00:56.400 --> 00:00:58.400]  希望成為基督的精兵
[00:00:58.400 --> 00:01:02.400]  大家剛才在地下走上一樓的時候
[00:01:02.400 --> 00:01:05.200]  我不知道大家有沒有進入軍營的感覺
[00:01:05.200 --> 00:01:09.000]  有很多軍旗、很多不同的佈置
[00:01:09.000 --> 00:01:13.600]  其實今年的主題很想盼望青少報的年輕人
[00:01:13.600 --> 00:01:17.000]  希望在今年在宿靈上多點操練自己
[00:01:17.000 --> 00:01:19.400]  同樣讓他們在這個世代
[00:01:19.400 --> 00:01:22.000]  希望為主打一場宿靈的仗
[00:01:22.000 --> 00:01:25.400]  希望他們能夠為主做鹽做光
[00:01:26.400 --> 00:01:28.600]  年輕人在他們的成長上
[00:01:28.600 --> 00:01:33.400]  在過去可能都面對著很多不同的生命挑戰
[00:01:33.400 --> 00:01:35.000]  青少年在這個過程中
[00:01:35.000 --> 00:01:37.800]  是在尋找自我的過程
[00:01:37.800 --> 00:01:41.400]  他們當中面對著很多不同的掙扎
[00:01:41.400 --> 00:01:44.600]  無論在文化上或者信仰上
[00:01:44.600 --> 00:01:47.400]  其實他們都面對著很多不同的衝擊
[00:01:47.400 --> 00:01:48.600]  可能他們從小到大
[00:01:48.600 --> 00:01:51.400]  他們聽的是信仰這樣教導我們
[00:01:51.400 --> 00:01:55.800]  但當他們上YouTube看很多不同的KOL的分享
[00:01:55.800 --> 00:01:57.600]  又或者他們看Netflix的時候
[00:01:57.600 --> 00:01:59.200]  看到很多不同的劇集
[00:01:59.200 --> 00:02:01.400]  可能都講了很多不同文化
[00:02:01.400 --> 00:02:03.600]  以及不同價值觀的事情
[00:02:03.600 --> 00:02:05.000]  年輕人在這個過程中
[00:02:05.000 --> 00:02:06.800]  他們需要學習去分辨
[00:02:06.800 --> 00:02:09.600]  以及學習如何去選擇
[00:02:09.600 --> 00:02:11.800]  我想同樣對於我們這幾年來講
[00:02:11.800 --> 00:02:14.600]  其實我們社會上有很多大大小小的衝擊
[00:02:14.600 --> 00:02:16.400]  我想不只年輕人
[00:02:16.400 --> 00:02:17.800]  其實對於我們來說
[00:02:17.800 --> 00:02:21.600]  我們的生命同樣面對著很多挑戰
[00:02:21.600 --> 00:02:23.600]  這些挑戰、這些衝擊
[00:02:23.600 --> 00:02:25.800]  同樣都影響著我們的生命
[00:02:25.800 --> 00:02:29.400]  甚至影響著我們的人生觀或者價值觀
[00:02:29.400 --> 00:02:30.600]  舉個例子
[00:02:30.600 --> 00:02:32.800]  移民潮帶給我們的是什麼呢?
[00:02:32.800 --> 00:02:35.400]  關係原來可以變得很不穩陣
[00:02:35.400 --> 00:02:37.600]  你的朋友下個星期可能會告訴你
