
[00:00:00.000 --> 00:00:02.000]  各位大英姐妹 早晨
[00:00:02.000 --> 00:00:04.000]  大家好
[00:00:04.000 --> 00:00:08.000]  很開心今天又再一次回來青少部大家庭
[00:00:08.000 --> 00:00:10.000]  一起見面
[00:00:10.000 --> 00:00:12.000]  除了分享訊息之外
[00:00:12.000 --> 00:00:14.000]  就可以見面
[00:00:14.000 --> 00:00:16.000]  早晨
[00:00:16.000 --> 00:00:18.000]  我先介紹一下自己 可能有些人不認識我
[00:00:18.000 --> 00:00:20.000]  我是陳佩皓傳道
[00:00:20.000 --> 00:00:24.000]  現在在兒童部服侍
[00:00:24.000 --> 00:00:26.000]  過往都是在青少部
[00:00:26.000 --> 00:00:28.000]  大家有些認識我
[00:00:28.000 --> 00:00:30.000]  可能是中一的那些
[00:00:30.000 --> 00:00:32.000]  先問一下 誰是中一的呢
[00:00:32.000 --> 00:00:34.000]  嘩 騙舖禮堂
[00:00:34.000 --> 00:00:36.000]  其他就是中二中三的
[00:00:36.000 --> 00:00:38.000]  應該是這樣
[00:00:38.000 --> 00:00:40.000]  因為是初中純白
[00:00:40.000 --> 00:00:42.000]  我是怎樣呢
[00:00:42.000 --> 00:00:44.000]  多謝青少部
[00:00:44.000 --> 00:00:46.000]  通常有兩個月的時間
[00:00:46.000 --> 00:00:48.000]  有一次回來跟大家分享
[00:00:48.000 --> 00:00:50.000]  好像說回來分享訊息
[00:00:50.000 --> 00:00:52.000]  其實我覺得每次回來青少部
[00:00:52.000 --> 00:00:54.000]  一說再說
[00:00:54.000 --> 00:00:58.000]  很有感情
[00:00:58.000 --> 00:01:00.000]  所以那種心情是怎樣形容呢
[00:01:00.000 --> 00:01:02.000]  見到一些好受好命的道師
[00:01:02.000 --> 00:01:04.000]  組員 傳道人
[00:01:04.000 --> 00:01:06.000]  我覺得這個都是
[00:01:06.000 --> 00:01:08.000]  在家
[00:01:08.000 --> 00:01:10.000]  在家庭
[00:01:10.000 --> 00:01:12.000]  在教會裏面
[00:01:12.000 --> 00:01:14.000]  是一份情
[00:01:14.000 --> 00:01:16.000]  我覺得
[00:01:16.000 --> 00:01:18.000]  多謝神
[00:01:18.000 --> 00:01:20.000]  大家都要多謝神
[00:01:20.000 --> 00:01:22.000]  因為我覺得逢星期日
[00:01:22.000 --> 00:01:24.000]  以前疫情的時候
[00:01:24.000 --> 00:01:26.000]  zoom
[00:01:26.000 --> 00:01:28.000]  有些困難
[00:01:28.000 --> 00:01:30.000]  但是現在星期日我們回來
[00:01:30.000 --> 00:01:32.000]  見到面
[00:01:32.000 --> 00:01:34.000]  我覺得是要珍惜這份情意
[00:01:34.000 --> 00:01:36.000]  雖然你說有半小時在聽訊息
[00:01:36.000 --> 00:01:38.000]  不過完了之後
[00:01:38.000 --> 00:01:40.000]  大家又小組
[00:01:40.000 --> 00:01:42.000]  通常我都知道小組的狀況
[00:01:42.000 --> 00:01:44.000]  手機放在桌上
[00:01:44.000 --> 00:01:46.000]  然後大家又
[00:01:46.000 --> 00:01:48.000]  道師就很艱辛的問問題
[00:01:48.000 --> 00:01:50.000]  那些組員
[00:01:50.000 --> 00:01:52.000]  又很艱辛的回應問題
[00:01:52.000 --> 00:01:54.000]  到最後完的時候
[00:01:54.000 --> 00:01:56.000]  都是很艱辛祈禱
[00:01:56.000 --> 00:01:58.000]  走的時候都是很艱辛的
[00:01:58.000 --> 00:02:00.000]  但是我覺得不是這樣的
[00:02:00.000 --> 00:02:02.000]  那我都說說是不是這樣的
[00:02:02.000 --> 00:02:04.000]  就是
[00:02:04.000 --> 00:02:06.000]  回來應該是
