
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹,新年快樂
[00:00:03.000 --> 00:00:05.000]  如果你錯過了剛才阿君那句話
[00:00:05.000 --> 00:00:08.000]  現在可以再聽一次
[00:00:08.000 --> 00:00:11.000]  如果你錯過了這句話,就應該沒有了
[00:00:11.000 --> 00:00:13.000]  新年快樂,弟兄姊妹
[00:00:13.000 --> 00:00:15.000]  這樣才有珍貴
[00:00:15.000 --> 00:00:16.000]  等一下
[00:00:16.000 --> 00:00:26.000]  弟兄姊妹,我不知道剛才阿君大敬拜的時候
[00:00:26.000 --> 00:00:30.000]  你作了什麼祈禱,作了什麼立志
[00:00:30.000 --> 00:00:32.000]  很鼓勵你
[00:00:32.000 --> 00:00:35.000]  我覺得很特別,剛才阿君這樣問的時候
[00:00:35.000 --> 00:00:36.000]  我真的很認真去想
[00:00:36.000 --> 00:00:39.000]  究竟我新一年想怎樣呢
[00:00:39.000 --> 00:00:43.000]  過了一年好像很多計劃的東西都沒有了
[00:00:43.000 --> 00:00:46.000]  但是新的一年我想有什麼不同呢
[00:00:46.000 --> 00:00:48.000]  想有什麼方向呢
[00:00:48.000 --> 00:00:50.000]  第一句鼓勵你
[00:00:50.000 --> 00:00:52.000]  我覺得當進入寒冬
[00:00:52.000 --> 00:00:54.000]  當進入天氣冷的時候
[00:00:54.000 --> 00:00:57.000]  我們的腦好像也不想動
[00:00:57.000 --> 00:01:00.000]  但是我覺得剛才阿君這樣問的時候
[00:01:00.000 --> 00:01:01.000]  我一聲叮
[00:01:01.000 --> 00:01:02.000]  我又再想一下
[00:01:02.000 --> 00:01:04.000]  究竟新的一年有什麼我想去做呢
[00:01:04.000 --> 00:01:06.000]  有什麼想為上帝去做呢
[00:01:06.000 --> 00:01:08.000]  同樣都鼓勵你
[00:01:08.000 --> 00:01:09.000]  都可以試試去想想
[00:01:09.000 --> 00:01:11.000]  都可以試試去發掘一下
[00:01:11.000 --> 00:01:14.000]  趁現在還有一些假期的時間
[00:01:14.000 --> 00:01:15.000]  就可以一起去想想
