
[00:00:00.000 --> 00:00:05.000]  喂喂喂,終於有聲了
[00:00:05.000 --> 00:00:07.000]  可否給點掌聲敬拜隊
[00:00:07.000 --> 00:00:12.000]  剛才敬拜隊主席說
[00:00:12.000 --> 00:00:15.000]  說是焦點
[00:00:15.000 --> 00:00:17.000]  他說一時看會失去焦點
[00:00:17.000 --> 00:00:20.000]  我立即聽一聽這句說話
[00:00:20.000 --> 00:00:22.000]  真的會,因為我講到
[00:00:22.000 --> 00:00:25.000]  所以我會忙於寫講章
[00:00:25.000 --> 00:00:28.000]  然後很緊張,待會上台講
[00:00:28.000 --> 00:00:30.000]  聽完這句說話時,我便盯一盯
[00:00:30.000 --> 00:00:33.000]  「是,崇拜的焦點是上帝」
[00:00:33.000 --> 00:00:35.000]  我應該將焦點對上帝
[00:00:35.000 --> 00:00:37.000]  所以我很感謝主席
[00:00:37.000 --> 00:00:38.000]  帶領我們一個很好的敬拜
[00:00:38.000 --> 00:00:40.000]  讓我在敬拜中再次體會
[00:00:40.000 --> 00:00:43.000]  神的長闊高深的愛
[00:00:43.000 --> 00:00:48.000]  今天我講到的題目
[00:00:48.000 --> 00:00:51.000]  叫「讓人見到上帝的生命」
[00:00:51.000 --> 00:00:53.000]  有人這樣說
[00:00:53.000 --> 00:00:56.000]  他說生命是要演繹出來的
[00:00:56.000 --> 00:00:59.000]  信仰也是演繹式的信仰
[00:00:59.000 --> 00:01:01.000]  其實說這句說話的那個
[00:01:01.000 --> 00:01:03.000]  是房牧師
[00:01:03.000 --> 00:01:06.000]  因為我剛上他的真導師訓練時
[00:01:06.000 --> 00:01:07.000]  他這樣說
[00:01:07.000 --> 00:01:08.000]  我說很有意思
[00:01:08.000 --> 00:01:09.000]  我立即抹掉了他
[00:01:09.000 --> 00:01:12.000]  放在我的廣場裏
[00:01:12.000 --> 00:01:15.000]  我也很認同這句說話
[00:01:15.000 --> 00:01:17.000]  上帝有多好,有多好
[00:01:17.000 --> 00:01:19.000]  教信仰有多好,有多好
[00:01:19.000 --> 00:01:21.000]  真的不是靠我們的口
[00:01:21.000 --> 00:01:22.000]  去告訴別人
[00:01:22.000 --> 00:01:25.000]  而是當別人跟你相處的時候
[00:01:25.000 --> 00:01:28.000]  我們的生命是否展現了
[00:01:28.000 --> 00:01:30.000]  一個怎樣的信仰
[00:01:30.000 --> 00:01:32.000]  真的不是靠我們的口說
[00:01:32.000 --> 00:01:34.000]  是人跟我們相處的時候
[00:01:34.000 --> 00:01:35.000]  其實我們跟人相處的時候
[00:01:35.000 --> 00:01:37.000]  我們正在展現信仰是怎樣
[00:01:37.000 --> 00:01:38.000]  正所謂
[00:01:38.000 --> 00:01:41.000]  Action speak louder than words
[00:01:41.000 --> 00:01:46.000]  我們的生命、態度、行為
[00:01:46.000 --> 00:01:48.000]  是在見證我們的信仰
[00:01:48.000 --> 00:01:51.000]  但是什麼原因
[00:01:51.000 --> 00:01:53.000]  或者什麼都阻礙了我們
[00:01:53.000 --> 00:01:56.000]  不能夠好好演繹我們的信仰呢
[00:01:56.000 --> 00:01:58.000]  令到未信主的人
[00:01:58.000 --> 00:02:01.000]  不能夠從我們身上見到上帝
[00:02:01.000 --> 00:02:04.000]  今天我很想透過《老家福音》
[00:02:04.000 --> 00:02:10.000]  看看天父對我們有什麼提醒
[00:02:10.000 --> 00:02:13.000]  今天的經文是《老家福音》七章
[00:02:13.000 --> 00:02:15.000]  36至50節
[00:02:15.000 --> 00:02:18.000]  我選用了新漢語譯本
[00:02:18.000 --> 00:02:23.000]  因為翻譯比較少,不用解釋這麼多
[00:02:23.000 --> 00:02:26.000]  我覺得大家應該都比較容易明白
[00:02:26.000 --> 00:02:28.000]  所以我就選用了新漢語譯本
[00:02:28.000 --> 00:02:31.000]  我也想邀請大家跟我一起讀出
[00:02:31.000 --> 00:02:33.000]  以下的經文
[00:02:33.000 --> 00:02:34.000]  《老家福音》七章
[00:02:34.000 --> 00:02:36.000]  36至50節
[00:02:36.000 --> 00:02:38.000]  好,預備起
[00:02:38.000 --> 00:02:42.000]  有個法理賽人請耶穌跟他吃飯
[00:02:42.000 --> 00:02:44.000]  (法理賽人)
[00:02:44.000 --> 00:03:13.000]  (法理賽人)
[00:03:13.000 --> 00:03:17.000]  那邀請耶穌來的法理賽人看見了
[00:03:17.000 --> 00:03:28.000]  (法理賽人)
[00:03:28.000 --> 00:03:29.000]  耶穌對他說
[00:03:29.000 --> 00:03:53.000]  (法理賽人)
[00:03:53.000 --> 00:04:03.000]  西門回答說
[00:04:03.000 --> 00:04:30.000]  (法理賽人)
[00:04:30.000 --> 00:04:32.000]  因此我告訴你
[00:04:32.000 --> 00:04:58.000]  他愛得多,證明他許多的罪已經成年年
[00:04:58.000 --> 00:05:00.000]  我們一起低頭祈禱
[00:05:00.000 --> 00:05:05.000]  天父,我們來到崇拜
[00:05:05.000 --> 00:05:07.000]  我們很想遇見你
[00:05:07.000 --> 00:05:09.000]  因為你才是崇拜的焦點
[00:05:09.000 --> 00:05:11.000]  你才是崇拜的主角
[00:05:11.000 --> 00:05:13.000]  今天我們都很想聽你的話
[00:05:13.000 --> 00:05:16.000]  很想被你的話語提醒我們
[00:05:16.000 --> 00:05:18.000]  用你的話語去改變我們的生命
[00:05:18.000 --> 00:05:21.000]  以致我們生命讓人看見上帝
[00:05:21.000 --> 00:05:23.000]  看到耶穌基督自己
[00:05:23.000 --> 00:05:27.000]  求天父同在,求聖靈工作在生命裏
[00:05:27.000 --> 00:05:31.000]  祈禱,奉耶穌基督名祈求
[00:05:31.000 --> 00:05:34.000]  說說盧家福音的背景
[00:05:34.000 --> 00:05:36.000]  盧家福音的作者是盧家醫生
[00:05:36.000 --> 00:05:41.000]  他寫福音書是特意寫給當時的一個官
[00:05:41.000 --> 00:05:43.000]  他叫提亞菲羅
[00:05:43.000 --> 00:05:47.000]  這個官是挺大的官
[00:05:47.000 --> 00:05:51.000]  他很想告訴提亞菲羅這個大官
[00:05:51.000 --> 00:05:54.000]  很有權的官,告訴他耶穌是誰
[00:05:54.000 --> 00:05:57.000]  所以耶穌是誰,在盧家福音
[00:05:57.000 --> 00:05:59.000]  其中一個很重要的主題
[00:05:59.000 --> 00:06:01.000]  或者寫這本書的目的
[00:06:01.000 --> 00:06:03.000]  透過這本書不同的記載
[00:06:03.000 --> 00:06:05.000]  要告訴這個官
[00:06:05.000 --> 00:06:09.000]  甚至外邦人知道耶穌是神
[00:06:09.000 --> 00:06:11.000]  今天我們看經文
[00:06:11.000 --> 00:06:13.000]  剛才我們讀過也有說到
[00:06:13.000 --> 00:06:15.000]  其實耶穌不只是先知
[00:06:15.000 --> 00:06:17.000]  他也有寫罪的權柄
[00:06:17.000 --> 00:06:19.000]  要告訴人知道耶穌是神
[00:06:19.000 --> 00:06:22.000]  因為只有神才有寫罪的權柄
[00:06:22.000 --> 00:06:24.000]  不過要留意
[00:06:24.000 --> 00:06:26.000]  剛才我們讀到一個女人
[00:06:26.000 --> 00:06:28.000]  用香膏抹耶穌的腳
