
[00:00:00.000 --> 00:00:06.000]  李敏玉弟兄姐妹,早安
[00:00:06.000 --> 00:00:12.000]  今天少了一些人,完全明白
[00:00:12.000 --> 00:00:19.000]  從昨天到今天,同工都說不知道這個星期是不是再一次
[00:00:19.000 --> 00:00:24.000]  聽到這些,我心裡都不想聽
[00:00:24.000 --> 00:00:27.000]  一來心裡罵他們的孤孿口
[00:00:27.000 --> 00:00:31.000]  我自己真的不想
[00:00:31.000 --> 00:00:38.000]  一來就是珍惜今天,可以在現場見大家
[00:00:38.000 --> 00:00:42.000]  剛才淨拜上,上帝提醒我
[00:00:42.000 --> 00:00:48.000]  今天是最後,但如果聖靈是賜給我們自由
[00:00:48.000 --> 00:00:51.000]  聖靈在哪裏,哪裏有自由
[00:00:51.000 --> 00:00:54.000]  可能在家裏,雖然是對著屏幕
[00:00:54.000 --> 00:00:57.000]  但可以有自由去敬拜祂
[00:00:57.000 --> 00:01:01.000]  上帝在我們風浪裏面,帶著我們在上面飛翔
[00:01:01.000 --> 00:01:03.000]  其實祂仍然是主
[00:01:03.000 --> 00:01:06.000]  是我不想面對的事,如果下星期真的見到大家
[00:01:06.000 --> 00:01:12.000]  但我估計師哥提醒,其實上帝是看著的
[00:01:12.000 --> 00:01:19.000]  我們珍惜今天,我們開始之前有個祈禱
[00:01:19.000 --> 00:01:25.000]  我仍然相信,其實你很想我們一班信徒走在一起去敬拜你
[00:01:25.000 --> 00:01:32.000]  我仍然相信你都很希望教會能夠齊心的,一起去敬拜你
[00:01:32.000 --> 00:01:37.000]  大神,我們不知道為何你將疫情去保障
[00:01:37.000 --> 00:01:39.000]  或者第四波又來了
[00:01:39.000 --> 00:01:41.000]  大神,我們不明白的裏面
[00:01:41.000 --> 00:01:45.000]  你就教導我們,在你讓我們這個環境當中
[00:01:45.000 --> 00:01:47.000]  繼續去敬拜你
[00:01:47.000 --> 00:01:49.000]  繼續活一個你喜悅的生命
[00:01:49.000 --> 00:01:55.000]  在當中去想我們可以怎樣在這個情況裏面去繼續侍奉你
[00:01:55.000 --> 00:01:57.000]  很多不明白,很多不知道
[00:01:57.000 --> 00:01:59.000]  也有很多的忐忑
[00:01:59.000 --> 00:02:02.000]  大神,我們仍然相信你坐著慰惘的時候
[00:02:02.000 --> 00:02:05.000]  你就幫我們今天去珍惜我們有的
[00:02:05.000 --> 00:02:10.000]  我們去求你給智慧,讓我們知道明天我們可以怎樣為你而活
[00:02:10.000 --> 00:02:11.000]  求你帶領我們
[00:02:11.000 --> 00:02:13.000]  今天你再次向我們說話的時候
[00:02:13.000 --> 00:02:16.000]  你開了你的心,你的說話去感動我們
[00:02:16.000 --> 00:02:18.000]  有你的心腸
[00:02:18.000 --> 00:02:20.000]  我們將以後的時間交給你
[00:02:20.000 --> 00:02:23.000]  現場的討告,奉主命求,阿門
[00:02:23.000 --> 00:02:24.000]  好
[00:02:24.000 --> 00:02:32.000]  不知道你父母有沒有買什麼給你們作為紀念的
[00:02:32.000 --> 00:02:34.000]  有沒有的
[00:02:34.000 --> 00:02:38.000]  我在中學的時候認識一個朋友
[00:02:38.000 --> 00:02:40.000]  他戴了一隻戒指
[00:02:40.000 --> 00:02:42.000]  然後,為什麼會有的
[00:02:42.000 --> 00:02:46.000]  第一點當然是想,什麼,男朋友,很白痴
[00:02:46.000 --> 00:02:49.000]  原來是媽媽送的
[00:02:49.000 --> 00:02:52.000]  為什麼媽媽會送戒指
[00:02:52.000 --> 00:02:54.000]  好像很甜蜜
[00:02:54.000 --> 00:02:56.000]  怎知道幾年前
[00:02:56.000 --> 00:02:58.000]  跟他聊天的幾年之後
[00:02:58.000 --> 00:03:00.000]  我的那幾年前
[00:03:00.000 --> 00:03:05.000]  終於我媽媽也買了一隻戒指給我
[00:03:05.000 --> 00:03:06.000]  就是這一隻
[00:03:06.000 --> 00:03:08.000]  有機會你走過來,我展示給你看
