
[00:00:00.000 --> 00:00:01.280]  好,鄭姐妹
[00:00:01.280 --> 00:00:05.120]  多謝敬拜隊帶我們透過詩歌
[00:00:05.120 --> 00:00:08.560]  再一次認定神是不變的主
[00:00:08.560 --> 00:00:10.080]  我剛才跟大家分享一下
[00:00:10.080 --> 00:00:12.040]  我剛才敬拜的時候
[00:00:12.040 --> 00:00:13.480]  我作了一個祈禱
[00:00:13.480 --> 00:00:15.160]  我作了一個祈禱就是
[00:00:15.160 --> 00:00:16.880]  我去祈禱的是
[00:00:16.880 --> 00:00:20.800]  很想青少部的群體是一個
[00:00:20.800 --> 00:00:24.040]  仍然外面風大雨大也好
[00:00:24.040 --> 00:00:27.200]  但我們仍然成為一個敬拜的群體
[00:00:27.200 --> 00:00:30.120]  我不知道你心裡在經歷什麼風暴
[00:00:30.120 --> 00:00:32.040]  或者你正在面對什麼掙扎
[00:00:32.040 --> 00:00:36.440]  同樣希望詩歌也同樣堅固你的心
[00:00:36.440 --> 00:00:38.160]  讓我們在這個挑戰下
[00:00:38.160 --> 00:00:40.080]  我們仍然繼續緊靠主
[00:00:40.080 --> 00:00:43.520]  同樣我猜除了我們實體崇拜之外
[00:00:43.520 --> 00:00:45.720]  其實我們網上崇拜
[00:00:45.720 --> 00:00:47.240]  其實還有一班弟兄姊妹
[00:00:47.240 --> 00:00:50.240]  我也繼續鼓勵在網上崇拜弟兄姊妹
[00:00:50.240 --> 00:00:52.080]  同樣雖然我們不是同一個地方
[00:00:52.080 --> 00:00:53.120]  一起敬拜
[00:00:53.120 --> 00:00:55.600]  但其實我們那個主同樣是同一個主
[00:00:55.600 --> 00:01:00.360]  同樣希望詩歌和《神奇話》也成為我們的激勵
[00:01:00.360 --> 00:01:02.960]  今天跟大家分享一個題目
[00:01:02.960 --> 00:01:06.160]  惡人與福音的距離
[00:01:06.160 --> 00:01:07.960]  青少部這個月的主題
[00:01:07.960 --> 00:01:11.080]  是擁抱別人生命的能力
[00:01:11.080 --> 00:01:12.560]  過去兩個星期
[00:01:12.560 --> 00:01:14.760]  君和Forensa跟大家分享了
[00:01:14.760 --> 00:01:17.320]  怎樣可以去愛那些不可愛的人
[00:01:17.320 --> 00:01:20.840]  以及怎樣可以彼此去承擔大家的生命
[00:01:20.840 --> 00:01:24.880]  今天跟大家分享這個比較富有挑戰性的題目
[00:01:24.880 --> 00:01:27.560]  我不知道大家想起惡人的時候
[00:01:27.560 --> 00:01:29.680]  你會想起什麼
[00:01:29.680 --> 00:01:33.400]  不知道你是一個特定的一個人
[00:01:33.400 --> 00:01:35.680]  又或者可能是一些你不喜歡
[00:01:35.680 --> 00:01:38.760]  或者跟你持相反看法的人
[00:01:38.760 --> 00:01:40.480]  又或者可能我們想起惡人的時候
[00:01:40.480 --> 00:01:45.240]  我們會想起一連串的行為和情景
[00:01:45.240 --> 00:01:47.200]  不過當我們想起惡人的時候
[00:01:47.200 --> 00:01:50.680]  可能我們心裡面會有一些這樣的感受
[00:01:50.680 --> 00:01:53.680]  我們的反應是我們很想去下地獄
