
[00:00:00.000 --> 00:00:02.000]  好,丁姐妹,午安
[00:00:02.000 --> 00:00:03.000]  感謝主
[00:00:03.000 --> 00:00:06.000]  讓我們一起在網絡上敬拜神
[00:00:06.000 --> 00:00:08.000]  雖然回不了教會實體
[00:00:08.000 --> 00:00:09.000]  當我們唱詩歌的時候
[00:00:09.000 --> 00:00:12.000]  或者剛才我在下面敬拜的時候
[00:00:12.000 --> 00:00:15.000]  心裡面覺得都是很被鼓勵
[00:00:15.000 --> 00:00:17.000]  特別在艱難的時間
[00:00:17.000 --> 00:00:21.000]  神的同在讓人的心得到肯定、得到安慰
[00:00:21.000 --> 00:00:23.000]  這個是非常重要
[00:00:23.000 --> 00:00:24.000]  盼望你在家裡面
[00:00:24.000 --> 00:00:27.000]  或者在你自己所身處的地方
[00:00:27.000 --> 00:00:29.000]  跟我一起去敬拜的時候
[00:00:29.000 --> 00:00:30.000]  神話等會我們聽到
[00:00:30.000 --> 00:00:33.000]  讓神的說話常常都在我們心裡面
[00:00:33.000 --> 00:00:34.000]  去鼓勵我們
[00:00:34.000 --> 00:00:38.000]  甚至陪伴著我們去經歷困難的時間
[00:00:38.000 --> 00:00:41.000]  今天想和大家一起去分享一個題目
[00:00:41.000 --> 00:00:45.000]  這個題目叫做「盼望塑造生命」
[00:00:45.000 --> 00:00:48.000]  這個是整個青少報
[00:00:48.000 --> 00:00:50.000]  在這個年度的主題之下
[00:00:50.000 --> 00:00:51.000]  其中一個分題
[00:00:51.000 --> 00:00:53.000]  如果你有印象,你知道的話
[00:00:53.000 --> 00:00:55.000]  青少報的主題是講
[00:00:55.000 --> 00:00:58.000]  我們要展現上帝的國度
[00:00:58.000 --> 00:01:00.000]  這個是我們常常講的
[00:01:00.000 --> 00:01:02.000]  甚至我們的slogan、我們的T恤
[00:01:02.000 --> 00:01:05.000]  很多都會用這個作為我們的主題
[00:01:05.000 --> 00:01:07.000]  怎樣展現上帝的國度
[00:01:07.000 --> 00:01:09.000]  青少報在過去幾個月
[00:01:09.000 --> 00:01:11.000]  我們都討論到講福音
[00:01:11.000 --> 00:01:14.000]  講福音代表人生命有什麼幫助
[00:01:14.000 --> 00:01:16.000]  究竟福音背後
[00:01:16.000 --> 00:01:17.000]  我一個上耶穌的人
[00:01:17.000 --> 00:01:19.000]  如果要去傳福音的時候
[00:01:19.000 --> 00:01:21.000]  究竟我們對福音有多了解
[00:01:21.000 --> 00:01:24.000]  這個都是我們在過去的半年
[00:01:24.000 --> 00:01:27.000]  在訊息、在講壇裡面都有提到的
[00:01:27.000 --> 00:01:31.000]  我今天特別想按照這個月份的月題
[00:01:31.000 --> 00:01:33.000]  這個月的月題是
[00:01:33.000 --> 00:01:35.000]  福音讓人生命懷著盼望
[00:01:35.000 --> 00:01:38.000]  簡單講盼望是這個月我們很想指出的
[00:01:38.000 --> 00:01:41.000]  不過今天特別想講盼望是一回事
[00:01:41.000 --> 00:01:44.000]  盼望當然作為基督徒
[00:01:44.000 --> 00:01:47.000]  當你想起盼望「哭」這個字的時候
[00:01:47.000 --> 00:01:50.000]  我相信你都會有一些很正面
[00:01:50.000 --> 00:01:53.000]  很安慰的感覺
[00:01:53.000 --> 00:01:56.000]  甚至這樣講盼望這個字
[00:01:56.000 --> 00:01:59.000]  可能都帶給人很多安慰感
[00:01:59.000 --> 00:02:01.000]  你有什麼時候
[00:02:01.000 --> 00:02:02.000]  因著信仰裡面
[00:02:02.000 --> 00:02:04.000]  特別基督教信仰裡面所講的盼望
[00:02:04.000 --> 00:02:06.000]  而體會最大安慰
[00:02:06.000 --> 00:02:09.000]  我不知道你哪個時刻你會有一種體會
[00:02:09.000 --> 00:02:12.000]  我記得我去安息禮拜的時候
[00:02:12.000 --> 00:02:14.000]  當個牧師或者當個傳道人
[00:02:14.000 --> 00:02:17.000]  或者那些師哥在安息禮拜裡面
[00:02:17.000 --> 00:02:19.000]  我聽到盼望的信息
[00:02:19.000 --> 00:02:22.000]  都會帶給我心裡面很大的安慰
[00:02:22.000 --> 00:02:24.000]  特別我記得我爸爸
[00:02:24.000 --> 00:02:26.000]  在安息禮拜的時候
[00:02:26.000 --> 00:02:29.000]  我很傷心因為爸爸離開了
[00:02:29.000 --> 00:02:33.000]  但當知道爸爸現在在天上
[00:02:33.000 --> 00:02:35.000]  甚至當日在我爸爸安息禮拜裡面
[00:02:35.000 --> 00:02:37.000]  我聽到牧師跟我說
[00:02:37.000 --> 00:02:39.000]  我爸爸現在在天上這種盼望
[00:02:39.000 --> 00:02:42.000]  那一刻我心裡面有很大的安慰
[00:02:42.000 --> 00:02:44.000]  雖然很傷心
[00:02:44.000 --> 00:02:46.000]  雖然很傷痛
[00:02:46.000 --> 00:02:48.000]  但心裡面仍然有一種很大的
[00:02:48.000 --> 00:02:51.000]  很安慰的感覺或感受在裡面
[00:02:51.000 --> 00:02:55.000]  確實盼望是讓人有一種安慰感
[00:02:55.000 --> 00:02:58.000]  不過今天我和大家分享盼望
[00:02:58.000 --> 00:03:00.000]  盼望塑造生命很明顯
[00:03:00.000 --> 00:03:02.000]  我不是只是想講盼望
[00:03:02.000 --> 00:03:05.000]  帶來給人有安慰感這種想法
[00:03:05.000 --> 00:03:07.000]  而是原來盼望在基督教信仰裡面
[00:03:07.000 --> 00:03:10.000]  講的盼望原來這個盼望的字
[00:03:10.000 --> 00:03:12.000]  背後無論是神學或者是
[00:03:12.000 --> 00:03:14.000]  所講關於盼望的東西
[00:03:14.000 --> 00:03:18.000]  原來都是塑造我們整個基督徒的生命
[00:03:18.000 --> 00:03:21.000]  塑造我們整個基督徒的人生
[00:03:21.000 --> 00:03:24.000]  基督教思想裡面有信心盼望愛心
[00:03:24.000 --> 00:03:26.000]  這三個很重要的元素
[00:03:26.000 --> 00:03:28.000]  等下我都會再講
[00:03:28.000 --> 00:03:31.000]  不過我想帶大家今天認識盼望的時候
[00:03:31.000 --> 00:03:35.000]  不單從一種得著安慰感的方向
[00:03:35.000 --> 00:03:37.000]  而是我們一起思考一下
[00:03:37.000 --> 00:03:41.000]  究竟盼望帶來給我們的生命有什麼影響性
[00:03:41.000 --> 00:03:45.000]  甚至盼望如何可以塑造我們的生命特質
[00:03:45.000 --> 00:03:46.000]  什麼意思
[00:03:46.000 --> 00:03:48.000]  原來盼望如果你明白
[00:03:48.000 --> 00:03:50.000]  究竟聖經裡面所講的盼望意思的話
[00:03:50.000 --> 00:03:53.000]  就能夠幫助我們去成為一個什麼基督徒
[00:03:53.000 --> 00:03:55.000]  我們可以用什麼眼光
[00:03:55.000 --> 00:03:59.000]  什麼角度去理解我們身邊所發生的事物
[00:03:59.000 --> 00:04:02.000]  不如我們先去讀一讀今天的經文好不好
[00:04:02.000 --> 00:04:04.000]  今天經文在哥羅西書
