
[00:00:00.000 --> 00:00:02.120]  多謝Johnny或者多謝競拜隊
[00:00:02.120 --> 00:00:04.360]  或者多謝聖靈在我們當中
[00:00:04.360 --> 00:00:06.080]  讓我們能夠這樣一起競拜
[00:00:06.080 --> 00:00:07.440]  在競拜裏面
[00:00:07.440 --> 00:00:11.320]  在剛才30分鐘的時間裏面
[00:00:11.320 --> 00:00:12.840]  有一件事很感受到的
[00:00:12.840 --> 00:00:14.960]  就是Johnny剛才說的比喻
[00:00:14.960 --> 00:00:16.520]  回到家的感覺
[00:00:16.520 --> 00:00:17.720]  回到家的感覺
[00:00:17.720 --> 00:00:20.360]  是我其實每個星期都在的
[00:00:20.360 --> 00:00:23.000]  每個星期六我都在做直播
[00:00:23.000 --> 00:00:24.880]  然後我們直播從快慢
[00:00:24.880 --> 00:00:26.200]  但是這個不是
[00:00:26.200 --> 00:00:30.360]  那一刻的地方好像不是家的感覺
[00:00:30.360 --> 00:00:31.240]  但是現在
[00:00:31.240 --> 00:00:33.800]  今天看到大家一起的時候
[00:00:33.800 --> 00:00:34.800]  這裡是一個家
[00:00:34.800 --> 00:00:36.560]  感覺就是我們都有想
[00:00:36.560 --> 00:00:38.080]  我自己有想
[00:00:38.080 --> 00:00:40.000]  我們直播
[00:00:40.000 --> 00:00:41.080]  所謂直播的生活
[00:00:41.080 --> 00:00:42.880]  網上的生活其實有
[00:00:42.880 --> 00:00:44.240]  可能有幾個月
[00:00:44.240 --> 00:00:45.680]  在中間隔了幾個星期之後
[00:00:45.680 --> 00:00:46.800]  就是半年了
[00:00:46.800 --> 00:00:47.840]  我也有想
[00:00:47.840 --> 00:00:50.240]  其實那裏會不會已經適應了
[00:00:50.240 --> 00:00:52.600]  在那裏的狀況會不會適應了
[00:00:52.600 --> 00:00:54.680]  但是當剛才在競拜裏面的時候
[00:00:54.680 --> 00:00:56.680]  當能夠大家一起競拜的時候
[00:00:56.680 --> 00:00:57.760]  我有一個感覺
[00:00:57.760 --> 00:00:59.080]  那個感覺就是
[00:00:59.080 --> 00:00:59.640]  哇
[00:00:59.640 --> 00:01:01.080]  這裏真的是家
[00:01:01.080 --> 00:01:02.120]  這裏是
[00:01:02.120 --> 00:01:03.200]  你要回來的時候
[00:01:03.200 --> 00:01:04.480]  所有東西都是很親切的
[00:01:04.480 --> 00:01:06.200]  這裏是不需要適應的
[00:01:06.200 --> 00:01:07.880]  這裏是回來的時候
[00:01:07.880 --> 00:01:09.040]  那些東西就出來了
[00:01:09.040 --> 00:01:10.120]  那些回憶就出來了
[00:01:10.120 --> 00:01:11.520]  跟你們一起去成長
[00:01:11.520 --> 00:01:14.200]  去經歷神的回憶就出來了
[00:01:14.200 --> 00:01:14.800]  好
[00:01:14.800 --> 00:01:16.800]  所以今天我們繼續一起來
[00:01:16.800 --> 00:01:17.480]  可以一起
[00:01:17.480 --> 00:01:19.200]  我們要感謝主
[00:01:19.200 --> 00:01:21.360]  今天是去講到的時候
[00:01:21.360 --> 00:01:24.080]  講到我今天講的題目
[00:01:24.080 --> 00:01:26.280]  叫做崇拜之外的競拜
[00:01:26.280 --> 00:01:29.080]  這個月講到的主題
[00:01:29.080 --> 00:01:29.800]  是什麼呢
